source,sm_id,id,show_type,movie_title,series_title,episode_title,release_year,link_expired,Projectx_ids,Variant id present for episode,Variant parent id for Episode,Projectx_series_id,comment,Result,Gb_id duplicate,Duplicate ids in search,Credit_match,Rovi_id count for duplicate,Gb_id count for duplicate,Vudu_id count for duplicate,Mapped rovi_id for duplicate,Mapped Gb_id for duplicate,Mapped Vudu_id for duplicate,variant_parent_id_present,variant_parent_id,link_fetched_from,Sources of link
Vudu,612462,819830,SE,,Edge of Alaska,Edge of Alaska: Devils Bargain,2016,False,[3535210],,,,"('No multiple ids for this episode', 819830, 612462)",No multiple ids for this episode
Vudu,,819866,MO,Red vs. Blue: Volume 14,,,2016,False,[14879130],,,,"('No multiple ids for this link', 819866)",No multiple ids for this link
Vudu,819864,819872,SE,,The Adventures of Gumby (1960s),The Adventures of Gumby (1960s): The Zoops / Even Steven,1962,False,"[13217939, 10155392]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
Vudu,,819910,MO,1000 Rupee Note [Ek Hazarachi Note],,,2014,False,[1020211],,,,"('No multiple ids for this link', 819910)",No multiple ids for this link
Vudu,819960,819968,SE,,ABC Monsters,ABC Monsters: Arrows Gone Astray,2015,False,[8999165],,,,"('No multiple ids for this episode', 819968, 819960)",No multiple ids for this episode
Vudu,820072,820080,SE,,Jon Glaser Loves Gear,Jon Glaser Loves Gear: Sneak Peek,2016,False,[14282524],,,,"('No multiple ids for this episode', 820080, 820072)",No multiple ids for this episode
Vudu,820124,820132,SE,,Alisa Knows What to Do!,Alisa Knows What to Do!: Mystery of the Last Truenox,2013,False,[14556609],,,,"('No multiple ids for this series', 820132, 820124)",No multiple ids for this link
Vudu,820184,820192,SE,,Dream Corp LLC,Dream Corp LLC: Episode One,2016,False,[10085617],,,,"('No multiple ids for this episode', 820192, 820184)",No multiple ids for this episode
Vudu,588297,820220,SE,,Your Pretty Face is Going to Hell,Your Pretty Face is Going to Hell: Straight Outta Hades,2016,False,[10180903],,,,"('No multiple ids for this episode', 820220, 588297)",No multiple ids for this episode
Vudu,501057,820272,SE,,Street Outlaws,Street Outlaws: Where the Streets Have No Name,2016,False,"[3493279, 14680191]",,,,Duplicate projectx ids found in search api and rovi has duplicate,Duplicate projectx ids found in search api and rovi has duplicate,,"[3416498, 8292656]",False,2,1,1,"[{'3416498': 'Rovi_id:561774475'}, {'8292656': 'Rovi_id:603805338'}]",[{'3416498': 'Gb_id:15539'}],[{'8292656': 'Vudu_id:501057'}],Null,[]
Vudu,820368,820376,SE,,Thomas Edison's Secret Lab,Thomas Edison's Secret Lab: Nicky's Compass Goes South / Gem of a Deal,2015,False,[9581781],,,,"('No multiple ids for this episode', 820376, 820368)",No multiple ids for this episode
Vudu,321282,820444,SE,,Gold Rush,Gold Rush: The Gambler,2016,False,[],,,,"('No multiple ids for this episode', 820444, 321282)",No multiple ids for this episode
Vudu,820528,820540,SE,,Kiwi,Kiwi: What's a Big Chicken / Let's Go To the Sea,2013,False,[14123257],,,,"('No multiple ids for this episode', 820540, 820528)",No multiple ids for this episode
Vudu,568750,820556,SE,,Garage Squad,Garage Squad: 66 Nova,2016,False,[3851409],,,,"('No multiple ids for this episode', 820556, 568750)",No multiple ids for this episode
Vudu,820656,820664,SE,,Naya's Arctic Adventures,Naya's Arctic Adventures: Whirligig/Racket,2015,False,[14496459],,,,"('No multiple ids for this episode', 820664, 820656)",No multiple ids for this episode
Vudu,,820716,MO,Yo Gabba Gabba!: A Very Awesome Live Holiday Show!,,,2014,False,[320057],,,,"('No multiple ids for this link', 820716)",No multiple ids for this link
Vudu,,820720,MO,Houdini,,,2015,False,[12967035],,,,"('No multiple ids for this link', 820720)",No multiple ids for this link
Vudu,,820730,MO,In the Turn,,,2016,False,[12962194],,,,"('No multiple ids for this link', 820730)",No multiple ids for this link
