source,sm_id,id,show_type,movie_title,series_title,episode_title,release_year,link_expired,Projectx_ids,Variant id present for episode,Variant parent id for Episode,Projectx_series_id,comment,Result,Gb_id duplicate,Duplicate ids in search,Credit_match,Rovi_id count for duplicate,Gb_id count for duplicate,HBOGO_id count for duplicate,Mapped rovi_id for duplicate,Mapped Gb_id for duplicate,Mapped HBOGO_id for duplicate,variant_parent_id_present,variant_parent_id,link_fetched_from,Sources of link
HBOGO,,urn:hbo:feature:GWPUlwg8AP5hdqgEAAAA9,MO,The Accountant,,,2016,False,[],,,,"('No multiple ids for this link', 'urn:hbo:feature:GWPUlwg8AP5hdqgEAAAA9')",No multiple ids for this link
HBOGO,,urn:hbo:feature:GWRnCognZd8MaoAEAAABn,MO,All Eyez on Me: HBO First Look,,,2017,False,[],,,,"('No multiple ids for this link', 'urn:hbo:feature:GWRnCognZd8MaoAEAAABn')",No multiple ids for this link
HBOGO,,urn:hbo:feature:GWPUf7Q2awICfwwEAAAAY,MO,Be Cool,,,2005,False,[],,,,"('No multiple ids for this link', 'urn:hbo:feature:GWPUf7Q2awICfwwEAAAAY')",No multiple ids for this link
HBOGO,,urn:hbo:feature:GWPUmWQ3xJZ2-hAEAAABU,MO,Bend It Like Beckham,,,2003,False,[],,,,"('No multiple ids for this link', 'urn:hbo:feature:GWPUmWQ3xJZ2-hAEAAABU')",No multiple ids for this link
HBOGO,,urn:hbo:feature:GWQdX3gZ3wMJOCAEAAAAT,MO,The Bodyguard,,,1992,False,[],,,,"('No multiple ids for this link', 'urn:hbo:feature:GWQdX3gZ3wMJOCAEAAAAT')",No multiple ids for this link
HBOGO,,urn:hbo:feature:GWPUoyAT6TMIrugEAAABZ,MO,Boiler Room,,,2000,False,[],,,,"('No multiple ids for this link', 'urn:hbo:feature:GWPUoyAT6TMIrugEAAABZ')",No multiple ids for this link
HBOGO,,urn:hbo:feature:GWPUe6ARtEICfwwEAAAAE,MO,Cake,,,2006,False,[],,,,"('No multiple ids for this link', 'urn:hbo:feature:GWPUe6ARtEICfwwEAAAAE')",No multiple ids for this link
HBOGO,,urn:hbo:feature:GV4z7YwXV4ZKhwgEAAAAF,MO,Cafe para llevar (Coffee to Go),,,2016,False,[],,,,"('No multiple ids for this link', 'urn:hbo:feature:GV4z7YwXV4ZKhwgEAAAAF')",No multiple ids for this link
HBOGO,,urn:hbo:feature:GWPUl4QPD6Z2-hAEAAABB,MO,The Clearing,,,2004,False,[],,,,"('No multiple ids for this link', 'urn:hbo:feature:GWPUl4QPD6Z2-hAEAAABB')",No multiple ids for this link
HBOGO,,urn:hbo:feature:GWPUpBAozz8IrugEAAABp,MO,Coal Miner's Daughter,,,1980,False,[],,,,"('No multiple ids for this link', 'urn:hbo:feature:GWPUpBAozz8IrugEAAABp')",No multiple ids for this link
HBOGO,,urn:hbo:feature:GV4z7jAIWF5KhwgEAAAAI,MO,Codigo Paz (Peace Code),,,2016,False,[],,,,"('No multiple ids for this link', 'urn:hbo:feature:GV4z7jAIWF5KhwgEAAAAI')",No multiple ids for this link
