GuideBox_sm_id,GuideBox_id,Rovi_id,Rovi_SM_id,Scheme,episode_title,ozoneepisodetitle,OzoneOriginalEpisodeTitle,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,series_id_match,Px_series_id,Episode mapping,Comment
14749,5424150,3423596269,22023391, 'Exact sequence & title match',Her Royal Spyness, 'Her Royal Spyness',|['Her Royal Spyness',3343582,3343582,,,,,,,Pass,Pass
14749,6891533,4583899122,22023391, 'Exact sequence & title match',One for the Books, 'One for the Books',|['One for the Books',3346312,3346312,,,,,,,Pass,Pass
14749,5673530,3591262920,22023391, 'Exact sequence & title match',Dads and Daughters Day, 'Dads and Daughters Day',|['Dads and Daughters Day',3344077,3344077,,,,,,,Pass,Pass
14749,5715566,3655395024,22023391, 'Exact sequence & title match',The Secret Library: The Tale of the Noble Knight, 'The Secret Library: The Tale of the Noble Knight',|['The Secret Library: The Tale of the Noble Knight',3344611,3344611,,,,,,,Pass,Pass
14749,5737857,3655394998,22023391, 'Exact sequence & title match',The Bamboo Kite, 'The Bamboo Kite',|['The Bamboo Kite',3344397,3344397,,,,,,,Pass,Pass
14749,420507,644123744,22023391, 'Exact sequence & title match',The Buttercups, 'The Buttercups',|['The Buttercups',3329377,3329377,,,,,,,Pass,Pass
14749,5886219,3926597489,22023391, 'Exact sequence & title match',Beauty is the Beast, 'Beauty Is the Beast',|['Beauty Is the Beast',3344690,3344690,,,,,,,Pass,Pass
14749,7360889,4936167884,22023391, 'Exact sequence & title match',The Royal Dragon, 'The Royal Dragon',|['The Royal Dragon',3348234,3348234,,,,,,,Pass,Pass
14749,6323537,4164455833,22023391, 'Exact sequence & title match',Royal Vacation, 'Royal Vacation',|['Royal Vacation',3345444,3345444,,,,,,,Pass,Pass
14749,6560191,4375963295,22023391, 'Exact sequence & title match',Hexley Hall, 'Hexley Hall',|['Hexley Hall',3345674,3345674,,,,,,,Pass,Pass
14749,4186674,3274451091,22023391, 'title match only',The Floating Palace (Part 1), 'The Floating Palace',|['The Floating Palace',3342668,13402472,[{'sourceId': '4186674'}],"[{'rovi_projectx_id_mapped': 'rovi_id:3274451091,Map_reason:not found in projectx'}]",,,True,[3327119],Fail,Fail
14749,6706256,4505024212,22023391, 'title match only',The Princess Prodigy, 'The Princess Prodigy',|['The Princess Prodigy',3346129,3346129,,,,,,,Pass,Pass
