GuideBox_sm_id,GuideBox_id,Rovi_id,Rovi_SM_id,Scheme,episode_title,ozoneepisodetitle,OzoneOriginalEpisodeTitle,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,series_id_match,Px_series_id,Episode mapping,Comment
36512,5481946,3194575052,3194573221, 'Exact sequence & title match',Young Guns, 'Young Guns',|['',10170116,10170116,,,,,,,Pass,Pass
36512,5482762,3210518524,3194573221, 'Exact sequence & title match',To Arms, 'To Arms',|['',10170187,10170187,,,,,,,Pass,Pass
36512,5484869,3223436397,3194573221, 'Exact sequence & title match',Under Siege, 'Under Siege',|['',10170299,10170299,,,,,,,Pass,Pass
36512,5486443,3258046292,3194573221, 'Exact sequence & title match',Surrender, 'Surrender',|['',10170391,10170391,,,,,,,Pass,Pass
36827,6055090,4190776345,4190776271, 'Exact sequence & title match',The Ballad of Chino Prison, 'The Ballad of Chino Prison',|['The Ballad of Chino Prison',3781888,3781888,,,,,,,Pass,Pass
36827,6055092,4190776369,4190776271, 'Exact sequence & title match',Our Awards Our People, 'Our Awards Our People',|['Our Awards Our People',3781921,3781921,,,,,,,Pass,Pass
36827,6055089,4190776337,4190776271, 'Exact sequence & title match',Cougars Mares and Video, 'Cougars Mares and Video',|['Cougars Mares and Video',3781863,3781863,,,,,,,Pass,Pass
36827,6055088,4190776333,4190776271, 'Exact sequence & title match',The Talent Show, 'The Talent Show',|['The Talent Show',3781837,3781837,,,,,,,Pass,Pass
36827,6055091,4190776351,4190776271, 'Exact sequence & title match',El Vato Is Back on Top, 'El Vato Is Back on Top',|['El Vato Is Back on Top',3781899,3781899,,,,,,,Pass,Pass
36827,5482270,4190776309,4190776271, 'title match only',Happy birthday Mr. Lolo, 'Happy Birthday Mr. Lolo',|['Happy Birthday Mr. Lolo',3781791,3781791,,,,,,,Pass,Pass
36827,7718297,5871259855,4190776271, 'Exact sequence & title match',Y volver volver, 'Y volver volver',|['Y volver volver',3782171,3782171,,,,,,,Pass,Pass
