GuideBox_sm_id,GuideBox_id,Rovi_id,Rovi_SM_id,Scheme,episode_title,ozoneepisodetitle,OzoneOriginalEpisodeTitle,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,series_id_match,Px_series_id,Episode mapping,Comment
772,160590,21808871,21808790, 'sequence & title match',Gillian and Jennifer, 'Gillian & Jennifer',|['Gillian & Jennifer',3641464,3641464,,,,,,,Pass,Pass
772,291360,22006912,21808790, 'sequence & title match',Amy and Jillian, 'Amy & Jillian',|['Amy & Jillian',3641645,3641645,,,,,,,Pass,Pass
808,4366083,2266809,2262710, 'Exact sequence & title match',Second Chances, 'Second Chances',|['Second Chances',3344004,3344004,,,,,,,Pass,Pass
808,4366082,2372503,2262710, 'Exact sequence & title match',New Beginnings, 'New Beginnings',|['New Beginnings',3344410,3344410,,,,,,,Pass,Pass
808,4366077,2374190,2262710, 'title match only',New Lives, 'New Lives',|['New Lives',3344490,3344490,,,,,,,Pass,Pass
808,129565,2262740,2262710, 'Exact sequence & title match',Crisis Dogs, 'Crisis Dogs',|['Crisis Dog',3343958,3343958,,,,,,,Pass,Pass
808,129527,2461126,2262710, 'Exact sequence & title match',New Hope, 'New Hope',|['',3344911,3344911,,,,,,,Pass,Pass
808,129553,2366559,2262710, 'Exact sequence & title match',Saving the Michael Vick Dogs, 'Saving the Michael Vick Dogs',|['',3344234,3344234,,,,,,,Pass,Pass
808,129537,2377913,2262710, 'title match only',Road to Recovery, 'Road to Recovery',|['',3344546,3344546,,,,,,,Pass,Pass
808,129512,2471132,2262710, 'title match only',A Fresh Start, 'A Fresh Start',|['',3345116,13012558,[{'sourceId': '129512'}],"[{'rovi_projectx_id_mapped': 'rovi_id:2471132,Map_reason:not found in projectx'}]",,,True,[3343676],Fail,Fail
808,129516,2471277,2262710, 'Exact sequence & title match',Will to Survive, 'Will to Survive',|['',3345180,3345180,,,,,,,Pass,Pass
808,129558,2272204,2262710, 'Exact sequence & title match',The Outsiders, 'The Outsiders',|['The Outsiders',3344125,3344125,,,,,,,Pass,Pass
