GuideBox_sm_id,GuideBox_id,Rovi_id,Rovi_SM_id,Scheme,episode_title,ozoneepisodetitle,OzoneOriginalEpisodeTitle,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,series_id_match,Px_series_id,Episode mapping,Comment
36674,8219657,6266997150,3447017149, 'Exact sequence & title match',Roaring Upheaval, 'Roaring Upheaval',|['',10340677,10340677,,,,,,,Pass,Pass
36674,6982670,5652644854,3447017149, 'Exact sequence & title match',Fight on Iida, 'Fight On Iida',|['\xc4\xaada-kun Faito',10341813,10341813,,,,,,,Pass,Pass
36674,8219660,6266997162,3447017149, 'Exact sequence & title match',All for One, 'All for One',|['',10340756,10340756,,,,,,,Pass,Pass
36674,6982676,5657379017,3447017149, 'title match only',Climax, 'Climax',|['Ketchaku',10342236,13580307,[{'sourceId': '6982676'}],"[{'rovi_projectx_id_mapped': 'rovi_id:5657379017,Map_reason:not found in projectx'}, {'sourceId': '8416780,Map_reason:{MATCH_PARAM_EPISODE_TITLE=1.0, MATCH_PARAM_SEASON_EPISODE=1.0}'}]",,True,True,[10338675],Fail,Fail
36674,6982671,5652644858,3447017149, 'sequence & title match',Todoroki vs. Bakugo, 'Todoroki vs Bakugo',|['Todoroki vs. Bakugo',10341923,10341923,,,,,,,Pass,Pass
36674,8219656,6266997146,3447017149, 'Exact sequence & title match',Drive It Home Iron Fist!!!, 'Drive It Home Iron Fist!!!',|['',10340628,10340628,,,,,,,Pass,Pass
36674,6982673,5657377176,3447017149, 'title match only',Bizarre! Gran Torino Appears, 'Bizarre! Gran Torino Appears',|['',10341352,13580318,[{'sourceId': '6982673'}],"[{'rovi_projectx_id_mapped': 'rovi_id:5657377176,Map_reason:not found in projectx'}, {'sourceId': '8416781,Map_reason:{MATCH_PARAM_EPISODE_TITLE=1.0, MATCH_PARAM_SEASON_EPISODE=1.0}'}]",,True,True,[10338675],Fail,Fail
36674,6982675,5657377180,3447017149, 'title match only',Hero Killer: Stain vs U.A. Students, 'Hero Killer Stain vs U.A. Students',|['H\xc4\xabr\xc5\x8d Goroshi Sutein vs U.A. Seito',10342182,13580312,[{'sourceId': '6982675'}],"[{'rovi_projectx_id_mapped': 'rovi_id:5657377180,Map_reason:not found in projectx'}, {'sourceId': '8416776,Map_reason:{MATCH_PARAM_EPISODE_TITLE=1.0, MATCH_PARAM_AIRDATE=1.0, MATCH_PARAM_SEASON_EPISODE=1.0}'}]",,True,True,[10338675],Fail,Fail
36674,6982679,6852854107,3447017149, 'title match only',Listen Up!! A Tale from the Past, 'Listen Up!! A Tale From The Past',|['',12325819,12325819,,,,,,,Pass,Pass
36674,6982684,6266997128,3447017149, 'title match only',Encounter, 'Encounter',|['',10340341,13580240,[{'sourceId': '6982684'}],"[{'rovi_projectx_id_mapped': 'rovi_id:6266997128,Map_reason:not found in projectx'}, {'sourceId': '8416779,Map_reason:{MATCH_PARAM_EPISODE_TITLE=1.0, MATCH_PARAM_AIRDATE=1.0, MATCH_PARAM_SEASON_EPISODE=1.0}'}]",,True,True,[10338675],Fail,Fail
36674,8416776,5657377180,3447017149, 'title match only',Hero Killer: Stain vs. U.A. Students, 'Hero Killer Stain vs U.A. Students',|['H\xc4\xabr\xc5\x8d Goroshi Sutein vs U.A. Seito',10342182,10342182,,,,,,,Pass,Pass
36674,7262804,5652644866,3447017149, 'title match only',Time to Pick Some Names, 'Time To Pick Some Names',|['Namae o Tsuke te Miy\xc5\x8d no Kai',10342092,13580323,[{'sourceId': '7262804'}],"[{'rovi_projectx_id_mapped': 'rovi_id:5652644866,Map_reason:not found in projectx'}, {'sourceId': '8416782,Map_reason:{MATCH_PARAM_EPISODE_TITLE=1.0, MATCH_PARAM_AIRDATE=1.0, MATCH_PARAM_SEASON_EPISODE=1.0}'}]",,True,True,[10338675],Fail,Fail
