GuideBox_sm_id,Rovi_sm_id,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,variant_present,Comment,Result of mapping series
1602,2404187,3115119,3115119,,,,,,Pass,Pass
1634,81488,3906331,3906331,,,,,,Pass,Pass
1666,9543008,5506613,5506613,,,,,,Pass,Pass
1668,8177671,5480843,5480843,,,,,,Pass,Pass
1847,2001324,2852148,2852148,,,,,,Pass,Pass
1857,555373092,8233567,8233567,,,,,,Pass,Pass
1913,284669,4120439,4120439,,,,,,Pass,Pass
1925,14043,4013898,4013898,,,,,,Pass,Pass
1986,3524243506,3990387,3990387,,,,,,Pass,Pass
1988,970480,4735582,4735582,,,,,,Pass,Pass
1991,925531,2938730,2938730,,,,,,Pass,Pass
2010,727975,2914382,2914382,,,,,,Pass,Pass
2044,63214,4019183,4019183,,,,,,Pass,Pass
2047,7974453,5478410,5478410,,,,,,Pass,Pass
2061,460432,4333361,4333361,,,,,,Pass,Pass
2081,12072966,6038694,6038694,,,,,,Pass,Pass
2093,1845884,5195269,5195269,,,,,,Pass,Pass
2127,1327996,4921639,4921639,,,,,,Pass,Pass
2176,1175431,4819908,4819908,,,,,,Pass,Pass
2187,2494135,5474330,5474330,,,,,,Pass,Pass
2191,427079,3008191,3008191,,,,,,Pass,Pass
2197,2177919,5351930,5351930,,,,,,Pass,Pass
2198,420768,4169495,4169495,,,,,,Pass,Pass
2199,2151616,5342541,5342541,,,,,,Pass,Pass
2202,1281479,4892892,4892892,,,,,,Pass,Pass
2234,1617450,5077583,5077583,,,,,,Pass,Pass
2237,18195291,7165277,7165277,,,,,,Pass,Pass
2242,17983367,3092096,3092096,,,,,,Pass,Pass
2243,566753,4432154,4432154,,,,,,Pass,Pass
2254,1903891,5225973,5225973,,,,,,Pass,Pass
2255,16587862,6896287,6896287,,,,,,Pass,Pass
2266,19187177,3331297,3331297,,,,,,Pass,Pass
2277,2064597,5302873,5302873,,,,,,Pass,Pass
2278,272278,4106153,4106153,,,,,,Pass,Pass
2282,9714586,5508138,5508138,,,,,,Pass,Pass
2293,271648,4105039,4105039,,,,,,Pass,Pass
2298,17504046,7009947,7009947,,,,,,Pass,Pass
2303,1367857,4950413,4950413,,,,,,Pass,Pass
2312,13927066,3471166,3471166,,,,,,Pass,Pass
2331,2333226,5410184,5410184,,,,,,Pass,Pass
2336,2223162,3298851,3298851,,,,,,Pass,Pass
2355,2297541,5397904,5397904,,,,,,Pass,Pass
2375,13196091,6773479,6773479,,,,,,Pass,Pass
2391,2373697,5427704,5427704,,,,,,Pass,Pass
2423,7896323,5477060,5477060,,,,,,Pass,Pass
2447,1687145,3960644,3960644,,,,,,Pass,Pass
2452,2240976,9984227,9984227,,,,,,Pass,Pass
2458,1897386,5222489,5222489,,,,,,Pass,Pass
2463,2156660,5344137,5344137,,,,,,Pass,Pass
2465,1902026,5224838,5224838,,,,,,Pass,Pass
2467,2156661,5344114,5344114,,,,,,Pass,Pass
2478,18098135,7129945,7129945,,,,,,Pass,Pass
2481,8604291,5490032,5490032,,,,,,Pass,Pass
2528,19917674,3642426,3642426,,,,,,Pass,Pass
2531,19257059,3433801,3433801,,,,,,Pass,Pass
2535,21546171,3525524,3525524,,,,,,Pass,Pass
2536,19917282,2762107,2762107,,,,,,Pass,Pass
2539,11989063,3485842,2847704,"[{'2847704': 'rovi_id:2327943,Map_reason:not found in projectx'}, {'source_id': '2539,Map_reason:{""color"":0,""language"":1,""credits"":0,""directors"":0,""part_names"":0,""episode_titles"":0.8333333333,""genres"":1.0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":1.0,""season_count"":0,""genres_missing"":0,""credits_missing"":1,""directors_missing"":1,""part_names_missing"":1,""release_year"":1,""run_time"":0,""release_year_diff"":0,""release_year_missing"":0,""run_time_diff"":3550,""run_time_missing"":0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1,""id_1"":""projectx:2847704"",""id_2"":""guidebox:SM-2539"",""score"":4.9333333333}'}]","[{'3485842': 'rovi_id:11989063,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":12,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",True,,False,Fail,Fail
