source,id,SM_id,link_details,movie_title,series_title,episode_title,release_year,link_expired,Projectx_ids,Variant id present for episode,Variant parent id for Episode,Projectx_series_id,comment,Result,Gb_id duplicate,Duplicate ids in search,Credit_match,Rovi_id count for duplicate,Gb_id count for duplicate,GuideBox_id count for duplicate,Mapped rovi_id for duplicate,Mapped Gb_id for duplicate,Mapped GuideBox_id for duplicate,variant_parent_id_present,variant_parent_id,link_fetched_from,Sources of link
GuideBox,7804625,27948,[{'amazon': 'B077NYDB5F'}],,Mobil 1 The Grid,Mobil 1 The Grid 11/05/17,,FALSE,[13266628],,,,"('No multiple ids for this link', [{'amazon': 'B077NYDB5F'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3555611,27950,[{'itunes': '1006001008'}],,Breaking Magic,Book Bunjee,,FALSE,"[13266116, 3486099]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
GuideBox,3409719,27958,[{'itunes': '937027228'}],,Dark Rising: Warrior of Worlds,In Sckraab We Trust,,FALSE,[],,,,"('No multiple ids for this link', [{'itunes': '937027228'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3409319,27959,[{'itunes': '489448609'}],,Transform Your Body With Brooke Burke,Tone & Tighten,,FALSE,[7610595],,,,"('No multiple ids for this link', [{'itunes': '489448609'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3409302,27961,[{'itunes': '836809030'}],,The Trip to Bountiful,The Trip to Bountiful,,FALSE,[13265868],,,,"('No multiple ids for this link', [{'itunes': '836809030'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3409353,27962,[{'itunes': '958830321'}],,UFC Fight Pass,Mark Hunt vs. Roy Nelson - UFC Fight Night 52,,FALSE,[13266274],,,,"('No multiple ids for this link', [{'itunes': '958830321'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3524999,27965,[{'itunes': '1031374675'}],,Arthur and George,Episode 3,,FALSE,"[3552439, 9296866, 14782932]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
GuideBox,3409732,27969,[{'hulu': 'c18ea602-ebfd-4a45-94ea-f00fcdf139d0'}],,Tricky Tracks,Chickens | Bear's Friends,,FALSE,[13267378],,,,"('No multiple ids for this link', [{'hulu': 'c18ea602-ebfd-4a45-94ea-f00fcdf139d0'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,5292187,27971,[{'itunes': '1098922311'}],,All-Star Academy,History,,FALSE,[9306289],,,,"('No multiple ids for this link', [{'itunes': '1098922311'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3416367,27974,[{'amazon': 'B01J4PXZ6C'}],,Small Animal Hospital,Callie the Collie,,FALSE,[9138275],,,,"('No multiple ids for this link', [{'amazon': 'B01J4PXZ6C'}])",No multiple ids for this link,,,,,,,,,,,,,
