source,id,SM_id,show_type,link_details,movie_title,series_title,episode_title,release_year,link_expired,Projectx_ids,Variant id present for episode,Variant parent id for Episode,Projectx_series_id,comment,Result,Gb_id duplicate,Duplicate ids in search,Credit_match,Rovi_id count for duplicate,Gb_id count for duplicate,GuideBox_id count for duplicate,Mapped rovi_id for duplicate,Mapped Gb_id for duplicate,Mapped GuideBox_id for duplicate,variant_parent_id_present,variant_parent_id,link_fetched_from,Sources of link
GuideBox,9414363,42810,SE,,,,North Carolina vs. #20 Virginia Tech (Softball),,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,9414364,42927,SE,,,,#21 TCU vs. Kansas State (Baseball),,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,9414366,42720,SE,,,,#3 North Carolina vs. #13 Duke (W Lacrosse),,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,9414372,41520,SE,,,,NCAA Women's Gymnastics Championships (Trophy Presentation),,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,9414385,41005,SE,,,,SEC Women's Golf Championship: Semis Part 2 (Semifinals),,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,9414387,28195,SE,,,,Secret History of Jesus,,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,9414389,24035,SE,,,,Toronto Raptors vs. Oklahoma City Thunder,,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,9414395,21965,SE,,,,Kinka-who?,,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,9414405,12471,SE,,,,Trash Talk,,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,9414407,54722,SE,,,,Episode 3,,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,9414408,52783,SE,,,,Nightly Pop 4/21,,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,9414409,52193,SE,,,,LadyGang and Chill,,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,9414410,50312,SE,,,,Trigesima Eliminacion,,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,9414411,50217,SE,,,,Noticias Telemundo 04-21,,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,9414412,48219,SE,,,,Making a cool fort for kids!,,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,9414413,47717,SE,,,,Rayos del Necaxa vs. Tuzos del Pachuca (Jornada 15),,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,9414414,46947,SE,,,,Dreaming of the Beach,,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,9414415,43529,SE,,,,Beverly Hills Dog Show,,,,,,,No series_title for this episode,No series title for this episode,,,,,
