GuideBox_id,Rovi_id,movie_name,release_year,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,variant_present,Comment,Result of mapping
106705,1064122,Geisha Girl,1952,579720,579720,,,,,,Pass,Pass
106855,425552,He Found A Star,1941,567025,567025,,,,,,Pass,Pass
106930,31153,The Fighting Trooper,1934,509018,509018,,,,,,Pass,Pass
107182,5508908082,Alone With Mr. Carter,2011,178785,178785,,,,,,Pass,Pass
107306,1356872248,The 28th Day: The Wrath of Steph,2013,883326,883326,,,,,,Pass,Pass
107454,1063767,Nun and The Sergeant,1962,579524,579524,,,,,,Pass,Pass
107627,1175460669,7 Stones,2012,271268,271268,,,,,,Pass,Pass
107756,989723374,Return to Zero,2014,30275,30275,,,,,,Pass,Pass
107831,857153397,Inga Enna Solluthu,2014,13770625,889609,"[{'source_projectx_id_mapped': 'rovi_id:1410170934,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":6,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '107831'}]","[{'rovi_projectx_id_mapped': 'rovi_id:857153397,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":23,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",True,,False,Fail,Fail
107878,1357199194,Zombie Killers: Elephant's Graveyard,2015,883362,883362,,,,,,Pass,Pass
107886,1328429063,Tyler Perry's Madea's Tough Love,2015,276782,276782,,,,,,Pass,Pass
107948,1072544,There Must Be A Pony,1986,394883,394883,,,,,,Pass,Pass
107956,1174607338,John Wick,2014,123472,123472,,,,,,Pass,Pass
107990,587776979,Bhadaas,2013,823816,823816,,,,,,Pass,Pass
108013,2279329,The Edelweiss Pirates,2004,199757,199757,,,,,,Pass,Pass
108040,361712476,Civil Love,2012,304235,304235,,,,,,Pass,Pass
108090,1443554658,Regresa,2010,891617,891617,,,,,,Pass,Pass
108097,1084217,Great Elephant Escape,1995,35613,35613,,,,,,Pass,Pass
108164,19678064,Fate / Stay Night Unlimited Blade Works,2010,767756,767756,,,,,,Pass,Pass
108262,509131079,As High As The Sky,2013,816100,816100,,,,,,Pass,Pass
108275,1775668706,Breaking Through,2015,159778,159778,,,,,,Pass,Pass
108389,426358,Stromboli,1950,12258196,12258196,,,,,,Pass,Pass
108794,1058894583,Ink & Steel,2014,859146,859146,,,,,,Pass,Pass
109038,66913675,Small Creatures,2011,791175,791175,,,,,,Pass,Pass
109328,114170,La Chambre Blanche,1969,530878,530878,,,,,,Pass,Pass
109331,449774,Follow the Boys,1963,569141,569141,,,,,,Pass,Pass
109333,1060484,A Kiss in the Dark,1949,65792,65792,,,,,,Pass,Pass
109334,460500,The Crowd Roars,1932,570752,570752,,,,,,Pass,Pass
109335,1071884,Polly of the Circus,1932,584143,584143,,,,,,Pass,Pass
109336,1063510,Mothers Cry,1930,579397,579397,,,,,,Pass,Pass
109337,451303,The Idle Rich,1929,569343,569343,,,,,,Pass,Pass
109371,1068899,Six Pack Annie,1975,582369,582369,,,,,,Pass,Pass
109389,5642571355,Bikini Swamp Girl Massacre,2014,1050862,1050862,,,,,,Pass,Pass
109455,778627442,Before I Go To Sleep,2014,122852,122852,,,,,,Pass,Pass
109456,1001185554,The Identical,2014,141599,141599,,,,,,Pass,Pass
109457,891027649,My Old Lady,2014,128151,128151,,,,,,Pass,Pass
109458,1180776293,Out of the Dark,2014,128399,128399,,,,,,Pass,Pass
109459,322058457,Love or Whatever,2012,800773,800773,,,,,,Pass,Pass
109464,869253180,Guardian,2014,847115,847115,,,,,,Pass,Pass
109466,699108615,Last Summer,2013,835139,835139,,,,,,Pass,Pass
109467,694061701,Still Life,2013,21563,21563,,,,,,Pass,Pass
109468,22033118,Born Of War,2013,779927,779927,,,,,,Pass,Pass
109470,1443730385,Story of Eva,2015,891616,891616,,,,,,Pass,Pass
109475,4704700945,Fist 2 Fist 2: Weapon of Choice,2015,1018212,1018212,,,,,,Pass,Pass
109477,569449744,Diving Normal,2013,823042,823042,,,,,,Pass,Pass
109478,320938641,Suddenly It's Magic,2012,800604,800604,,,,,,Pass,Pass
109501,3737938856,Still Life: A Three Pines Mystery,2013,457631,457631,,,,,,Pass,Pass
109503,1291399386,Against The Sun,2014,873988,873988,,,,,,Pass,Pass
109504,860208186,Beyond the Lights,2014,846390,846390,,,,,,Pass,Pass
109505,865745432,Appropriate Behavior,2015,146578,146578,,,,,,Pass,Pass
109506,999680270,Match,2014,855219,855219,,,,,,Pass,Pass
109574,9712212,The Confessional,2009,653124,653124,,,,,,Pass,Pass
109575,17316916,Backroad,2012,741857,741857,,,,,,Pass,Pass
109581,425512,No Exit,1995,2022,2022,,,,,,Pass,Pass
109606,1067643,Sharks' Treasure,1975,581646,581646,,,,,,Pass,Pass
109609,3676557963,Committed,1984,313092,313092,,,,,,Pass,Pass
109629,351038,The Castle,1997,559999,559999,,,,,,Pass,Pass
109635,927216151,The Wedding Ringer,2015,12279137,12279137,,,,,,Pass,Pass
109636,66913673,Paddington,2014,137070,137070,,,,,,Pass,Pass
109637,1070765095,Nightcrawler,2014,123988,123988,,,,,,Pass,Pass
109638,743598189,Vandal,2013,253692,253692,,,,,,Pass,Pass
