GuideBox_id,Rovi_id,movie_name,release_year,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,variant_present,Comment,Result of mapping,hulu_id_present,vudu_id_present
154374,5057390746,Death Note,2017,1035063,1035063,,,,,,Pass,Pass,,
29814,1449811,Frailty,2001,74325,74325,,,,,,Pass,Pass,,
116973,1496475666,Absolution,2015,127474,127474,,,,,,Pass,Pass,,
116991,1370825985,The D Train,2015,12282884,12282884,,,,,,Pass,Pass,,
134375,3237783795,The Land Before Time XIV: Journey of the Brave,2016,18426,18426,,,,,,Pass,Pass,,
140314,3525200042,Hard Target 2,2016,21101,21101,,,,,,Pass,Pass,,
140316,3986123992,R.L. Stine's Mostly Ghostly: One Night in Doom House,2016,316030,316030,,,,,,Pass,Pass,,
141230,3965396128,Rampage: President Down,2016,19368,19368,,,,,,Pass,Pass,,
141788,3433349271,Finding Altamira,2016,979574,979574,,,,,,Pass,Pass,,
142337,4076761705,Marvel's Hulk: Where Monsters Dwell,2016,159708,321613,"[{'321613': 'rovi_id:4190772669,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":14,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '142337'}]","[{'159708': 'rovi_id:4076761705,Map_reason:{""titleMapType"":""Partial"",""titleScore"":0.6,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":34,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'vudu_id': '792465'}]",TRUE,,FALSE,Fail,Fail,FALSE,TRUE
113705,860208228,Yves Saint Laurent,2014,127169,127169,,,,,,Pass,Pass,,
139710,3142090471,The People vs. Fritz Bauer,2015,153990,153990,,,,,,Pass,Pass,,
744,1450755,Following,1999,102817,102817,,,,,,Pass,Pass,,
143843,2012569594,Heidi,2015,953603,953603,,,,,,Pass,Pass,,
151084,4545167630,Bigger Fatter Liar,2017,20906,20906,,,,,,Pass,Pass,,
31089,16881272,Practical Magic,1998,12265414,12265414,,,,,,Pass,Pass,,
65556,1665145,13 Going on 30,2004,70206,70206,,,,,,Pass,Pass,,
32662,2428884,Inglourious Basterds,2009,85462,85462,,,,,,Pass,Pass,,
30807,1569968,The Matrix Reloaded,2003,62832,62832,,,,,,Pass,Pass,,
280,83893,Scream,1996,53014,53014,,,,,,Pass,Pass,,
34826,1153185,The Astronaut's Wife,1999,55165,55165,,,,,,Pass,Pass,,
136217,3280537297,The Invitation,2015,965166,965166,,,,,,Pass,Pass,,
136563,1505270862,Sing Street,2016,151121,151121,,,,,,Pass,Pass,,
152213,4130223079,Berlin Syndrome,2017,1008215,1008215,,,,,,Pass,Pass,,
38986,2224930,Across the Universe,2007,92198,92198,,,,,,Pass,Pass,,
50157,2352090,Burn After Reading,2008,78073,78073,,,,,,Pass,Pass,,
33227,2173633,The Last Mimzy,2007,72170,72170,,,,,,Pass,Pass,,
83316,1581818,Rugrats Go Wild,2003,73153,73153,,,,,,Pass,Pass,,
