rovi_id,hulu_id,px_id1,px_id1_show_type,px_id1_variant_parent_id,px_id1_is_group_language_primary,px_id1_record_language,px_id2,px_id2_show_type,px_id2_variant_parent_id,px_id2_is_group_language_primary,px_id2_record_language,px_id1_credits_null,px_id1_db_credit_present,px_id2_credits_null,px_id2_db_credit_present,long_title_match,original_title_match,runtime_match,release_year_match,alias_title_match,credit_match
9101122,1603,792427,SM,,TRUE,EN,14062589,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
556694697,11908,1583606,SM,,TRUE,EN,14040109,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,
874705204,21723,1890762,SM,,TRUE,EN,2806992,SM,,TRUE,EN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,
661156610,14516,1733690,SM,,TRUE,EN,3080705,SM,,TRUE,EN,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
4092282937,27489,2880385,SM,,TRUE,EN,14062952,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
310172451,20725,1565277,SM,,TRUE,EN,3517942,SM,,TRUE,EN,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE
5917517421,40002,3576661,SM,,TRUE,EN,13653345,SM,,TRUE,EN,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
6007610610,35100,3602778,SM,,TRUE,EN,14054087,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
4160161076,27451,2997751,SM,,TRUE,EN,14052713,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
2373513,10890,715466,SM,,TRUE,EN,13948742,SM,,TRUE,EN,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,TRUE
66290102,31373,1476405,SM,,TRUE,EN,14050095,SM,,TRUE,EN,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,TRUE
637365240,16752,1749871,SM,,TRUE,EN,13586683,SM,,TRUE,EN,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE
3162925257,29991,2599074,SM,,TRUE,EN,13939903,SM,,TRUE,EN,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE
561774475,20898,1720494,SM,,TRUE,EN,11226,SM,,TRUE,EN,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,FALSE
2452348,16406,749848,SM,,TRUE,EN,1123896,SM,,TRUE,EN,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,TRUE
1800074,17976,91920,SM,,TRUE,EN,14061912,SM,,TRUE,EN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
2020459,21722,12256,SM,,TRUE,EN,14062570,SM,,TRUE,EN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
297633806,31332,11426,SM,,TRUE,EN,14049455,SM,,TRUE,EN,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
1702819,12745,67954,SM,,TRUE,EN,14036575,SM,,TRUE,EN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
2491249,17861,765048,SM,,TRUE,EN,1316783,SM,,TRUE,EN,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,FALSE
945674413,15730,1819319,SM,1901865,TRUE,EN,14056432,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
3537445761,28460,2761775,SM,,TRUE,EN,3466114,SM,,TRUE,EN,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,
4493604648,13588,3107634,SM,,TRUE,EN,14050771,SM,,TRUE,EN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
3448371359,28313,2735417,SM,,TRUE,EN,3546075,SM,,TRUE,EN,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,TRUE
556695462,11709,1338353,SM,,TRUE,EN,14046002,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
19679741,7936,1338285,SM,,TRUE,EN,14056160,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
1198107253,19276,2092968,SM,,TRUE,EN,14044092,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
1318363996,20147,2193593,SM,,TRUE,EN,14057923,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
1105554128,18217,2028510,SM,,TRUE,EN,14045081,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
3591543502,25292,2777347,SM,,TRUE,EN,14059406,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
655464834,15054,1760934,SM,,TRUE,EN,13970131,SM,,TRUE,EN,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
435680,23315,97867,SM,,TRUE,EN,14003754,SM,,TRUE,EN,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
333627570,12103,1589736,SM,,TRUE,EN,14043540,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,
506526069,12104,1590541,SM,,TRUE,EN,14057328,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
1398127281,20501,2264272,SM,,TRUE,EN,14057799,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
662768752,13951,11010,SM,,TRUE,EN,14057218,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
1490454138,21550,2337415,SM,,TRUE,EN,14061200,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,
902519422,16924,1907626,SM,,TRUE,EN,14059657,SM,,TRUE,JA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,
