Hulu_id,Rovi_id,movie_name,release_year,projectx_id_rovi,projectx_id_Hulu,Dev_Hulu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Hulu_id_present,variant_present,Comment,Result of mapping
1122722,1370825643,Bound To Vengeance,2015,884736,884736,,,,,,Pass,Pass
1122689,16870604,Angel of Mine,2008,84657,84657,,,,,,Pass,Pass
1122719,2253852,American Venus,2008,935692,935692,,,,,,Pass,Pass
1106717,1022114576,Lewis Black: Old Yeller - Live at the Borgata,2013,2173093,2173093,,,,,,Pass,Pass
1120269,322643155,Almost Human ,2014,866385,14531707,[{'source_id': '1120269'}],"[{'rovi_projectx_id_mapped': 'rovi_id:322643155,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":10,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",,,False,Fail,Fail
1140808,4103973056,Tracktown,2017,1014810,1014810,,,,,,Pass,Pass
1115169,423094,Bad Company ,1972,55057,55057,,,,,,Pass,Pass
1110929,427177,Hannie Caulder,1971,84038,84038,,,,,,Pass,Pass
1107380,842641098,Step Dogs,2013,845350,845350,,,,,,Pass,Pass
1106842,1010656504,WolfCop,2014,855909,855909,,,,,,Pass,Pass
1106808,282836,Gilbert Gottfried: Dirty Jokes,2005,1111254,1111254,,,,,,Pass,Pass
1106716,1325494224,Gary Owen: I Agree with Myself,2015,379293,379293,,,,,,Pass,Pass
1105057,21635053,Beneath the Darkness,2011,110938,110938,,,,,,Pass,Pass
1106518,328964945,Odd Thomas,2014,821933,821933,,,,,,Pass,Pass
1106487,364803385,The Numbers Station,2013,113466,113466,,,,,,Pass,Pass
1105056,292132597,D.L. Hughley: Reset,2012,1760995,1760995,,,,,,Pass,Pass
1112354,1553795723,You're Killing Me,2015,900475,900475,,,,,,Pass,Pass
1150845,4698273398,The Reagan Show,2017,1024117,1024117,,,,,,Pass,Pass
1119622,982760125,The Swan Princess,1994,53747,53747,,,,,,Pass,Pass
1119620,1231612,Center Stage,2000,58262,58262,,,,,,Pass,Pass
1094040,337794309,The Magic Hockey Skates,2012,[1882518],Nil,,,,,,source_id not ingested,Fail
1094039,1051682399,Lost and Found ,2008,[266137],Nil,,,,,,source_id not ingested,Fail
1111360,432366009,Good Ol' Freda,2013,811701,811701,,,,,,Pass,Pass
1111359,21624670,John Dies at the End,2013,123937,123937,,,,,,Pass,Pass
1110891,2417424,Humpday,2009,647644,647644,,,,,,Pass,Pass
1111358,18983075,Melancholia,2011,95077,95077,,,,,,Pass,Pass
1111357,2352137,The Oxford Murders,2010,86945,86945,,,,,,Pass,Pass
1105818,455824,The Furies,1950,165607,165607,,,,,,Pass,Pass
1105817,453083,Johnny Guitar,1954,83244,83244,,,,,,Pass,Pass
1156248,6689429260,Blind,2017,1082799,1082799,,,,,,Pass,Pass
1105816,1072059,Tall Stranger,1957,153439,153439,,,,,,Pass,Pass
1105814,467511,The Eagle And The Hawk,1950,571981,571981,,,,,,Pass,Pass
1106499,19220282,The Letter ,2012,110873,14618461,[{'source_id': '1106499'}],"[{'rovi_projectx_id_mapped': 'rovi_id:19220282,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":160,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",,,False,Fail,Fail
1105812,453852,A Man Alone,1955,569798,569798,,,,,,Pass,Pass
1106497,1667584,Godsend,2004,69892,69892,,,,,,Pass,Pass
1173080,4849767671,Austin Found,2017,1023227,1023227,,,,,,Pass,Pass
1103960,4461509308,A Conspiracy To Rule: The Illuminati,2017,325813,325813,,,,,,Pass,Pass
1081753,4735186667,Becoming Bond,2017,360896,360896,,,,,,Pass,Pass
1109467,3743460943,Ozzy,2016,153684,153684,,,,,,Pass,Pass
1082916,13893500,Hobo with a Shotgun,2011,736155,736155,,,,,,Pass,Pass
1158162,4526396369,Phoenix Forgotten,2017,171766,171766,,,,,,Pass,Pass
1106486,1828632055,Regular Show: The Movie,2015,18218,18218,,,,,,Pass,Pass
1090523,4134290982,Krampus Unleashed,2016,319237,319237,,,,,,Pass,Pass
1093527,1997144098,Greater,2016,962772,962772,,,,,,Pass,Pass
1087281,22254360,Arbitrage,2012,105096,105096,,,,,,Pass,Pass
1084600,1055872,Bullwhip,1958,575307,575307,,,,,,Pass,Pass
1087259,3365710000,Transpecos,2016,983152,983152,,,,,,Pass,Pass
1086233,4958340087,Dumb: The Story of Big Brother Magazine,2017,1027408,1027408,,,,,,Pass,Pass
1074856,4541963004,Batman & Bill,2017,360889,360889,,,,,,Pass,Pass
1070985,471706,Law of the Lawless,1964,572761,572761,,,,,,Pass,Pass
1070984,2357021,Bait Shop,2008,8143,8143,,,,,,Pass,Pass
1070980,2397002,Repo! The Genetic Opera,2008,109061,109061,,,,,,Pass,Pass
1141361,982759582,Hammer of the Gods,2013,128973,128973,,,,,,Pass,Pass
1139220,3998392403,Hounds of Love,2017,1004814,1004814,,,,,,Pass,Pass
1321921,364100289,Very Good Girls,2013,141139,141139,,,,,,Pass,Pass
1055444,1072707,Warpath,1951,112769,112769,,,,,,Pass,Pass
1053333,1325585407,NYC Underground,2013,878978,878978,,,,,,Pass,Pass
1478332,1279112,Steal This Movie,2000,609343,609343,,,,,,Pass,Pass
1055515,1071885,Pony Express,1953,63486,63486,,,,,,Pass,Pass
1040944,1213249,The Big Kahuna,2000,57249,57249,,,,,,Pass,Pass
1043928,3944898585,Dancer,2016,164313,1014511,"[{'source_projectx_id_mapped': 'rovi_id:3522135762,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":49,""totalScore"":0.0,""LanguageMatch"":false,""creditWeight"":0.5}'}, {'source_id': '1043928'}]","[{'rovi_projectx_id_mapped': 'rovi_id:3944898585,Map_reason:{""titleMapType"":""Distance"",""titleScore"":0.8571428571428572,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":26,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",True,,False,Fail,Fail
1030107,1686614460,Flock of Dudes,2016,150186,150186,,,,,,Pass,Pass
1030152,1890558966,Kampai! For the Love of Sake,2015,982620,982620,,,,,,Pass,Pass
1029124,3310706210,Ants on a Shrimp,2016,980585,980585,,,,,,Pass,Pass
1025759,1496943441,Roseanne For President!,2016,979341,979341,,,,,,Pass,Pass
1019627,3238647399,Free to Run,2016,974173,974173,,,,,,Pass,Pass
1016051,1737871345,Monkey King: Hero is Back,2016,148267,148267,,,,,,Pass,Pass
1016967,1933047,King Kong,2005,75777,75777,,,,,,Pass,Pass
1010899,28810,Evangeline,2015,508391,955805,"[{'source_projectx_id_mapped': 'rovi_id:1230822385,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":4,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '1010899'}]","[{'rovi_projectx_id_mapped': 'rovi_id:28810,Map_reason:{""titleMapType"":""Partial"",""titleScore"":0.6,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":273,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",True,,False,Fail,Fail
1041965,66894748,The Greatest Movie Ever Rolled,2014,232927,232927,,,,,,Pass,Pass
1003000,3158404209,Joshy,2016,164397,164397,,,,,,Pass,Pass
1001284,459924,Point Break ,1991,51344,14618458,[{'source_id': '1001284'}],"[{'rovi_projectx_id_mapped': 'rovi_id:459924,Map_reason:not found in projectx'}]",,,False,Fail,Fail
1009388,446524,Con Air,1997,51230,51230,,,,,,Pass,Pass
1001315,19935984,The Best Player,2011,41591,41591,,,,,,Pass,Pass
1001695,1978135220,Half-Shell Heroes: Blast to the Past,2015,383727,383727,,,,,,Pass,Pass
1001314,333922607,A Fairly Odd Christmas,2012,28277,28277,,,,,,Pass,Pass
1001313,66530749,Rags,2012,27570,27570,,,,,,Pass,Pass
1001312,3256982419,Rufus,2016,31348,31348,,,,,,Pass,Pass
999625,810955507,Jinxed,2013,28634,28634,,,,,,Pass,Pass
999627,17227250,The Boy Who Cried Werewolf,2010,26971,26971,,,,,,Pass,Pass
1000375,1879023470,Liar Liar Vampire,2015,12285070,12285070,,,,,,Pass,Pass
1001311,1739978949,The Massively Mixed-Up Middle School Mystery,2015,380551,380551,,,,,,Pass,Pass
1001698,1650757333,One Crazy Cruise,2015,30367,30367,,,,,,Pass,Pass
1005499,667324118,Swindle,2013,28418,28418,,,,,,Pass,Pass
999961,1301813348,Santa Hunters,2014,29096,29096,,,,,,Pass,Pass
1001309,1410523076,Splitting Adam,2015,12283190,12283190,,,,,,Pass,Pass
1001308,15057058,A Fairly Odd Movie: Grow Up Timmy Turner!,2011,27526,27526,,,,,,Pass,Pass
999797,2058595,The Ant Bully,2006,69983,69983,,,,,,Pass,Pass
999782,2428783,Up in the Air,2009,84614,84614,,,,,,Pass,Pass
999778,1067360,Rollerball ,1975,63791,14618457,[{'source_id': '999778'}],"[{'rovi_projectx_id_mapped': 'rovi_id:1067360,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":464,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",,,False,Fail,Fail
999777,427821,Mermaids ,1990,49881,14618456,[{'source_id': '999777'}],"[{'rovi_projectx_id_mapped': 'rovi_id:427821,Map_reason:{""titleMapType"":""Distance"",""titleScore"":0.875,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":32,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",,,False,Fail,Fail
999776,436054,Major League,1989,50937,50937,,,,,,Pass,Pass
987603,1187144,Sleepy Hollow ,1999,60400,14618455,[{'source_id': '987603'}],"[{'rovi_projectx_id_mapped': 'rovi_id:1187144,Map_reason:{""titleMapType"":""Partial"",""titleScore"":0.6,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":16,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",,,False,Fail,Fail
988116,423364,Quigley Down Under,1990,51166,51166,,,,,,Pass,Pass
988111,1374653,Lost and Delirious,2001,12259647,12259647,,,,,,Pass,Pass
988107,1315899,The Gift ,2001,58962,1236961,"[{'source_projectx_id_mapped': 'rovi_id:1356291,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":11,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '988107'}]","[{'rovi_projectx_id_mapped': 'rovi_id:1315899,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":4,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",True,,False,Fail,Fail
980384,1137644085,The Beatles: Eight Days a Week - The Touring Years,2016,149034,149034,,,,,,Pass,Pass
988105,6714556724,City of Gold ,2016,358807,358807,,,,,,Pass,Pass
986980,532887853,Venus in Fur,2013,112128,112128,,,,,,Pass,Pass
