Vudu_sm_id,Vudu_id,Rovi_id,Rovi_SM_id,projectx_id_rovi,projectx_id_Vudu,Dev_Vudu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Vudu_id_present,series_id_match,Px_series_id,Episode mapping,Comment,gb_id_present,hulu_id_present
290861,290501,2022140,1632441,5090698,5090698,,,,,,,Pass,Pass,,
290861,290505,17890361,1632441,5091072,5091072,,,,,,,Pass,Pass,,
290967,290517,2418166,2151719,5344332,14879638,[{'source_id': '290517'}],"[{'rovi_projectx_id_mapped': 'rovi_id:2418166,Map_reason:not found in projectx'}]",,,False,"[14879628, 5342699]",Fail,Fail,,
290967,290521,2423807,2151719,5344693,14879640,[{'source_id': '290521'}],"[{'rovi_projectx_id_mapped': 'rovi_id:2423807,Map_reason:not found in projectx'}]",,,False,"[14879628, 5342699]",Fail,Fail,,
290967,290525,2429822,2151719,5345022,14879642,[{'source_id': '290525'}],"[{'rovi_projectx_id_mapped': 'rovi_id:2429822,Map_reason:not found in projectx'}]",,,False,"[14879628, 5342699]",Fail,Fail,,
290967,290529,2430063,2151719,5345254,14879644,[{'source_id': '290529'}],"[{'rovi_projectx_id_mapped': 'rovi_id:2430063,Map_reason:not found in projectx'}]",,,False,"[14879628, 5342699]",Fail,Fail,,
290967,290533,2430064,2151719,5345448,14879646,[{'source_id': '290533'}],"[{'rovi_projectx_id_mapped': 'rovi_id:2430064,Map_reason:not found in projectx'}]",,,False,"[14879628, 5342699]",Fail,Fail,,
290967,290537,2440662,2151719,5345617,14879648,[{'source_id': '290537'}],"[{'rovi_projectx_id_mapped': 'rovi_id:2440662,Map_reason:not found in projectx'}]",,,False,"[14879628, 5342699]",Fail,Fail,,
290967,290541,2440664,2151719,5345873,14879650,[{'source_id': '290541'}],"[{'rovi_projectx_id_mapped': 'rovi_id:2440664,Map_reason:not found in projectx'}]",,,False,"[14879628, 5342699]",Fail,Fail,,
290967,290545,2440665,2151719,5346401,14879652,[{'source_id': '290545'}],"[{'rovi_projectx_id_mapped': 'rovi_id:2440665,Map_reason:not found in projectx'}]",,,False,"[14879628, 5342699]",Fail,Fail,,
