Vudu_id,Rovi_id,projectx_id_rovi,projectx_id_Vudu,Dev_Vudu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Vudu_id_present,variant_present,Comment,Result of mapping
10108,429990,80583,80583,,,,,,Pass,Pass
10111,1652391,63624,63624,,,,,,Pass,Pass
10113,1066550,130501,130501,,,,,,Pass,Pass
10118,19139947,64366,14568421,"[{'source_id': '10118,Map_reason:not found in projectx'}]","[{'64366': 'rovi_id:19139947,Map_reason:not found in projectx'}]",,,False,Fail,Fail
10119,466091,571726,571726,,,,,,Pass,Pass
10120,446902,50536,50536,,,,,,Pass,Pass
10123,1080182,361970,361970,,,,,,Pass,Pass
10126,1013032,42356,42356,,,,,,Pass,Pass
10127,1609134,63780,63780,,,,,,Pass,Pass
10131,450342,64377,64377,,,,,,Pass,Pass
10132,437025,80201,80201,,,,,,Pass,Pass
10136,1054340057,[51494],[51494],,,,,,Pass,Pass
10145,1646419,100356,100356,,,,,,Pass,Pass
10146,989232198,68364,68364,,,,,,Pass,Pass
10150,1689106,67635,67635,,,,,,Pass,Pass
10151,1062700,74811,74811,,,,,,Pass,Pass
10153,430013,93950,93950,,,,,,Pass,Pass
10155,429961,567533,567533,,,,,,Pass,Pass
10157,435266,567950,567950,,,,,,Pass,Pass
10165,17894394,12266538,12266538,,,,,,Pass,Pass
10168,1704300,69931,69931,,,,,,Pass,Pass
10172,469454,64931,64931,,,,,,Pass,Pass
10173,1079718,35486,35486,,,,,,Pass,Pass
10174,458438,68688,68688,,,,,,Pass,Pass
10175,454707,65327,65327,,,,,,Pass,Pass
10178,428458,629636,629636,,,,,,Pass,Pass
10179,1819072,12260279,12260279,,,,,,Pass,Pass
10180,12435339,678434,678434,,,,,,Pass,Pass
10182,434928,76003,76003,,,,,,Pass,Pass
10183,436748,70745,70745,,,,,,Pass,Pass
10184,430036,76112,76112,,,,,,Pass,Pass
10185,1067195,68660,68660,,,,,,Pass,Pass
10186,428550,99899,99899,,,,,,Pass,Pass
10188,434925,152380,152380,,,,,,Pass,Pass
10189,1816679,4716,4716,,,,,,Pass,Pass
10192,1497247,61100,61100,,,,,,Pass,Pass
10193,430420,59561,59561,,,,,,Pass,Pass
