Service_name,Link_id,Rovi_id,Projectx_id,Rovi_id_form_reverse_api,Rovi_id_match,Link_expired,Prod_link_status,Projectx_link_status,Link_fetched_from,Fetched_from_sources,Comment
hbogo,urn:hbo:feature:GW_LwAAHr36rCXQEAAAAI,2431081,[],[],False,True,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
hbogo,urn:hbo:feature:GW_LwAAHr36rCXQEAAAAI,2431081,[],[],False,True,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
hbogo,urn:hbo:feature:GW_L3tQkz_arCXQEAAADn,426841,[],[],False,True,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
hbogo,urn:hbo:feature:GW_L3tQkz_arCXQEAAADn,426841,[],[],False,True,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
hbogo,urn:hbo:feature:GW_L29wLKE75KoAEAAAEe,16950201,[],[],False,True,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
hbogo,urn:hbo:feature:GW_L29wLKE75KoAEAAAEe,16950201,[],[],False,True,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
hbogo,urn:hbo:feature:GW_LwygTPKL3DwgEAAAAb,1659983,[],[],False,True,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
hbogo,urn:hbo:feature:GW_LwygTPKL3DwgEAAAAb,1659983,[],[],False,True,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
hbogo,urn:hbo:feature:GW_L15w7PGL5KoAEAAAD8,457112,[],[],False,True,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
hbogo,urn:hbo:feature:GW_L15w7PGL5KoAEAAAD8,457112,[],[],False,True,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
hbogo,urn:hbo:feature:GW_L3qwtOpL3DwgEAAAEl,18769766,[],[],False,True,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
hbogo,urn:hbo:feature:GW_L3qwtOpL3DwgEAAAEl,18769766,[],[],False,True,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
hbogo,urn:hbo:feature:GW_LyNQPHLr5KoAEAAAA7,2224932,[],[],False,False,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
hbogo,urn:hbo:feature:GW_LyNQPHLr5KoAEAAAA7,2224932,[],[],False,False,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
hbogo,urn:hbo:feature:GVumCFw2b08Mzw0oJAADh,463135242,[],[],False,True,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
hbogo,urn:hbo:feature:GVumCFw2b08Mzw0oJAADh,463135242,[],[],False,True,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
hbogo,urn:hbo:feature:GVzYjHAX8W2eOwgEAAAHZ,422866,[],[],False,True,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
hbogo,urn:hbo:feature:GVzYjHAX8W2eOwgEAAAHZ,422866,[],[],False,True,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
hbogo,urn:hbo:feature:GW_LxAgpOXr3DwgEAAAAp,281588,[],[],False,True,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
hbogo,urn:hbo:feature:GW_LxAgpOXr3DwgEAAAAp,281588,[],[],False,True,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
hbogo,urn:hbo:feature:GVWIojg4qrMJtGzYJAAXw,1506262,[402184],[u'1506262'],True,False,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
hbogo,urn:hbo:feature:GVWIojg4qrMJtGzYJAAXw,1506262,[402184],[u'1506262'],True,False,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
