px_id1,px_id1_show_type,px_id1_variant_parent_id,px_id1_is_group_language_primary,px_id1_record_language,px_id2,px_id2_show_type,px_id2_variant_parent_id,px_id2_is_group_language_primary,px_id2_record_language,px_id1_credits_null,px_id1_db_credit_present,px_id2_credits_null,px_id2_db_credit_present,long_title_match,original_title_match,runtime_match,release_year_match,alias_title_match,Comment
79837,MO,,True,EN,829525,MO,,True,EN,False,False,False,False,True,True,False,False,True,
67310,MO,,True,EN,177997,MO,,True,EN,False,False,True,False,True,True,False,False,True,
51785,MO,,True,EN,872566,MO,,True,EN,False,False,True,False,True,True,False,False,True,
570607,MO,,True,EN,1084940,MO,,True,EN,False,False,False,False,True,True,False,False,True,
12264237,MO,,True,EN,1550269,MO,,True,EN,False,False,True,False,True,True,True,True,True,
69919,MO,,True,EN,400369,MO,,True,EN,False,False,False,False,True,True,False,True,True,
78662,MO,,True,EN,530091,MO,,True,EN,False,False,False,False,True,True,False,False,True,
98729,MO,,True,EN,1085893,MO,,True,EN,False,False,False,False,True,True,False,True,True,
82289,MO,,True,EN,1516674,OT,,True,EN,False,False,False,False,True,True,False,False,True,
571848,MO,50143,True,EN,181407,MO,,True,EN,False,False,False,False,True,True,True,True,True,
54165,MO,,True,EN,863122,MO,,True,EN,False,False,True,False,True,True,False,False,True,
50375,MO,,True,EN,14847883,MO,,True,EN,False,False,False,False,True,True,True,True,True,
51229,MO,,True,EN,13706626,MO,,True,EN,False,False,False,False,True,True,False,True,True,
78461,MO,,True,EN,13933935,MO,,True,EN,False,False,False,False,True,True,False,True,True,
645624,MO,,True,EN,83357,MO,,True,EN,True,False,False,False,True,True,False,False,,
50871,MO,,True,EN,529212,MO,,True,EN,False,False,False,False,False,True,False,False,True,
52040,MO,,True,EN,592169,MO,,True,EN,False,False,False,False,True,True,False,True,True,
12260059,MO,,True,EN,40549,MO,,True,EN,False,False,False,False,True,True,False,False,,
58011,MO,,True,EN,556665,MO,,True,EN,False,False,True,False,True,True,False,False,True,
54166,MO,,True,EN,178301,MO,,True,EN,False,False,True,False,True,True,False,True,True,
315135,MO,,True,EN,80536,MO,,True,EN,False,False,False,False,True,True,False,False,True,
51675,MO,,True,EN,14877722,MO,,True,EN,False,False,False,False,True,True,False,True,True,
68779,MO,,True,EN,12426467,MO,,True,EN,False,False,False,False,True,True,False,True,True,
75841,MO,,True,EN,607936,MO,,True,EN,False,False,False,False,True,True,True,False,True,
49760,MO,,True,EN,1040614,MO,,True,EN,False,False,False,False,True,True,False,False,False,
12451847,MO,,True,EN,183228,MO,,True,EN,False,False,False,False,True,True,False,True,,
