Vudu_id,Rovi_id,projectx_id_rovi,projectx_id_Vudu,Dev_Vudu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Vudu_id_present,variant_present,Comment,Result of mapping,hulu_id_present,gb_id_present
27813,425029,71001,71001,,,,,,Pass,Pass,,
27816,1431043,62054,62054,,,,,,Pass,Pass,,
27817,1070382,128431,128431,,,,,,Pass,Pass,,
27938,6833456583,12317749,12317749,,,,,,Pass,Pass,,
27958,1431119,618033,618033,,,,,,Pass,Pass,,
27994,437241,568467,568467,,,,,,Pass,Pass,,
28028,455305,55158,55158,,,,,,Pass,Pass,,
28042,1001310887,57735,57735,,,,,,Pass,Pass,,
28050,455266,50443,50443,,,,,,Pass,Pass,,
28056,466411,50274,50274,,,,,,Pass,Pass,,
28085,982759602,51933,51933,,,,,,Pass,Pass,,
28120,1393662,608204,608204,,,,,,Pass,Pass,,
28182,215797,546916,546916,,,,,,Pass,Pass,,
28217,1005316804,73494,73494,,,,,,Pass,Pass,,
28219,451335,79543,79543,,,,,,Pass,Pass,,
28222,988070284,84238,84238,,,,,,Pass,Pass,,
28224,468108,572138,572138,,,,,,Pass,Pass,,
28226,437835,79038,79038,,,,,,Pass,Pass,,
28278,426550,50442,50442,,,,,,Pass,Pass,,
28279,1463858,65618,65618,,,,,,Pass,Pass,,
28283,436054,50937,50937,,,,,,Pass,Pass,,
28285,427210,75308,75308,,,,,,Pass,Pass,,
28286,451150,959986,959986,,,,,,Pass,Pass,,
28305,1065761,580679,580679,,,,,,Pass,Pass,,
28388,1586715,3948,3948,,,,,,Pass,Pass,,
28436,1729871,629280,629280,,,,,,Pass,Pass,,
28483,435408,60498,60498,,,,,,Pass,Pass,,
28485,461435,54943,54943,,,,,,Pass,Pass,,
28491,18764651,755027,755027,,,,,,Pass,Pass,,
28498,1452586,12259723,12259723,,,,,,Pass,Pass,,
28538,20644952,24700,24700,,,,,,Pass,Pass,,
28540,1449816,61502,61502,,,,,,Pass,Pass,,
28545,1082040,63773,63773,,,,,,Pass,Pass,,
28631,18387341,71577,71577,,,,,,Pass,Pass,,
28633,437786,150240,150240,,,,,,Pass,Pass,,
28640,1063068,579144,579144,,,,,,Pass,Pass,,
28665,1472179,129116,129116,,,,,,Pass,Pass,,
28884,1449787,62408,62408,,,,,,Pass,Pass,,
28943,982759940,90805,90805,,,,,,Pass,Pass,,
28983,1067984,69267,69267,,,,,,Pass,Pass,,
28985,1069961,949062,949062,,,,,,Pass,Pass,,
28986,982759606,84835,84835,,,,,,Pass,Pass,,
28991,982878526,73167,73167,,,,,,Pass,Pass,,
28992,1464849,81656,81656,,,,,,Pass,Pass,,
28995,3976876354,315645,315645,,,,,,Pass,Pass,,
29001,1060120,52394,52394,,,,,,Pass,Pass,,
29111,1640545,5978,5978,,,,,,Pass,Pass,,
29130,1474691,61733,61733,,,,,,Pass,Pass,,
29132,1474682,92152,92152,,,,,,Pass,Pass,,
29193,1472181,62972,62972,,,,,,Pass,Pass,,
29207,1498747,3662,3662,,,,,,Pass,Pass,,
29208,1464881,88621,88621,,,,,,Pass,Pass,,
29212,16882702,84462,84462,,,,,,Pass,Pass,,
29214,1464878,70518,70518,,,,,,Pass,Pass,,
29275,1063174,54210,54210,,,,,,Pass,Pass,,
29277,461414,52696,52696,,,,,,Pass,Pass,,
29278,424222,50664,50664,,,,,,Pass,Pass,,
29282,1083120,590099,590099,,,,,,Pass,Pass,,
29283,427676,53963,53963,,,,,,Pass,Pass,,
29293,2336029,644979,644979,,,,,,Pass,Pass,,
29295,1474770,77640,77640,,,,,,Pass,Pass,,
29305,427293,55540,55540,,,,,,Pass,Pass,,
29410,1495941,85021,85021,,,,,,Pass,Pass,,
29444,432198,89998,89998,,,,,,Pass,Pass,,
29453,436768,50226,50226,,,,,,Pass,Pass,,
29455,424772,61497,61497,,,,,,Pass,Pass,,
29479,433416,53923,53923,,,,,,Pass,Pass,,
29496,1483520,62253,62253,,,,,,Pass,Pass,,
29500,1053905,574544,574544,,,,,,Pass,Pass,,
29507,1081640,589218,589218,,,,,,Pass,Pass,,
29534,1999837,636897,636897,,,,,,Pass,Pass,,
29542,1485020,62820,62820,,,,,,Pass,Pass,,
29553,1474696,75549,75549,,,,,,Pass,Pass,,
29573,1125837,35422,35422,,,,,,Pass,Pass,,
29579,429745,80998,80998,,,,,,Pass,Pass,,
29620,445836,50917,50917,,,,,,Pass,Pass,,
29626,424630,50558,50558,,,,,,Pass,Pass,,
29628,1464864,91747,91747,,,,,,Pass,Pass,,
29629,1474749,4860,4860,,,,,,Pass,Pass,,
29631,437836,12258429,12258429,,,,,,Pass,Pass,,
29637,1474674,61544,61544,,,,,,Pass,Pass,,
29786,1483862,63149,63149,,,,,,Pass,Pass,,
29788,436811,55240,55240,,,,,,Pass,Pass,,
29803,1474712,81090,81090,,,,,,Pass,Pass,,
29830,1506262,62771,62771,,,,,,Pass,Pass,,
29837,1485072,82756,82756,,,,,,Pass,Pass,,
30054,1359426,23582,23582,,,,,,Pass,Pass,,
30072,1474765,63776,63776,,,,,,Pass,Pass,,
30080,1329596,612583,612583,,,,,,Pass,Pass,,
30085,1486758,40716,40716,,,,,,Pass,Pass,,
30086,1080479,55003,55003,,,,,,Pass,Pass,,
30155,1485212,3917,3917,,,,,,Pass,Pass,,
