Vudu_id,Rovi_id,projectx_id_rovi,projectx_id_Vudu,Dev_Vudu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Vudu_id_present,variant_present,Comment,Result of mapping,hulu_id_present,gb_id_present
354188,2428884,85462,14878189,"[{'source_id': '354188,Map_reason:{""color"":0.0,""language"":0.0,""credits"":1.0,""directors"":0.0,""part_names"":0.0,""episode_titles"":0.0,""genres"":0.0,""amazon"":0.0,""netflix"":0.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":0.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":1.0,""credits_missing"":0.0,""directors_missing"":1.0,""part_names_missing"":1.0,""release_year"":1.0,""run_time"":0.0,""release_year_diff"":0.0,""release_year_missing"":0.0,""run_time_diff"":8.0,""run_time_missing"":0.0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1.0,""score"":3.4}'}]","[{'85462': 'rovi_id:2428884,Map_reason:not found in projectx'}, {'gb_id': '32662'}, {'source_id': '172294,Map_reason:{""color"":0.0,""language"":0.0,""credits"":1.0,""directors"":0.0,""part_names"":0.0,""episode_titles"":0.0,""genres"":0.0,""amazon"":0.0,""netflix"":0.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":0.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":1.0,""credits_missing"":0.0,""directors_missing"":1.0,""part_names_missing"":1.0,""release_year"":1.0,""run_time"":0.0,""release_year_diff"":0.0,""release_year_missing"":0.0,""run_time_diff"":38.0,""run_time_missing"":0.0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1.0,""score"":3.4}'}]",,True,False,Fail,Fail,False,True
354208,12729733,700893,700893,,,,,,Pass,Pass,,
357459,406573,565172,565172,,,,,,Pass,Pass,,
357463,66316913,787890,787890,,,,,,Pass,Pass,,
357487,66345455,788140,788140,,,,,,Pass,Pass,,
357509,15235124,119307,119307,,,,,,Pass,Pass,,
357515,288896546,12272887,12272887,,,,,,Pass,Pass,,
357527,306098,556501,556501,,,,,,Pass,Pass,,
357531,379740,562737,562737,,,,,,Pass,Pass,,
357535,289955263,794472,794472,,,,,,Pass,Pass,,
357541,301760711,796684,749617,"[{'749617': 'rovi_id:18066210,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":6,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'Hulu_id': '45336'}, {'source_id': '357541,Map_reason:{""color"":0.0,""language"":0.0,""credits"":1.0,""directors"":0.0,""part_names"":0.0,""episode_titles"":0.0,""genres"":0.0,""amazon"":0.0,""netflix"":0.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":0.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":1.0,""credits_missing"":0.0,""directors_missing"":1.0,""part_names_missing"":1.0,""release_year"":0.9,""run_time"":0.0,""release_year_diff"":1.0,""release_year_missing"":0.0,""run_time_diff"":172.0,""run_time_missing"":0.0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1.0,""score"":3.38}'}]","[{'796684': 'rovi_id:301760711,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":6,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'gb_id': '95460'}]",True,,False,Fail,Fail,False,True
357690,18854812,102597,102597,,,,,,Pass,Pass,,
357694,18997275,110870,110870,,,,,,Pass,Pass,,
357705,66973710,111140,14571725,"[{'source_id': '357705,Map_reason:not found in projectx'}]","[{'111140': 'rovi_id:66973710,Map_reason:not found in projectx'}, {'gb_id': '72862'}]",,,False,Fail,Fail,False,True
358090,1000582544,12280179,12280179,,,,,,Pass,Pass,,
358095,376130,103386,13792264,"[{'13792264': 'rovi_id:7290587280,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":4,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '358095,Map_reason:{""color"":0,""language"":0,""credits"":1.0,""directors"":0,""part_names"":0,""episode_titles"":0,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":0,""season_count"":0,""genres_missing"":1,""credits_missing"":0,""directors_missing"":1,""part_names_missing"":1,""release_year"":1,""run_time"":0,""release_year_diff"":0,""release_year_missing"":0,""run_time_diff"":7,""run_time_missing"":0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1,""id_1"":""projectx:13792264"",""id_2"":""vudu:358095"",""score"":3.4}'}]","[{'103386': 'rovi_id:376130,Map_reason:{""titleMapType"":""Partial"",""titleScore"":0.6,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":12,""totalScore"":0.0,""LanguageMatch"":false,""creditWeight"":0.5}'}, {'gb_id': '66014'}]",True,,False,Fail,Fail,False,True
358100,14717930,103736,103736,,,,,,Pass,Pass,,
358121,20578291,772649,772649,,,,,,Pass,Pass,,
358129,67031281,824654,824654,,,,,,Pass,Pass,,
358133,18859136,100430,100430,,,,,,Pass,Pass,,
358137,21777230,776718,776718,,,,,,Pass,Pass,,
358141,21624605,774983,774983,,,,,,Pass,Pass,,
358149,67508346,234040,234040,,,,,,Pass,Pass,,
358157,17954667,747323,747323,,,,,,Pass,Pass,,
358169,66693769,790169,790169,,,,,,Pass,Pass,,
358496,66316220,231367,231367,,,,,,Pass,Pass,,
358504,21691056,809915,809915,,,,,,Pass,Pass,,
358713,22544797,785516,785516,,,,,,Pass,Pass,,
358717,20021379,117984,117984,,,,,,Pass,Pass,,
358811,1691153,66033,66033,,,,,,Pass,Pass,,
360610,22254115,109949,1002197,"[{'1002197': 'rovi_id:4273178590,Map_reason:{""titleMapType"":""Distance"",""titleScore"":0.9565217391304348,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":1746,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '360610,Map_reason:{""color"":0.0,""language"":0.0,""credits"":0.0,""directors"":0.0,""part_names"":0.0,""episode_titles"":0.0,""genres"":0.0,""amazon"":0.0,""netflix"":0.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":0.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":1.0,""credits_missing"":1.0,""directors_missing"":1.0,""part_names_missing"":1.0,""release_year"":1.0,""run_time"":0.0,""release_year_diff"":0.0,""release_year_missing"":0.0,""run_time_diff"":198.0,""run_time_missing"":0.0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1.0,""score"":2.9}'}, {'Hulu_id': '68917'}]","[{'109949': 'rovi_id:22254115,Map_reason:not found in projectx'}]",True,,False,Fail,Fail,False,True
360615,602573040,826095,102926,"[{'102926': 'rovi_id:21859768,Map_reason:not found in projectx'}, {'Hulu_id': '51355'}, {'source_id': '360615,Map_reason:{""color"":0,""language"":0,""credits"":1.0,""directors"":0,""part_names"":0,""episode_titles"":0,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":0,""season_count"":0,""genres_missing"":1,""credits_missing"":0,""directors_missing"":1,""part_names_missing"":1,""release_year"":1.0,""run_time"":0,""release_year_diff"":0,""release_year_missing"":0,""run_time_diff"":19,""run_time_missing"":0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1,""id_1"":""projectx:102926"",""id_2"":""vudu:360615"",""score"":3.4}'}]","[{'826095': 'rovi_id:602573040,Map_reason:{""titleMapType"":""Distance"",""titleScore"":0.8888888888888888,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":12,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'gb_id': '122003'}, {'source_id': '810246,Map_reason:{""color"":0.0,""language"":0.0,""credits"":0.0,""directors"":0.0,""part_names"":0.0,""episode_titles"":0.0,""genres"":0.0,""amazon"":0.0,""netflix"":0.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":0.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":1.0,""credits_missing"":1.0,""directors_missing"":0.0,""part_names_missing"":1.0,""release_year"":0.0,""run_time"":0.0,""release_year_diff"":0.0,""release_year_missing"":1.0,""run_time_diff"":802.0,""run_time_missing"":0.0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1.0}'}]",True,True,False,Fail,Fail,False,True
360620,982759771,101345,101345,,,,,,Pass,Pass,,
