Vudu_id,Rovi_id,projectx_id_rovi,projectx_id_Vudu,Dev_Vudu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Vudu_id_present,variant_present,Comment,Result of mapping,hulu_id_present,gb_id_present
771478,3768560278,981969,981969,,,,,,Pass,Pass,,
771522,3609947672,978428,978428,,,,,,Pass,Pass,,
771526,1701493990,982310,982310,,,,,,Pass,Pass,,
771534,3762082878,981911,981911,,,,,,Pass,Pass,,
771570,1533851010,1036777,1036777,,,,,,Pass,Pass,,
771574,1469052692,893579,893579,,,,,,Pass,Pass,,
771849,891027790,848550,14632613,"[{'source_id': '771849,Map_reason:not found in projectx'}]","[{'848550': 'rovi_id:891027790,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":44,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'gb_id': '113715'}]",,,False,Fail,Fail,False,True
772058,1301445282,12282513,12282513,,,,,,Pass,Pass,,
772102,1505270862,151121,151121,,,,,,Pass,Pass,,
772106,1890558968,973535,973535,,,,,,Pass,Pass,,
772218,4764794135,1020151,1020151,,,,,,Pass,Pass,,
772234,1334065300,145784,145784,,,,,,Pass,Pass,,
772238,1964933195,300222,300222,,,,,,Pass,Pass,,
772322,1874816268,148376,148376,,,,,,Pass,Pass,,
772330,3291964681,32344,32344,,,,,,Pass,Pass,,
772338,3263422520,30828,30828,,,,,,Pass,Pass,,
772349,1791642181,12284675,12284675,,,,,,Pass,Pass,,
772372,3917185267,320825,320825,,,,,,Pass,Pass,,
772387,3182016091,21298,21298,,,,,,Pass,Pass,,
772481,3395043680,307588,307588,,,,,,Pass,Pass,,
772693,3330611198,978813,978813,,,,,,Pass,Pass,,
772716,1618824206,21211,21211,,,,,,Pass,Pass,,
772789,1843847356,998752,998752,,,,,,Pass,Pass,,
772889,1867718836,154184,154184,,,,,,Pass,Pass,,
772893,1828634715,931689,931689,,,,,,Pass,Pass,,
772897,3158404215,962793,962793,,,,,,Pass,Pass,,
772913,1514815366,152980,152980,,,,,,Pass,Pass,,
773020,3447397756,1019205,1019205,,,,,,Pass,Pass,,
773024,1553795713,900474,900474,,,,,,Pass,Pass,,
773048,1514815360,144633,144633,,,,,,Pass,Pass,,
773052,1530728683,982028,982028,,,,,,Pass,Pass,,
773124,1389712099,886612,886612,,,,,,Pass,Pass,,
773256,1542837863,899730,899730,,,,,,Pass,Pass,,
773264,1530728687,976691,976691,,,,,,Pass,Pass,,
773268,1496943415,896488,896488,,,,,,Pass,Pass,,
773276,1198761334,868249,868249,,,,,,Pass,Pass,,
773284,1686615480,1067083,1067083,,,,,,Pass,Pass,,
773288,4905223391,1024906,1024906,,,,,,Pass,Pass,,
773292,1846333011,147436,147436,,,,,,Pass,Pass,,
773580,1814523148,969549,969549,,,,,,Pass,Pass,,
773584,1843847438,933085,933085,,,,,,Pass,Pass,,
773596,1344896554,302918,302918,,,,,,Pass,Pass,,
773680,1543131906,141647,141647,,,,,,Pass,Pass,,
773684,2001239577,147586,147586,,,,,,Pass,Pass,,
773719,3642993580,152646,152646,,,,,,Pass,Pass,,
773867,3916285940,320771,320771,,,,,,Pass,Pass,,
774079,3469523798,311766,311766,,,,,,Pass,Pass,,
774091,936317882,850867,850867,,,,,,Pass,Pass,,
774095,3657036225,980181,980181,,,,,,Pass,Pass,,
774513,1544819090,315399,315399,,,,,,Pass,Pass,,
774585,3936512009,1006473,1006473,,,,,,Pass,Pass,,
