Vudu_id,Rovi_id,projectx_id_rovi,projectx_id_Vudu,Dev_Vudu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Vudu_id_present,variant_present,Comment,Result of mapping
21244,15060,853607,13543226,"[{'853607': 'rovi_id:4212449088,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":52,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '21244,Map_reason:{""color"":0,""language"":0,""credits"":1.0,""directors"":0,""part_names"":0,""episode_titles"":0,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":0,""season_count"":0,""genres_missing"":1,""credits_missing"":0,""directors_missing"":1,""part_names_missing"":1,""release_year"":1,""run_time"":0,""release_year_diff"":0,""release_year_missing"":0,""run_time_diff"":29,""run_time_missing"":0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1,""id_1"":""projectx:13543226"",""id_2"":""vudu:21244"",""score"":3.4}'}]","[{'853607': 'rovi_id:15060,Map_reason:not found in projectx'}]",TRUE,,FALSE,Fail,Fail
21254,447019,134245,134245,,,,,,Pass,Pass
21255,1289119,69189,69189,,,,,,Pass,Pass
21284,467595,23085,23085,,,,,,Pass,Pass
21397,454380,58796,58796,,,,,,Pass,Pass
21402,456741,75416,12321472,"[{'75416': 'rovi_id:6835722940,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":1773,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '21402,Map_reason:{""color"":0,""language"":0,""credits"":0.8888888889,""directors"":1.0,""part_names"":0,""episode_titles"":0,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":0,""season_count"":0,""genres_missing"":1,""credits_missing"":0,""directors_missing"":0,""part_names_missing"":1,""release_year"":1,""run_time"":0,""release_year_diff"":0,""release_year_missing"":0,""run_time_diff"":12,""run_time_missing"":0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1,""id_1"":""projectx:12321472"",""id_2"":""vudu:21402"",""score"":3.8444444444}'}]","[{'75416': 'rovi_id:456741,Map_reason:not found in projectx'}]",TRUE,,FALSE,Fail,Fail
21403,474388,91582,91582,,,,,,Pass,Pass
21405,1289070,113609,113609,,,,,,Pass,Pass
21406,454368,12258442,12258442,,,,,,Pass,Pass
21407,1094693,85090,85090,,,,,,Pass,Pass
21419,445513,54890,54890,,,,,,Pass,Pass
21425,427329,56278,56278,,,,,,Pass,Pass
21427,436332,58588,58588,,,,,,Pass,Pass
21429,1068151,59138,59138,,,,,,Pass,Pass
21433,435903,49860,49860,,,,,,Pass,Pass
21440,430373,49901,49901,,,,,,Pass,Pass
21441,436009,132206,132206,,,,,,Pass,Pass
21450,463195,68694,68694,,,,,,Pass,Pass
21456,1057865,51353,51353,,,,,,Pass,Pass
21495,1063606,61916,61916,,,,,,Pass,Pass
21496,1307537,66458,66458,,,,,,Pass,Pass
21497,429726,111638,111638,,,,,,Pass,Pass
21499,429724,61522,61522,,,,,,Pass,Pass
21501,468121,71720,71720,,,,,,Pass,Pass
21504,1054276,53768,53768,,,,,,Pass,Pass
21506,1005730652,56771,56771,,,,,,Pass,Pass
21553,1983518,636438,636438,,,,,,Pass,Pass
21564,1071927,165918,165918,,,,,,Pass,Pass
21610,424549,52912,52912,,,,,,Pass,Pass
21621,1348934,78198,78198,,,,,,Pass,Pass
21640,1302875,119094,119094,,,,,,Pass,Pass
21665,140141,538611,538611,,,,,,Pass,Pass
21680,422771,123863,123863,,,,,,Pass,Pass
21743,1242108,94675,94675,,,,,,Pass,Pass
