source,sm_id,id,launch_id,show_type,movie_title,series_title,episode_title,release_year,link_expired,Projectx_ids,Variant id present for episode,Variant parent id for Episode,Projectx_series_id,comment,Result,Gb_id duplicate,Duplicate ids in search,Credit_match,Rovi_id count for duplicate,Gb_id count for duplicate,Hulu_id count for duplicate,Mapped rovi_id for duplicate,Mapped Gb_id for duplicate,Mapped Hulu_id for duplicate,variant parent id present,variant_parent_id,link_fetched_from,Sources of link
Hulu,,1527010,61391211,MO,Apres Lui,,,2007,False,[],,,,"('No multiple ids for this link', 1527010)",No multiple ids for this link
Hulu,,1528963,61391024,MO,Along with the Gods: The Last 49 Days,,,2018,False,[],,,,"('No multiple ids for this link', 1528963)",No multiple ids for this link
Hulu,,1525401,61389833,MO,Fighter,,,2000,False,[],,,,"('No multiple ids for this link', 1525401)",No multiple ids for this link
Hulu,,1529141,61388663,MO,Coffin Rock,,,2009,False,[],,,,"('No multiple ids for this link', 1529141)",No multiple ids for this link
Hulu,,1528690,61386002,MO,School Spirit,,,2019,False,[],,,,"('No multiple ids for this link', 1528690)",No multiple ids for this link
Hulu,,1547984,61385853,MO,Hotel Mumbai,,,2018,False,[],,,,"('No multiple ids for this link', 1547984)",No multiple ids for this link
Hulu,,1523566,61384506,MO,The Wave,,,2015,False,[],,,,"('No multiple ids for this link', 1523566)",No multiple ids for this link
Hulu,,1524720,61384075,MO,Who F***ed up the Internet?!,,,2019,False,[],,,,"('No multiple ids for this link', 1524720)",No multiple ids for this link
Hulu,,1520221,61383710,MO,The Girl Under the Waves,,,2001,False,[],,,,"('No multiple ids for this link', 1520221)",No multiple ids for this link
Hulu,,1527416,61383330,MO,Matriarch,,,2018,False,[],,,,"('No multiple ids for this link', 1527416)",No multiple ids for this link
Hulu,,1544326,61383323,MO,Bolden,,,2019,False,[],,,,"('No multiple ids for this link', 1544326)",No multiple ids for this link
Hulu,,1527420,61383197,MO,We Die Young,,,2019,False,[],,,,"('No multiple ids for this link', 1527420)",No multiple ids for this link
Hulu,,1544134,61383100,MO,Untouchable,,,2019,False,[],,,,"('No multiple ids for this link', 1544134)",No multiple ids for this link
Hulu,,1529355,61383034,MO,The Crocodile Hunter: Collision Course,,,2002,False,[],,,,"('No multiple ids for this link', 1529355)",No multiple ids for this link
Hulu,,1524719,61382677,MO,Ramen Heads,,,2017,False,[],,,,"('No multiple ids for this link', 1524719)",No multiple ids for this link
Hulu,,1530520,61382524,MO,Roller Dreams,,,2017,False,[],,,,"('No multiple ids for this link', 1530520)",No multiple ids for this link
Hulu,,1524715,61382485,MO,When Jeff Tried to Save the World,,,2018,False,[],,,,"('No multiple ids for this link', 1524715)",No multiple ids for this link
Hulu,,1524717,61382483,MO,Three Days of Glory,,,2018,False,[],,,,"('No multiple ids for this link', 1524717)",No multiple ids for this link
Hulu,,1524718,61382481,MO,ULAM: Main Dish,,,2018,False,[],,,,"('No multiple ids for this link', 1524718)",No multiple ids for this link
Hulu,,1543791,61380949,MO,The Goonies,,,1985,False,[],,,,"('No multiple ids for this link', 1543791)",No multiple ids for this link
Hulu,,1543796,61380454,MO,Training Day,,,2001,False,[],,,,"('No multiple ids for this link', 1543796)",No multiple ids for this link
Hulu,,1538204,61379408,MO,How to Train Your Dragon: The Hidden World,,,2019,False,[],,,,"('No multiple ids for this link', 1538204)",No multiple ids for this link
Hulu,,1524471,61379405,MO,Meet the Parents,,,2000,False,[],,,,"('No multiple ids for this link', 1524471)",No multiple ids for this link
Hulu,,1514676,61378432,MO,White Night Wedding,,,2008,False,[],,,,"('No multiple ids for this link', 1514676)",No multiple ids for this link
