source,sm_id,id,show_type,movie_title,series_title,episode_title,release_year,link_expired,Projectx_ids,Variant id present for episode,Variant parent id for Episode,Projectx_series_id,comment,Result,id duplicate,Duplicate ids in search,Credit_match,Rovi_id count for duplicate,Gb_id_count for duplicate,Hulu_id count for duplicate,Mapped rovi_id for duplicate,Mapped gb_id for duplicate,Mapped Hulu_id for duplicate,variant parent id present,variant_parent_id,link_fetched_from,Sources of link
Hulu,335647,6616,335647,,Reborn!,,2006,FALSE,[8154183],,,,"('No multiple ids for this link', 335647, 6616)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,331811,8449,331811,,Majikoi Oh! Samurai Girls!,,2011,FALSE,[7628023],,,,"('No multiple ids for this link', 331811, 8449)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,315051,8735,315051,,Star Trek: Enterprise,,2001,FALSE,[2749791],,,,"('No multiple ids for this link', 315051, 8735)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,369741,32,369741,,St. Elsewhere,,1982,FALSE,[4381887],,,,"('No multiple ids for this link', 369741, 32)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,313527,4621,313527,,Nura: Rise of the Yokai Clan,,2010,FALSE,[7368976],,,,"('No multiple ids for this link', 313527, 4621)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,313309,3358,313309,,The League,,2009,FALSE,[3361319],,,,"('No multiple ids for this link', 313309, 3358)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,309868,2055,309868,,Fullmetal Alchemist: Brotherhood,,2009,FALSE,[14413128],,,,"('No multiple ids for this link', 309868, 2055)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,307584,3960,[],,Shin Chan,,1992,FALSE,"[3347541, 14694364]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
Hulu,256398,50,256398,,Friday Night Lights,,2006,FALSE,[2862381],,,,"('No multiple ids for this link', 256398, 50)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,248977,5669,[],,Kenichi,,2006,FALSE,"[8237633, 14741234]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
Hulu,248976,6723,248976,,Gungrave,,2003,FALSE,[4105615],,,,"('No multiple ids for this link', 248976, 6723)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,248591,6899,248591,,Rosario + Vampire,,2008,FALSE,[7489070],,,,"('No multiple ids for this link', 248591, 6899)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,247620,6341,[],,Workaholics,,2011,FALSE,"[3701855, 14786159]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
Hulu,247521,6513,247521,,Aria: The Scarlet Ammo,,2011,FALSE,[7391338],,,,"('No multiple ids for this link', 247521, 6513)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,245665,1473,[],,Slayers,,1995,FALSE,"[5192206, 14413353]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
Hulu,244533,3558,244533,,Darker Than Black,,2007,FALSE,[8130337],,,,"('No multiple ids for this link', 244533, 3558)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,242356,6385,242356,,Blue Exorcist,,2011,FALSE,[7366537],,,,"('No multiple ids for this link', 242356, 6385)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,241521,1846,[],,Big Windup,,2007,FALSE,"[7498663, 14413152]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
Hulu,240956,6466,[],,Durarara!!,,2010,FALSE,"[7088421, 14784537]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
Hulu,240618,3263,240618,,Stargate Universe,,2009,FALSE,[3154453],,,,"('No multiple ids for this link', 240618, 3263)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,238007,1268,238007,,Mushi-shi,,2005,FALSE,[14413537],,,,"('No multiple ids for this link', 238007, 1268)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,237599,2305,237599,,Brothers & Sisters,,2006,FALSE,[3014210],,,,"('No multiple ids for this link', 237599, 2305)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,236235,6131,236235,,NASA 360,,2010,FALSE,[12947097],,,,"('No multiple ids for this link', 236235, 6131)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,240324,6612,240324,,Mr. Bean,,1990,FALSE,[2990961],,,,"('No multiple ids for this link', 240324, 6612)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,233831,3615,233831,,Being Erica,,2009,FALSE,[2940871],,,,"('No multiple ids for this link', 233831, 3615)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,233413,5094,233413,,Gun X Sword,,2005,FALSE,[4126454],,,,"('No multiple ids for this link', 233413, 5094)",No multiple ids for this link,,,,,,,,,,,,,
