series_id,_id,show_type,Video_language,series_type,type,duration
1473,233406,SE,ja,TV,episode,1357106
3558,233405,SE,ja,TV,episode,1486527
1472,233404,SE,ja,TV,episode,1468467
1472,233403,SE,ja,TV,episode,1453452
6466,233275,SE,ja,TV,episode,1469301
6466,233274,SE,ja,TV,episode,1476600
6466,233273,SE,ja,TV,episode,1476308
6466,233272,SE,ja,TV,episode,1476142
6466,233271,SE,ja,TV,episode,1475975
6466,233270,SE,ja,TV,episode,1477476
6466,233269,SE,ja,TV,episode,1476475
6466,233268,SE,ja,TV,episode,1478310
6466,233267,SE,ja,TV,episode,1476642
6466,233266,SE,ja,TV,episode,1477464
6466,233265,SE,ja,TV,episode,1478232
6466,233264,SE,ja,TV,episode,1477476
6466,233263,SE,ja,TV,episode,1478060
6466,233262,SE,ja,TV,episode,1477018
1846,233367,SE,ja,TV,episode,1463129
1846,233366,SE,ja,TV,episode,1463129
53,233150,SE,en,TV,episode,1308307
2646,233092,SE,en,TV,episode,1305444
50,233065,SE,en,TV,episode,2601265
4979,233109,SE,ja,TV,episode,1401733
2138,232881,SE,ja,TV,episode,1448447
6287,232880,SE,ja,TV,episode,1481814
1318,232801,SE,ja,TV,episode,1456788
2295,232717,SE,en,TV,episode,1303344
3433,232556,SE,en,TV,episode,1220469
6434,232482,SE,ja,TV,episode,1392433
2411,232356,SE,en,TV,episode,2548713
2430,232359,SE,en,TV,episode,2636217
2138,232027,SE,ja,TV,episode,1418417
3615,231788,SE,en,TV,episode,2605128
6375,231740,SE,en,TV,episode,1299298
3263,231719,SE,en,TV,episode,2620659
2505,231545,SE,en,TV,episode,1272854
1968,231543,SE,en,TV,episode,1280446
44,231542,SE,en,TV,episode,1297505
2458,231536,SE,en,TV,episode,2610141
2259,231535,SE,en,TV,episode,2597929
2305,231534,SE,en,TV,episode,2513761
1603,231168,SE,ja,TV,episode,1399798
6026,230956,SE,en,TV,episode,2610441
6375,231025,SE,en,TV,episode,1303552
2430,230953,SE,en,TV,episode,2647228
5094,231016,SE,ja,TV,episode,1485651
5094,231015,SE,ja,TV,episode,1485735
5669,231014,SE,ja,TV,episode,1488612
5669,231013,SE,ja,TV,episode,1488612
1268,231012,SE,ja,TV,episode,1437135
1268,231011,SE,ja,TV,episode,1437135
1473,231010,SE,ja,TV,episode,1358316
1473,231009,SE,ja,TV,episode,1356689
1846,231024,SE,ja,TV,episode,1463087
1472,231023,SE,ja,TV,episode,1468426
1846,231022,SE,ja,TV,episode,1463129
1472,231020,SE,ja,TV,episode,1468384
6131,230915,SE,en,TV,episode,1472804
6131,230914,SE,en,TV,episode,1474072
6131,230913,SE,en,TV,episode,1473271
6131,230912,SE,en,TV,episode,1474539
3433,230839,SE,en,TV,episode,1263428
1318,230784,SE,ja,TV,episode,1454786
2138,230721,SE,ja,TV,episode,1448406
6131,230773,SE,en,TV,episode,1471370
6131,230775,SE,en,TV,episode,1471470
404,230790,SE,en,TV,episode,2647811
6131,230713,SE,en,TV,episode,1471837
2411,230630,SE,en,TV,episode,2713502
2305,230610,SE,en,TV,episode,2609524
389,230416,SE,en,TV,episode,2490447
6287,230666,SE,ja,TV,episode,1482648
108,230381,SE,en,TV,episode,2645943
177,230371,SE,en,TV,episode,2645776
3897,230235,SE,en,TV,episode,2575406
6131,230052,SE,en,TV,episode,1329695
3263,229743,SE,en,TV,episode,2617906
4979,229660,SE,en,TV,episode,1353619
6026,229614,SE,en,TV,episode,2610358
5597,229612,SE,en,TV,episode,2610441
2458,229611,SE,en,TV,episode,2610141
2305,229610,SE,en,TV,episode,2590713
10,229606,SE,en,TV,episode,2582330
57,229605,SE,en,TV,episode,2632790
53,229603,SE,en,TV,episode,1313187
54,229602,SE,en,TV,episode,1304720
3897,229600,SE,en,TV,episode,2603934
77,229596,SE,en,TV,episode,3490053
5094,229527,SE,ja,TV,episode,1486068
5669,229505,SE,ja,TV,episode,1488529
5094,229526,SE,ja,TV,episode,1486068
1268,229504,SE,ja,TV,episode,1437135
5669,229503,SE,ja,TV,episode,1488487
1268,229525,SE,ja,TV,episode,1435634
1473,229524,SE,ja,TV,episode,1357940
1473,229523,SE,ja,TV,episode,1357940
1846,229515,SE,ja,TV,episode,1463129
1846,229514,SE,ja,TV,episode,1463129
1472,229513,SE,ja,TV,episode,1428386
1472,229512,SE,ja,TV,episode,1468467
1472,229511,SE,ja,TV,episode,1415831
1472,229509,SE,ja,TV,episode,1468467
4830,229500,SE,en,TV,episode,1489864
4830,229499,SE,en,TV,episode,1489780
4830,229498,SE,en,TV,episode,1489780
4830,229497,SE,en,TV,episode,1488821
4830,229496,SE,en,TV,episode,1489822
4830,229495,SE,en,TV,episode,1489822
4830,229494,SE,en,TV,episode,1488821
4830,229493,SE,en,TV,episode,1488821
4830,229492,SE,en,TV,episode,1489822
4830,229491,SE,en,TV,episode,1489822
4830,229490,SE,en,TV,episode,1489822
4830,229489,SE,en,TV,episode,1489822
4830,229488,SE,en,TV,episode,1489822
4830,229487,SE,en,TV,episode,1489822
4830,229486,SE,en,TV,episode,1489822
4830,229485,SE,en,TV,episode,1489822
4830,229484,SE,en,TV,episode,1489822
4830,229483,SE,en,TV,episode,1489822
4830,229482,SE,en,TV,episode,1489822
4830,229481,SE,en,TV,episode,1489780
4830,229480,SE,en,TV,episode,1488863
4830,229479,SE,en,TV,episode,1459750
3615,229341,SE,en,TV,episode,2536488
2138,229282,SE,ja,TV,episode,1448364
5725,229234,SE,en,TV,episode,2521018
4979,229209,SE,en,TV,episode,1357556
1603,229193,SE,ja,TV,episode,1399831
6341,229999,SE,en,TV,episode,1287620
6131,229137,SE,en,TV,episode,1471136
2430,229120,SE,en,TV,episode,2652483
