HuluSeriesId,Ozone series id
20475,1198225425
28908,3520582335
16149,934666109
9269,17309714
16208,19121887
28726,1707856110
11266,19629971
11217,1309421
17327,869509798
24094,1529414149
14407,527762799
26004,466388754
8322,1534414
22883,570878549
22280,1784269
10662,21575498
21488,1483040194
28211,3144066846
19435,18195286
20216,371014340
16321,17958793
14027,361732171
27359,22176127
27935,1718566984
23344,1058055895
28071,2382639
28049,1463998563
20822,1714723
28109,18830304
28000,438414681
18412,427871
1926,2435701
7421,19706278
18130,971335048
27721,1644663033
27709,1433884878
15094,2490563
27723,1919256500
16874,460584
16693,890782692
14950,305915093
19081,895788268
21684,841111981
5769,1882889
14198,11962332
20468,657776794
6385,19680393
13700,1771805
20353,440115141
27403,886254378
22868,453315883
3615,2420871
27435,1374879893
18502,1085174333
27434,1420785608
24031,1523564586
26057,1542527217
1201,1549972
25302,424302
2505,2484112
26800,3204378072
23234,139939
14787,936143059
13844,2005008
21213,1046915274
27199,930115913
17887,1167717069
11412,21522264
21292,1050494956
26725,449303
26774,11828388
18496,1252336060
8738,14418348
2070,280168
25954,1426326214
25845,1800393069
25928,369320697
26392,1149163597
26391,1270885003
20608,18933945
24190,894255542
24907,4584819627
26347,719444
26190,423415
25995,1112451640
3358,8969186
13304,1758153
25085,1311637197
7889,1193096
24502,1321389
12901,535032164
8341,21749114
25243,425330
11967,17006815
18951,1064496120
25244,425339
11951,2441881
8898,21983077
16831,927526661
13590,129486
25165,17006603
14146,327498014
24286,1375229347
15854,927497330
16987,872294137
17940,1000997850
4814,9952276
1304,1877213
16556,841067040
23526,17691485
21761,1352271335
14827,67111861
22901,1490458359
19491,2154617
17862,1609178
24037,12133315
22443,1389615238
17855,2300286
23499,1863968
16563,841067043
18113,676534
18321,9955688
9067,534005569
11876,542476032
9133,556694020
14682,300729
8732,1987080
23408,1136168967
1155,267939
7556,18830442
23145,1218565117
22996,1276725
15462,12169510
17297,560772269
18498,12107800
18662,3646002982
13680,308709032
20840,1327228
9974,432193958
217,17891288
21596,294301969
22751,1712037087
22272,1691541
22282,1926403
22239,1325494
22170,375390
22274,1326442
22249,15046205
1968,412432
12904,825647841
9979,66700815
22080,19734393
21823,518477970
8023,21718205
18537,14856640
10507,500423
18387,995753609
3897,2484036
21774,289865
22172,366565
21561,2333803
6466,17982749
21175,1413519972
13334,910099
3663,2091882
12903,727366857
1238,2357228
13217,1856415
419,1681011
21222,1443107
20971,1553246
20969,425350
20979,1645107
20977,1613836
21147,1266318
6345,14595823
15682,936077774
20983,2285877
5725,9485030
2494,17339702
13892,315473347
13973,677074795
20217,19917055
93,1308574
57,2169493
13061,333919186
9873,543837675
19498,1236156
17098,1100715506
15759,22515389
20159,1208841808
9172,17835686
19478,19881032
3640,406170
16872,890796436
3281,318547525
14703,661539770
6287,19766558
12990,67263002
17106,1216419708
18318,17672873
9814,556694071
18074,14225399
18389,18221448
4948,13892760
1303,2231762
14421,307001273
4069,17016589
10337,22450995
17938,479073
18035,2123532
17868,1837250
17954,423112
17989,675293
17863,2335837
2324,19955807
8106,1835227
17860,424456
17959,901207
18131,2490666
15960,891969431
8230,22280226
16037,1106256
8095,456706435
11946,21473762
14828,372002716
2207,2329560
16649,129185
15985,11809586
16224,13633374
12690,921104589
13918,17970298
16829,299289316
13878,18135438
11756,556694614
14949,919906586
14862,634349011
5049,366673
14723,2432647
2411,2341335
6026,19917620
2295,2334107
14429,324100736
8902,18815807
6375,11906493
3603,2180605
13676,2331038
10119,275235
14127,2361755
10048,1281479
13874,383120310
9161,425684
14096,2122334
9170,1650546
10548,66133814
11352,273654
13469,329453
2313,17543740
8201,21650050
12642,1413128
12821,424646
12668,480675
12844,892366
12868,881938
12867,720561
12871,747218
227,1755876
7974,1438306
879,1378307
10938,354268
11005,556694306
11724,461222
27,431076
10347,295620565
8734,1752589
2259,16888582
7356,20008106
2430,2491549
8845,556694183
2071,1907279
30,434398
2023,556691981
9648,425160
8735,19759378
2055,13739048
50,2001264
3263,2473645
2305,2000672
6612,677956
4830,1517956
5574,18145967
6231,129292
5638,1332222
2442,2177531
1379,17553536
4347,260180
5405,1929209
5341,1892986
4512,8859586
5406,2096880
3904,383552802
1847,17858785
4950,279227
4981,1272687
2427,425049
3511,426134
4043,9715695
2418,939510
2297,2000674
938,1103586
23,426095
655,1103583
4532,2095163
4024,660662152
3902,268625
3773,8742556
3673,1515080
1861,796492
3507,18915170
644,253656
3548,673174
2441,2094322
8007,1452877623
7890,674114
2438,452759
2346,1308248
2206,1534449
3,286047
24,199489
330,259447
51,997158950
828,1795312
298,1616499
827,1424739
831,1836180
