GuideBox_sm_id,Rovi_sm_id,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,variant_present,Comment,Result of mapping series
18951,21718205,3345859,14788394,[{'sourceId': '18951'}],"[{'rovi_projectx_id_mapped': 'rovi_id:21718205,Map_reason:not found in projectx'}, {'sourceId': '149,Map_reason:{""color"":0.0,""language"":1.0,""credits"":0.0,""directors"":0.0,""part_names"":0.1428571429,""episode_titles"":0.2745098039,""genres"":1.0,""amazon"":1.0,""netflix"":1.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":1.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":0.0,""credits_missing"":0.0,""directors_missing"":1.0,""part_names_missing"":0.0,""release_year"":0.0,""run_time"":0.0,""release_year_diff"":56.0,""release_year_missing"":0.0,""run_time_diff"":1770.0,""run_time_missing"":0.0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1.0}'}]",,True,False,Fail,Fail
17235,22521214,3243155,3243155,,,,,,Pass,Pass
17257,830987723,8597997,8597997,,,,,,Pass,Pass
17273,812761973,8582110,8582110,,,,,,Pass,Pass
17319,998217876,3969680,3969680,,,,,,Pass,Pass
17315,853376810,8623097,8623097,,,,,,Pass,Pass
17330,585193620,8268922,8268922,,,,,,Pass,Pass
17221,784095641,3419180,3419180,,,,,,Pass,Pass
17302,306981668,3981140,13365734,[{'sourceId': '17302'}],"[{'rovi_projectx_id_mapped': 'rovi_id:306981668,Map_reason:not found in projectx'}]",,,False,Fail,Fail
17102,1817918,2784637,2784637,,,,,,Pass,Pass
15880,386562423,3570067,3570067,,,,,,Pass,Pass
17391,1093724630,8931194,8931194,,,,,,Pass,Pass
17394,630930640,3498863,3498863,,,,,,Pass,Pass
15819,545383125,8220856,8220856,,,,,,Pass,Pass
17430,560772269,3858509,3858509,,,,,,Pass,Pass
17441,545241842,3766184,3766184,,,,,,Pass,Pass
17451,1681028251,9469006,9469006,,,,,,Pass,Pass
17534,19262246,3321129,3321129,,,,,,Pass,Pass
17528,689522875,8319107,8319107,,,,,,Pass,Pass
17509,1234483969,9084064,9084064,,,,,,Pass,Pass
17531,781675275,8540095,8540095,,,,,,Pass,Pass
17530,806576751,8200048,13361821,[{'sourceId': '17530'}],"[{'rovi_projectx_id_mapped': 'rovi_id:806576751,Map_reason:not found in projectx'}]",,,False,Fail,Fail
17748,895807211,3797869,3797869,,,,,,Pass,Pass
15817,993444536,3520287,3520287,,,,,,Pass,Pass
17991,308459700,3653247,3653247,,,,,,Pass,Pass
18229,700812471,3870774,3870774,,,,,,Pass,Pass
18031,386149818,8098816,11351906,"[{'source_projectx_id_mapped': 'rovi_id:5448401370,Map_reason:not found in projectx'}, {'sourceId': '18031'}]","[{'rovi_projectx_id_mapped': 'rovi_id:386149818,Map_reason:not found in projectx'}]",True,,False,Fail,Fail
18328,19926338,7408171,13349561,[{'sourceId': '18328'}],"[{'rovi_projectx_id_mapped': 'rovi_id:19926338,Map_reason:not found in projectx'}]",,,False,Fail,Fail
18399,1055546552,8886862,8886862,,,,,,Pass,Pass
18321,893648370,3808346,3808346,,,,,,Pass,Pass
18432,1061293947,8892460,8892460,,,,,,Pass,Pass
18507,895705225,3783107,3783107,,,,,,Pass,Pass
18477,930178107,3684589,3684589,,,,,,Pass,Pass
18508,880922326,8662974,8662974,,,,,,Pass,Pass
18584,586882462,8270233,8270233,,,,,,Pass,Pass
18750,14658718,6854797,6854797,,,,,,Pass,Pass
10508,364976,4149444,4149444,,,,,,Pass,Pass
18734,813736320,3581366,3581366,,,,,,Pass,Pass
18775,930203258,3910672,3910672,,,,,,Pass,Pass
16387,331864353,3510007,3510007,,,,,,Pass,Pass
18792,447987379,3543801,3543801,,,,,,Pass,Pass
18961,21719372,3285368,3285368,,,,,,Pass,Pass
16233,512463271,3665136,3665136,,,,,,Pass,Pass
18885,1002006301,8826973,8826973,,,,,,Pass,Pass
18887,889300119,3742977,3742977,,,,,,Pass,Pass
18948,1011892384,3741408,3741408,,,,,,Pass,Pass
7098,18233985,3363316,3363316,,,,,,Pass,Pass
15736,67417314,3733058,3733058,,,,,,Pass,Pass
19467,301160355,3466891,3466891,,,,,,Pass,Pass
19536,1035828782,3722963,14531882,[{'sourceId': '19536'}],"[{'rovi_projectx_id_mapped': 'rovi_id:1035828782,Map_reason:not found in projectx'}]",,,False,Fail,Fail
19542,662401258,3860700,3860700,,,,,,Pass,Pass
19623,285144,4121451,4121451,,,,,,Pass,Pass
18893,546733009,3694538,3694538,,,,,,Pass,Pass
14869,1145923157,8976146,8976146,,,,,,Pass,Pass
18973,1029453964,8857178,8857178,,,,,,Pass,Pass
20146,22502078,3184152,3184152,,,,,,Pass,Pass
20145,1005722363,3697734,3697734,,,,,,Pass,Pass
20144,21751388,3841671,3841671,,,,,,Pass,Pass
20143,66121059,3364133,3364133,,,,,,Pass,Pass
20142,322946895,3278393,3278393,,,,,,Pass,Pass
20255,1028993700,3898173,3898173,,,,,,Pass,Pass
20287,918723577,8697244,8697244,,,,,,Pass,Pass
19537,1087074236,3723662,3723662,,,,,,Pass,Pass
20625,873425479,8651669,8651669,,,,,,Pass,Pass
20874,1334069900,9237479,9237479,,,,,,Pass,Pass
20352,1147344042,8977483,8977483,,,,,,Pass,Pass
20617,1123352864,3546739,3546739,,,,,,Pass,Pass
21506,1316886556,9213831,9213831,,,,,,Pass,Pass
21507,5449094895,11520130,11520130,,,,,,Pass,Pass
20532,301160346,3355186,3355186,,,,,,Pass,Pass
21605,604180948,3395740,3395740,,,,,,Pass,Pass
19698,939969754,3781892,3781892,,,,,,Pass,Pass
18998,1024560147,8851122,8851122,,,,,,Pass,Pass
18739,1046915435,3694881,3694881,,,,,,Pass,Pass
14787,21512120,7467610,7467610,,,,,,Pass,Pass
19134,4884088326,11095709,11095709,,,,,,Pass,Pass
20685,1140631464,8971680,8971680,,,,,,Pass,Pass
19647,1046914029,3759584,3759584,,,,,,Pass,Pass
21732,66492462,3210704,3210704,,,,,,Pass,Pass
18707,951700899,3919012,3919012,,,,,,Pass,Pass
10349,18819496,3142642,3142642,,,,,,Pass,Pass
20702,961678690,3515085,3515085,,,,,,Pass,Pass
21769,709491414,3761161,3761161,,,,,,Pass,Pass
21960,1144006062,8972485,8972485,,,,,,Pass,Pass
22017,1398132278,9302228,9302228,,,,,,Pass,Pass
20928,1059899283,8890425,8890425,,,,,,Pass,Pass
18760,1055532722,3561899,3561899,,,,,,Pass,Pass
21959,1161855126,2869633,2869633,,,,,,Pass,Pass
21903,20037997,3278192,3278192,,,,,,Pass,Pass
22531,863953578,8636978,8636978,,,,,,Pass,Pass
22634,1196360109,3744874,3744874,,,,,,Pass,Pass
22678,1191235455,[9031970],Nil,,,,,,source_id not ingested,Fail
22756,608067014,3370392,3370392,,,,,,Pass,Pass
23278,1046915310,8875238,8875238,,,,,,Pass,Pass
20587,470031424,3513040,3513040,,,,,,Pass,Pass
24649,1294181921,3708476,3708476,,,,,,Pass,Pass
23350,1355100566,9262489,9262489,,,,,,Pass,Pass
24871,2323418,3533906,3533906,,,,,,Pass,Pass
24807,1352212822,3744632,3744632,,,,,,Pass,Pass
22674,1292097789,9168959,9168959,,,,,,Pass,Pass
24986,958608633,8746686,8746686,,,,,,Pass,Pass
22454,1255584815,3721606,3721606,,,,,,Pass,Pass
25169,430314,3461851,3461851,,,,,,Pass,Pass
25168,11764346,5554536,5554536,,,,,,Pass,Pass
25192,1538224269,3487896,3487896,,,,,,Pass,Pass
25216,993204974,3776528,3776528,,,,,,Pass,Pass
25273,947043960,8758743,8758743,,,,,,Pass,Pass
26350,1416390951,9318065,9318065,,,,,,Pass,Pass
26581,1167105320,8998040,8998040,,,,,,Pass,Pass
25662,22007779,7575808,7575808,,,,,,Pass,Pass
26558,313424332,4012360,4012360,,,,,,Pass,Pass
27060,1167105323,8997978,8997978,,,,,,Pass,Pass
26751,1130167099,8963501,8963501,,,,,,Pass,Pass
25686,1221887023,9066153,14880728,[{'sourceId': '25686'}],"[{'rovi_projectx_id_mapped': 'rovi_id:1221887023,Map_reason:not found in projectx'}, {'sourceId': '42848,Map_reason:{""color"":0,""language"":1,""credits"":0,""directors"":0,""part_names"":0,""episode_titles"":0.8571428571,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":0,""season_count"":0,""genres_missing"":1,""credits_missing"":1,""directors_missing"":1,""part_names_missing"":1,""release_year"":1,""run_time"":0,""release_year_diff"":0,""release_year_missing"":0,""run_time_diff"":0,""run_time_missing"":1,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1,""id_1"":""projectx:9066153"",""id_2"":""guidebox:SM-42848"",""score"":4.0571428571}'}]",,True,False,Fail,Fail
23333,1087150723,3789001,3789001,,,,,,Pass,Pass
27730,717454,4556595,4556595,,,,,,Pass,Pass
25121,1273033076,9960990,9960990,,,,,,Pass,Pass
