rovi_id,hulu_id,px_id1,px_id1_show_type,px_id1_variant_parent_id,px_id1_is_group_language_primary,px_id1_record_language,px_id2,px_id2_show_type,px_id2_variant_parent_id,px_id2_is_group_language_primary,px_id2_record_language,px_id1_credits_null,px_id1_db_credit_present,px_id2_credits_null,px_id2_db_credit_present,long_title_match,original_title_match,runtime_match,release_year_match,alias_title_match,credit_match,match_link_id,link_match,comment
1062101,1006483,209249,MO,,True,EN,3920159,MO,,True,EN,False,False,False,False,True,True,True,True,,True,['B009GJBATQ'],True,
449755,1006473,101337,MO,,True,EN,3947047,MO,,True,EN,False,False,False,False,True,True,True,True,,True,['B009GJBEF6'],True,
431097,988078,96703,MO,,True,EN,13971541,MO,,True,EN,False,False,True,False,True,True,False,False,,,['60782585'],True,
1186702141,986948,2082556,MO,,True,EN,13666398,MO,,True,EN,False,False,True,False,True,True,False,True,,,['60756928'],True,
669400968,957935,1770867,MO,,True,EN,13750368,MO,,True,EN,False,False,True,False,True,True,False,False,,,['60748606'],True,
183821,922960,54756,MO,,True,EN,114400,MO,,True,EN,False,False,False,False,True,False,False,True,,False,['60696092'],True,
21778913,850367,1399274,MO,,True,EN,14083065,MO,,True,EN,False,False,True,False,True,True,False,False,,,['60608108'],True,
1530143638,812751,2367858,MO,,True,EN,1151046,MO,,True,EN,False,False,False,False,True,False,False,True,,False,['60559928'],True,
459191893,788078,1677095,MO,,True,EN,13971469,MO,,True,EN,False,False,True,False,True,True,False,True,,,['60523146'],True,
298286019,576773,1543467,MO,,True,EN,1355698,MO,,True,EN,False,False,False,False,True,True,False,True,,False,['60315389'],True,
13944892,582880,1134248,MO,,True,EN,2222867,MO,,True,EN,False,False,False,False,True,True,True,True,,True,['B07XM8YDGX'],True,
