Px_id,GB_id,Show_type
12954570,47122,SM
12954575,47119,SM
12954597,47118,SM
12954616,47129,SM
12954615,47128,SM
12954625,47117,SM
12954627,47115,SM
12954633,47284,SM
12954639,47114,SM
12954642,47113,SM
12954650,47112,SM
12954688,47108,SM
12954698,47107,SM
12954711,47106,SM
12954731,47687,SM
12954732,47688,SM
12954755,47103,SM
12954767,47100,SM
12954791,47685,SM
12954818,47098,SM
12954831,47097,SM
12954835,47096,SM
12954843,47094,SM
12954858,47683,SM
12954867,47971,SM
12954879,47092,SM
12954887,47091,SM
12954890,47090,SM
12954902,47089,SM
12954903,47970,SM
12954908,47088,SM
12954934,47087,SM
12954965,47085,SM
12955049,48315,SM
12955050,48311,SM
12955077,48308,SM
12955078,48476,SM
12955079,48477,SM
12955080,48478,SM
12955081,48474,SM
12955083,48475,SM
12955084,48473,SM
12955090,48472,SM
12955101,48471,SM
12955118,48469,SM
12955123,48468,SM
12955138,48551,SM
12955139,48547,SM
12955140,48548,SM
12955141,48550,SM
12955146,48549,SM
12955196,48467,SM
12955241,48545,SM
12955299,48539,SM
12955331,48462,SM
12955341,48538,SM
12955365,48537,SM
12955375,48536,SM
12955378,48459,SM
12955398,48535,SM
12955405,48457,SM
12955409,48456,SM
12955413,48455,SM
12955474,48454,SM
12955482,48556,SM
12955493,48453,SM
12955543,48452,SM
12955571,49481,SM
12955580,49476,SM
12955594,49475,SM
12955598,49473,SM
12955602,48451,SM
12955622,48450,SM
12955641,49472,SM
12955647,49471,SM
12955650,48449,SM
12955665,49470,SM
12955682,49765,SM
12955716,48448,SM
12955726,49764,SM
12955731,48446,SM
12955772,48445,SM
12955807,48444,SM
12955825,48443,SM
12955826,49996,SM
12955827,49997,SM
12955829,48441,SM
12955830,49995,SM
12955832,48442,SM
12955833,49998,SM
12955840,48440,SM
12955867,48439,SM
12955880,48438,SM
12955913,49990,SM
12955930,49989,SM
12955934,49988,SM
12955940,49987,SM
12955942,48434,SM
12955966,48433,SM
12955980,49984,SM
12956017,48432,SM
12956025,48431,SM
12956027,49983,SM
12956035,48430,SM
12956043,49981,SM
12956070,48429,SM
12956080,49979,SM
12956092,48428,SM
12956193,48427,SM
12956205,48425,SM
12956206,48426,SM
12956221,48424,SM
12956254,50439,SM
12956263,48423,SM
12956271,48422,SM
12956295,48420,SM
12956314,48419,SM
12956358,48418,SM
12956365,50631,SM
12956387,50630,SM
12956410,48416,SM
12956421,48415,SM
12956445,50629,SM
12956502,50624,SM
12956518,50623,SM
12956539,50622,SM
12956554,50621,SM
12956571,50620,SM
12956604,51107,SM
12956605,51108,SM
12956606,51105,SM
12956607,51106,SM
12956637,50618,SM
12956650,50617,SM
12956653,50616,SM
12956654,50615,SM
12956658,51103,SM
12956709,50614,SM
12956757,51373,SM
12956758,51374,SM
12956759,51372,SM
12956760,51368,SM
12956768,51367,SM
12956802,51424,SM
12956803,51426,SM
12956804,51423,SM
12956819,51422,SM
12956881,51366,SM
12956942,5191,SM
12956943,51880,SM
12956944,51881,SM
12956949,51364,SM
12956953,51362,SM
12956964,51837,SM
12957010,51361,SM
12957013,51360,SM
12957049,51359,SM
12957050,51358,SM
12957056,51357,SM
12957060,51711,SM
12957091,51356,SM
12957116,51709,SM
12957117,51355,SM
12957136,51354,SM
12957153,51353,SM
12957167,51708,SM
12957196,51351,SM
12957201,51707,SM
12957209,51706,SM
12957213,51705,SM
12957247,51350,SM
12957260,51376,SM
12957262,51349,SM
12957290,51377,SM
12957291,51348,SM
12957294,51704,SM
12957300,51703,SM
12957314,51347,SM
12957325,51378,SM
12957347,51701,SM
12957355,51700,SM
12957376,51346,SM
12957394,51698,SM
12957398,51699,SM
12957438,52975,SM
12957440,52974,SM
12957476,51697,SM
12957486,51696,SM
12957500,51631,SM
12957550,51594,SM
12957580,51592,SM
12957588,51591,SM
12957610,53340,SM
12957612,51590,SM
12957613,53341,SM
12957617,53342,SM
12957630,53338,SM
12957647,51589,SM
12957673,51588,SM
12957678,51586,SM
12957690,51585,SM
12957760,53562,SM
12957761,53561,SM
12957783,53560,SM
12957847,53684,SM
12957849,53681,SM
12957850,53680,SM
12957848,53682,SM
12957851,53683,SM
12957888,53679,SM
12957907,53678,SM
12957911,53677,SM
12957965,53820,SM
12957966,53818,SM
12957967,53821,SM
12957976,53826,SM
12957979,53825,SM
12957993,53674,SM
12958034,53824,SM
12958042,53823,SM
12958062,53993,SM
12958090,53817,SM
12958111,53992,SM
12958113,53816,SM
12958160,53813,SM
12958169,53811,SM
12958182,53810,SM
12958186,53807,SM
12958185,53808,SM
12958209,54348,SM
12958211,54343,SM
12958213,53806,SM
12958224,53805,SM
12958241,54341,SM
12958247,53803,SM
12958249,53804,SM
12958258,53802,SM
12958261,54340,SM
12958273,53801,SM
12958276,54329,SM
12958285,54328,SM
12958311,54327,SM
12958328,53800,SM
12958373,53799,SM
12958376,53789,SM
12958375,54326,SM
12958417,54325,SM
12958423,53783,SM
12958432,54324,SM
12958480,53782,SM
12958498,54322,SM
12958503,53781,SM
12958513,54321,SM
12958566,53780,SM
12958573,54320,SM
12958581,54318,SM
12958588,53779,SM
12958594,54317,SM
12958599,54316,SM
12958670,53777,SM
12958692,6163,SM
12958694,6164,SM
12958710,53774,SM
12958711,53775,SM
12958712,6157,SM
12958766,53771,SM
12958776,53770,SM
12958781,53769,SM
12958842,693,SM
12958850,53764,SM
12958853,53763,SM
12958857,691,SM
12958860,53762,SM
12958870,53761,SM
12958887,53760,SM
12958908,686,SM
12958921,683,SM
12958924,53828,SM
12958935,53829,SM
12958957,53830,SM
12959023,858,SM
12959022,86,SM
12959056,862,SM
12959435,851,SM
12959482,85,SM
12959752,8487,SM
12959787,8485,SM
12959881,8476,SM
12959906,8472,SM
12959950,8467,SM
12959951,8465,SM
12959959,8462,SM
12959965,8461,SM
12959988,8452,SM
12960032,8449,SM
12960046,8447,SM
12960062,8444,SM
12960122,8436,SM
12960138,8434,SM
12960176,8427,SM
12960179,8425,SM
12960190,8420,SM
12960266,8411,SM
12960291,8407,SM
12960338,113925,MO
12960345,114053,MO
12960353,114041,MO
12960360,114026,MO
12960361,114011,MO
12960362,114006,MO
12960363,114464,MO
12960366,114677,MO
12960372,114749,MO
12960374,114745,MO
12960375,114827,MO
12960377,114737,MO
12960378,114738,MO
12960379,114736,MO
12960380,114732,MO
12960383,114730,MO
12960384,114727,MO
12960385,114726,MO
12960386,115087,MO
12960387,114725,MO
12960388,114723,MO
12960390,114721,MO
12960392,114717,MO
12960393,114715,MO
12960395,115184,MO
12960400,115194,MO
12960401,115947,MO
12960402,115946,MO
12960403,115935,MO
12960404,115924,MO
12960405,115923,MO
12960406,115922,MO
12960407,116197,MO
12960408,116196,MO
12960409,115913,MO
12960410,115908,MO
12960411,115907,MO
12960412,116401,MO
12960413,115905,MO
12960414,115901,MO
12960415,116497,MO
12960416,116498,MO
12960417,116495,MO
12960418,116494,MO
12960419,116566,MO
12960420,116564,MO
12960421,116567,MO
12960422,116639,MO
12960423,116634,MO
12960424,116632,MO
12960425,116711,MO
12960426,116702,MO
12960427,116700,MO
12960428,116697,MO
12960429,116630,MO
12960430,116629,MO
12960431,116628,MO
12960432,116627,MO
12960433,116626,MO
12960434,116625,MO
12960435,116624,MO
12960436,116623,MO
12960437,116622,MO
12960438,116681,MO
12960439,116680,MO
12960440,116621,MO
12960441,116666,MO
12960442,116665,MO
12960443,116652,MO
12960444,116646,MO
12960445,117018,MO
12960446,117017,MO
12960447,116641,MO
12960448,116640,MO
12960449,116619,MO
12960450,116617,MO
12960451,117075,MO
12960453,116614,MO
12960452,116615,MO
12960454,116613,MO
12960455,117072,MO
12960456,117071,MO
12960457,117069,MO
12960458,117068,MO
12960459,117250,MO
12960460,117246,MO
12960461,117066,MO
12960462,117466,MO
12960463,117459,MO
12960464,117456,MO
12960466,117454,MO
12960465,117455,MO
12960467,117452,MO
12960468,117854,MO
12960469,117855,MO
12960470,117853,MO
12960471,117852,MO
12960472,117850,MO
12960473,117849,MO
12960474,117848,MO
12960475,117846,MO
12960476,117842,MO
12960477,117840,MO
12960478,118331,MO
12960479,117839,MO
12960480,117837,MO
12960481,117836,MO
12960482,118327,MO
12960483,117834,MO
12960484,118323,MO
12960485,117833,MO
12960486,118321,MO
12960487,118320,MO
12960488,118317,MO
12960489,118315,MO
12960490,118314,MO
12960491,118309,MO
12960492,118307,MO
12960493,118305,MO
12960494,118302,MO
12960495,118301,MO
12960496,118299,MO
12960497,118295,MO
12960498,118484,MO
12960499,118481,MO
12960500,118483,MO
12960501,118294,MO
12960503,118292,MO
12960502,118479,MO
12960504,118478,MO
12960505,118291,MO
12960506,118289,MO
12960507,118286,MO
12960508,118285,MO
12960509,118476,MO
12960510,118283,MO
12960511,118280,MO
12960512,118279,MO
12960513,118275,MO
12960514,118276,MO
12960516,118273,MO
12960515,118274,MO
12960517,118272,MO
12960518,118472,MO
12960519,118471,MO
12960521,118266,MO
12960520,118267,MO
12960522,118265,MO
12960523,118757,MO
12960524,118875,MO
12960525,118923,MO
12960526,118919,MO
12960527,118916,MO
12960528,118866,MO
12960529,118865,MO
12960530,118864,MO
12960531,118863,MO
12960532,118862,MO
12960534,118860,MO
12960533,118861,MO
12960535,118859,MO
12960536,118912,MO
12960537,118855,MO
12960538,118857,MO
12960539,118854,MO
12960540,118853,MO
12960541,118909,MO
12960542,118851,MO
12960543,118850,MO
12960544,11885,MO
12960545,118849,MO
12960546,118848,MO
12960547,118846,MO
12960548,118847,MO
12960549,118845,MO
12960550,118844,MO
12960551,118834,MO
12960552,118833,MO
12960553,118907,MO
12960554,118830,MO
12960555,118828,MO
12960556,118825,MO
12960557,118902,MO
12960558,118820,MO
12960559,118819,MO
12960560,118818,MO
12960561,118813,MO
12960562,118812,MO
12960563,118811,MO
12960564,118810,MO
12960565,118809,MO
12960566,118808,MO
12960567,118807,MO
12960568,118802,MO
12960569,118795,MO
12960570,118791,MO
12960571,118789,MO
12960572,118788,MO
12960573,118787,MO
12960574,118786,MO
12960575,118785,MO
12960576,118780,MO
12960577,118779,MO
12960578,118778,MO
12960579,118772,MO
12960580,118770,MO
12960581,11877,MO
12960582,119217,MO
12960583,118768,MO
12960584,118767,MO
12960585,119215,MO
12960586,118755,MO
12960587,118751,MO
12960588,118748,MO
12960589,118745,MO
12960590,118743,MO
12960591,11874,MO
12960592,118739,MO
12960593,118738,MO
12960594,119873,MO
12960595,119875,MO
12960596,119886,MO
12960597,119884,MO
12960598,119883,MO
12960599,119881,MO
12960600,119882,MO
12960601,119880,MO
12960602,119872,MO
12960604,119864,MO
12960603,119865,MO
12960605,119862,MO
12960606,119861,MO
12960607,119860,MO
12960609,119856,MO
12960608,119858,MO
12960611,119852,MO
12960610,119853,MO
12960612,119849,MO
12960613,119848,MO
12960614,120299,MO
12960615,120297,MO
12960616,120303,MO
12960617,120298,MO
12960618,120304,MO
12960619,120300,MO
12960620,119847,MO
12960621,119846,MO
12960622,119845,MO
12960623,119844,MO
12960624,120307,MO
12960625,120420,MO
12960626,120417,MO
12960627,120419,MO
12960628,120418,MO
12960629,120414,MO
12960630,120550,MO
12960631,120543,MO
12960632,120538,MO
12960633,120534,MO
12960634,120404,MO
12960635,120402,MO
12960636,120401,MO
12960637,120398,MO
12960638,120396,MO
12960639,120395,MO
12960640,120394,MO
12960641,120393,MO
12960642,120391,MO
12960643,120895,MO
12960645,120888,MO
12960646,120887,MO
12960644,120890,MO
12960647,120899,MO
12960648,120897,MO
12960649,120379,MO
12960650,121274,MO
12960651,121272,MO
12960652,121271,MO
12960653,121270,MO
12960654,121267,MO
12960655,120377,MO
12960656,121266,MO
12960657,120376,MO
12960658,121265,MO
12960659,121263,MO
12960660,120373,MO
12960661,121259,MO
12960662,120370,MO
12960663,120368,MO
12960664,121257,MO
12960665,120365,MO
12960666,121407,MO
12960667,121403,MO
12960668,121402,MO
12960669,121401,MO
12960670,121400,MO
12960671,12140,MO
12960672,121399,MO
12960673,121396,MO
12960674,121394,MO
12960675,121544,MO
12960677,121542,MO
12960676,121541,MO
12960678,121543,MO
12960679,121540,MO
12960680,121539,MO
12960681,121393,MO
12960682,121392,MO
12960683,121391,MO
12960685,121536,MO
12960686,121538,MO
12960684,121537,MO
12960688,121534,MO
12960687,121535,MO
12960689,121390,MO
12960690,121389,MO
12960691,121388,MO
12960692,121530,MO
12960693,121387,MO
12960694,121531,MO
12960695,121386,MO
12960696,121525,MO
12960697,121524,MO
12960698,121385,MO
12960699,121384,MO
12960700,121383,MO
12960701,121382,MO
12960702,121523,MO
12960703,121522,MO
12960704,121380,MO
12960705,121521,MO
12960706,121520,MO
12960707,121517,MO
12960708,121378,MO
12960709,121516,MO
12960710,121515,MO
12960711,121513,MO
12960712,121546,MO
12960713,121372,MO
12960714,121411,MO
12960715,121412,MO
12960716,121883,MO
12960718,121882,MO
12960717,121880,MO
12960719,121881,MO
12960720,121370,MO
12960721,121369,MO
12960722,12188,MO
12960723,121876,MO
12960724,121874,MO
12960725,121877,MO
12960726,121873,MO
12960727,121368,MO
12960728,121367,MO
12960729,121867,MO
12960730,121865,MO
12960731,121866,MO
12960732,121864,MO
12960733,121364,MO
12960734,121859,MO
12960735,121858,MO
12960736,121857,MO
12960737,121856,MO
12960738,121855,MO
12960739,121854,MO
12960740,121853,MO
12960742,121850,MO
12960743,121849,MO
12960741,121851,MO
12960744,121846,MO
12960745,121842,MO
12960746,121841,MO
12960747,121839,MO
12960748,121840,MO
12960749,121837,MO
12960750,121835,MO
12960751,121834,MO
12960752,121831,MO
12960753,121832,MO
12960754,121830,MO
12960755,121829,MO
12960756,121826,MO
12960758,121828,MO
12960757,121825,MO
12960759,121822,MO
12960760,121821,MO
12960761,121820,MO
12960762,121817,MO
12960763,121818,MO
12960764,121811,MO
12960765,121815,MO
12960766,121810,MO
12960767,122339,MO
12960768,121809,MO
12960769,122340,MO
12960770,122335,MO
12960771,122347,MO
12960772,123035,MO
12960773,123034,MO
12960774,123043,MO
12960775,123078,MO
12960776,123031,MO
12960777,123617,MO
12960778,123618,MO
12960779,123616,MO
12960780,123621,MO
12960781,123629,MO
12960782,123612,MO
12960783,123610,MO
12960784,123608,MO
12960785,123606,MO
12960786,123603,MO
12960787,123602,MO
12960788,123597,MO
12960789,123596,MO
12960790,124219,MO
12960791,124228,MO
12960792,124229,MO
12960793,124225,MO
12960794,124215,MO
12960795,124214,MO
12960796,124213,MO
12960797,124211,MO
12960798,124210,MO
12960799,124204,MO
12960800,124203,MO
12960801,124202,MO
12960802,124201,MO
12960803,124611,MO
12960804,124614,MO
12960805,124615,MO
12960806,124612,MO
12960807,124613,MO
12960808,124199,MO
12960809,124198,MO
12960810,124197,MO
12960811,124196,MO
12960812,124610,MO
12960813,124194,MO
12960814,124195,MO
12960815,124193,MO
12960816,124192,MO
12960817,124191,MO
12960818,124190,MO
12960819,124189,MO
12960820,124186,MO
12960821,125224,MO
12960822,125228,MO
12960823,125227,MO
12960824,125222,MO
12960825,125555,MO
12960828,125548,MO
12960826,125551,MO
12960827,125558,MO
12960830,125547,MO
12960829,125549,MO
12960831,125546,MO
12960832,125544,MO
12960833,126115,MO
12960834,126117,MO
12960835,126114,MO
12960837,126113,MO
12960836,126112,MO
12960838,12611,MO
12960839,126109,MO
12960840,126107,MO
12960841,126106,MO
12960842,126105,MO
12960843,126104,MO
12960844,126103,MO
12960845,126102,MO
12960846,126101,MO
12960847,12610,MO
12960848,126099,MO
12960849,126198,MO
12960851,126203,MO
12960850,126205,MO
12960852,126098,MO
12960853,126095,MO
12960854,126196,MO
12960855,126195,MO
12960856,126193,MO
12960857,126092,MO
12960858,126091,MO
12960859,126192,MO
12960860,12609,MO
12960861,126088,MO
12960862,126190,MO
12960863,126086,MO
12960864,126084,MO
12960865,126189,MO
12960866,126186,MO
12960867,126184,MO
12960868,126083,MO
12960869,12598,MO
12960870,126182,MO
12960871,126181,MO
12960872,12590,MO
12960873,126180,MO
12960874,126178,MO
12960875,126176,MO
12960876,126175,MO
12960877,126173,MO
12960878,12583,MO
12960879,126171,MO
12960880,125782,MO
12960881,126169,MO
12960883,126168,MO
12960884,126167,MO
12960882,125769,MO
12960885,126165,MO
12960886,125768,MO
12960887,126164,MO
12960888,125766,MO
12960889,126163,MO
12960890,125765,MO
12960891,126162,MO
12960892,125764,MO
12960893,125763,MO
12960894,125762,MO
12960895,126160,MO
12960896,126159,MO
12960897,125761,MO
12960898,126158,MO
12960899,125760,MO
12960900,126157,MO
12960901,126156,MO
12960902,125756,MO
12960903,126155,MO
12960904,126154,MO
12960905,125755,MO
12960906,126153,MO
12960907,125753,MO
12960908,125752,MO
12960909,126151,MO
12960910,125751,MO
12960911,125750,MO
12960912,126150,MO
12960913,126147,MO
12960914,125748,MO
12960915,125747,MO
12960916,126146,MO
12960917,125745,MO
12960918,125744,MO
12960919,125743,MO
12960920,125741,MO
12960921,125739,MO
12960922,125737,MO
12960923,125735,MO
12960924,125734,MO
12960925,125733,MO
12960926,126865,MO
12960927,126863,MO
12960928,126870,MO
12960929,126869,MO
12960930,126871,MO
12960931,126861,MO
12960932,126872,MO
12960933,126860,MO
12960934,126859,MO
12960935,126857,MO
12960936,126967,MO
12960937,126964,MO
12960938,126965,MO
12960939,126962,MO
12960940,126963,MO
12960941,126856,MO
12960942,126855,MO
12960943,126854,MO
12960944,126959,MO
12960945,126957,MO
12960946,126955,MO
12960947,126951,MO
12960948,126954,MO
12960949,126848,MO
12960952,126947,MO
12960951,126847,MO
12960950,126949,MO
12960953,126946,MO
12960954,126943,MO
12960955,126846,MO
12960956,126944,MO
12960957,126845,MO
12960958,126942,MO
12960959,126844,MO
12960960,126843,MO
12960961,126940,MO
12960962,126841,MO
12960963,126838,MO
12960964,126837,MO
12960965,126835,MO
12960966,126834,MO
12960967,126831,MO
12960968,127141,MO
12960969,127137,MO
12960970,127135,MO
12960971,127201,MO
12960972,12720,MO
12960973,127114,MO
12960974,12711,MO
12960975,127102,MO
12960976,127100,MO
12960977,127303,MO
12960978,127301,MO
12960979,127300,MO
12960980,127298,MO
12960981,127096,MO
12960982,127095,MO
12960983,127296,MO
12960984,127094,MO
12960985,127293,MO
12960987,127576,MO
12960986,127570,MO
12960988,127575,MO
12960989,127563,MO
12960990,127560,MO
12960991,127272,MO
12960992,127915,MO
12960993,127917,MO
12960994,127542,MO
12960995,127541,MO
12960996,127540,MO
12960997,127538,MO
12960998,128130,MO
12960999,128131,MO
12961000,127535,MO
12961001,127533,MO
12961002,128129,MO
12961003,128186,MO
12961004,128188,MO
12961005,128187,MO
12961006,128185,MO
12961007,128183,MO
12961008,128182,MO
12961009,128181,MO
12961010,128180,MO
12961011,128178,MO
12961012,128177,MO
12961013,128176,MO
12961014,128175,MO
12961015,128173,MO
12961016,128171,MO
12961017,128172,MO
12961018,128170,MO
12961019,128169,MO
12961020,128168,MO
12961021,128325,MO
12961022,128324,MO
12961023,128328,MO
12961024,128326,MO
12961025,128166,MO
12961026,128163,MO
12961027,128162,MO
12961029,128160,MO
12961028,128161,MO
12961030,128159,MO
12961031,128158,MO
12961032,128153,MO
12961033,128152,MO
12961034,128142,MO
12961035,128141,MO
12961036,128546,MO
12961037,128544,MO
12961038,128540,MO
12961039,128608,MO
12961040,128607,MO
12961041,128606,MO
12961042,128605,MO
12961043,128638,MO
12961044,128633,MO
12961045,128629,MO
12961046,128680,MO
12961047,128673,MO
12961048,128669,MO
12961049,128666,MO
12961050,128620,MO
12961051,128659,MO
12961052,128919,MO
12961053,128917,MO
12961054,12891,MO
12961055,128906,MO
12961056,129001,MO
12961057,129000,MO
12961058,128901,MO
12961059,128999,MO
12961060,128896,MO
12961061,128892,MO
12961062,128890,MO
12961063,128888,MO
12961064,128998,MO
12961065,128887,MO
12961066,128886,MO
12961067,128997,MO
12961068,129187,MO
12961069,129177,MO
12961070,128993,MO
12961071,129287,MO
12961072,128991,MO
12961073,128989,MO
12961074,128988,MO
12961075,129279,MO
12961076,129454,MO
12961077,129450,MO
12961078,129448,MO
12961079,129447,MO
12961080,129270,MO
12961081,129565,MO
12961082,129564,MO
12961083,129567,MO
12961084,129265,MO
12961085,129262,MO
12961086,129256,MO
12961088,129652,MO
12961087,129649,MO
12961089,129650,MO
12961090,129690,MO
12961091,129689,MO
12961092,129719,MO
12961093,129718,MO
12961094,129684,MO
12961095,129683,MO
12961096,129680,MO
12961097,129676,MO
12961098,129675,MO
12961099,129673,MO
12961100,12967,MO
12961101,129669,MO
12961102,129668,MO
12961103,129976,MO
12961104,129978,MO
12961105,129977,MO
12961106,129975,MO
12961107,129974,MO
12961108,129969,MO
12961109,130053,MO
12961110,129964,MO
12961111,129962,MO
12961112,129959,MO
12961113,129960,MO
12961114,129955,MO
12961115,129954,MO
12961116,129953,MO
12961117,129951,MO
12961118,130150,MO
12961119,129947,MO
12961120,130147,MO
12961121,129945,MO
12961122,129942,MO
12961123,130139,MO
12961124,129940,MO
12961125,129938,MO
12961126,129937,MO
12961127,130137,MO
12961128,130316,MO
12961129,130315,MO
12961130,130310,MO
12961131,130130,MO
12961132,130308,MO
12961133,130307,MO
12961134,130127,MO
12961135,130121,MO
12961136,130293,MO
12961137,130117,MO
12961138,130286,MO
12961139,130283,MO
12961140,130282,MO
12961141,130281,MO
12961142,130280,MO
12961143,130279,MO
12961144,130277,MO
12961145,130890,MO
12961146,130868,MO
12961147,130863,MO
12961148,130862,MO
12961149,130858,MO
12961150,130938,MO
