Vudu_series_id,Vudu_id,show_type,purchase_type
754108,754132,SE,Null
754108,754136,SE,Null
754108,754144,SE,True
754108,754148,SE,True
754108,754152,SE,True
754108,754156,SE,True
754108,754160,SE,True
754108,754164,SE,True
0,754168,MO,Null
391437,754180,SE,True
391437,754184,SE,True
0,754188,SM,Null
754188,754196,SE,True
754188,754200,SE,True
754188,754204,SE,True
754188,754208,SE,True
754188,754212,SE,True
754188,754216,SE,True
754188,754220,SE,True
754188,754224,SE,True
754188,754228,SE,True
754188,754232,SE,True
754188,754236,SE,True
0,754248,SM,Null
754248,754256,SE,True
754248,754260,SE,True
754248,754264,SE,True
754248,754268,SE,True
754248,754272,SE,True
754248,754276,SE,True
754248,754280,SE,True
754248,754284,SE,True
0,754288,SM,Null
0,754296,SM,Null
754296,754304,SE,Null
754288,754308,SE,True
754296,754312,SE,Null
754296,754316,SE,Null
754296,754320,SE,Null
754296,754324,SE,Null
754296,754328,SE,Null
754296,754332,SE,Null
754296,754336,SE,Null
754296,754340,SE,Null
754296,754344,SE,Null
754296,754348,SE,Null
754296,754352,SE,Null
754296,754356,SE,Null
754288,754360,SE,True
754288,754364,SE,True
0,754368,MO,True
754288,754372,SE,True
754288,754376,SE,True
754288,754380,SE,True
754288,754384,SE,True
754288,754388,SE,True
650108,754396,SE,True
650108,754400,SE,True
650108,754404,SE,True
650108,754408,SE,True
650108,754412,SE,True
650108,754416,SE,True
650108,754420,SE,True
650108,754424,SE,True
650108,754428,SE,True
650108,754432,SE,True
650108,754436,SE,True
650108,754440,SE,True
650108,754444,SE,True
0,754448,SM,Null
754448,754456,SE,True
754448,754460,SE,True
754448,754464,SE,True
754448,754468,SE,True
754448,754472,SE,True
754448,754476,SE,True
754448,754480,SE,True
754448,754484,SE,True
650172,754492,SE,True
650172,754496,SE,True
650172,754500,SE,True
650172,754504,SE,True
650172,754508,SE,True
650172,754512,SE,True
650172,754516,SE,True
650172,754520,SE,True
650172,754524,SE,True
650172,754528,SE,True
0,754647,MO,True
601027,754655,SE,True
601027,754659,SE,True
601027,754663,SE,True
601027,754667,SE,True
601027,754671,SE,True
601027,754675,SE,True
601027,754679,SE,True
601027,754683,SE,True
601027,754687,SE,True
601027,754691,SE,True
601027,754695,SE,True
601027,754699,SE,True
601027,754703,SE,True
0,754707,SM,Null
754707,754715,SE,Null
754707,754719,SE,Null
754707,754723,SE,Null
754707,754727,SE,Null
754707,754731,SE,Null
0,754735,SM,Null
754735,754743,SE,True
754735,754747,SE,True
754735,754751,SE,True
754735,754755,SE,True
754735,754759,SE,True
754735,754763,SE,True
754735,754767,SE,True
754735,754771,SE,True
754735,754775,SE,True
754735,754779,SE,True
754735,754783,SE,True
754735,754787,SE,True
754735,754791,SE,True
754735,754795,SE,True
0,754799,MO,True
0,754803,MO,True
0,754807,MO,True
646435,754815,SE,True
0,754819,MO,True
0,754823,MO,True
679351,754827,SE,True
0,754835,MO,True
0,754839,MO,True
0,754843,MO,True
410923,754847,SE,Null
0,754851,MO,True
0,754855,MO,True
0,754859,MO,True
0,754863,MO,True
747615,754867,SE,True
711736,754874,SE,True
711736,754878,SE,True
711736,754882,SE,True
711736,754886,SE,True
711736,754890,SE,True
711736,754894,SE,True
711736,754898,SE,True
711736,754902,SE,True
711804,754906,SE,True
711804,754910,SE,True
711804,754914,SE,True
711804,754918,SE,True
711804,754922,SE,True
711804,754926,SE,True
711804,754930,SE,True
711804,754934,SE,True
0,754938,MO,True
0,754942,MO,True
0,754946,MO,True
0,754950,MO,True
0,754954,MO,True
0,754958,MO,True
0,754962,MO,True
0,754966,MO,True
0,754970,MO,True
0,754974,MO,True
559059,754978,SE,True
357394,754989,SE,True
0,754993,MO,True
754108,755005,SE,Null
754108,755009,SE,Null
754108,755013,SE,Null
754108,755017,SE,True
754108,755021,SE,True
754108,755025,SE,True
635726,755033,SE,True
635726,755037,SE,True
635726,755041,SE,True
635726,755045,SE,True
635726,755049,SE,True
635726,755053,SE,True
635726,755057,SE,True
635726,755061,SE,True
635726,755065,SE,True
635726,755069,SE,True
635726,755073,SE,True
635726,755077,SE,True
635726,755081,SE,True
0,755086,MO,True
0,755090,MO,True
0,755094,MO,True
0,755098,MO,True
0,755102,MO,True
0,755106,MO,True
0,755110,MO,True
0,755114,MO,True
0,755118,MO,True
0,755122,MO,True
0,755126,MO,True
0,755130,MO,True
0,755137,MO,True
0,755141,MO,True
0,755163,MO,True
638853,755181,SE,Null
0,755193,MO,Null
0,755197,MO,Null
456896,755201,SE,True
688768,755205,SE,True
0,755209,SM,Null
755209,755217,SE,True
755209,755221,SE,True
755209,755225,SE,True
755209,755229,SE,True
755209,755233,SE,True
755209,755237,SE,True
755209,755241,SE,True
755209,755245,SE,True
0,755257,MO,True
0,755261,MO,True
0,755265,MO,True
0,755269,MO,True
321282,755273,SE,Null
457490,755281,SE,True
457490,755285,SE,True
457490,755289,SE,True
457490,755293,SE,True
457490,755297,SE,True
457490,755301,SE,True
457490,755305,SE,True
457490,755309,SE,True
457490,755313,SE,True
457490,755317,SE,True
0,755321,MO,True
0,755326,MO,True
0,755332,SM,Null
755332,755340,SE,True
755332,755344,SE,True
755332,755348,SE,True
650024,755364,SE,True
650024,755368,SE,True
650024,755372,SE,True
650024,755376,SE,True
650024,755380,SE,True
