Vudu_series_id,Vudu_id,show_type,purchase_type
289800,287047,SE,True
289800,287049,SE,True
289800,287051,SE,True
289800,287053,SE,True
289800,287055,SE,True
289800,287057,SE,True
289800,287061,SE,True
289801,287065,SE,True
289801,287067,SE,True
289801,287069,SE,True
289801,287071,SE,True
289801,287073,SE,True
289801,287075,SE,True
289801,287077,SE,True
289801,287079,SE,True
289942,287137,SE,True
289942,287139,SE,True
289942,287141,SE,True
289942,287143,SE,True
289942,287145,SE,True
289942,287147,SE,True
289942,287149,SE,True
289942,287153,SE,True
289942,287155,SE,True
289942,287157,SE,True
289942,287159,SE,True
289942,287161,SE,True
289942,287163,SE,True
289942,287165,SE,True
289942,287169,SE,True
289942,287171,SE,True
289942,287173,SE,True
289942,287175,SE,True
289942,287177,SE,True
289942,287179,SE,True
289942,287181,SE,True
289942,287185,SE,True
290863,287189,SE,True
290863,287191,SE,True
290863,287193,SE,True
290868,287197,SE,True
290868,287199,SE,True
290868,287201,SE,True
290868,287203,SE,True
290868,287205,SE,True
290868,287207,SE,True
290868,287211,SE,True
290868,287213,SE,True
290868,287215,SE,True
290868,287217,SE,True
290868,287219,SE,True
290868,287221,SE,True
290895,287225,SE,True
290895,287227,SE,True
290895,287229,SE,True
290895,287231,SE,True
290895,287233,SE,True
290895,287235,SE,True
290895,287237,SE,True
290895,287239,SE,True
290895,287243,SE,True
290895,287245,SE,True
290895,287247,SE,True
290895,287249,SE,True
290895,287251,SE,True
290895,287253,SE,True
290895,287255,SE,True
290895,287257,SE,True
290901,287261,SE,True
290901,287263,SE,True
290901,287265,SE,True
290901,287267,SE,True
290901,287269,SE,True
290901,287271,SE,True
290901,287275,SE,True
290901,287277,SE,True
290901,287279,SE,True
290901,287281,SE,True
290901,287283,SE,True
290901,287285,SE,True
290904,287295,SE,True
290904,287297,SE,True
290904,287299,SE,True
290904,287301,SE,True
290904,287303,SE,True
290904,287305,SE,True
290931,287309,SE,True
290931,287311,SE,True
290931,287313,SE,True
290931,287315,SE,True
290931,287317,SE,True
290931,287319,SE,True
290931,287321,SE,True
290931,287323,SE,True
290931,287325,SE,True
290931,287327,SE,True
291013,287349,SE,True
291013,287351,SE,True
291013,287353,SE,True
291013,287355,SE,True
291013,287357,SE,True
291013,287359,SE,True
291109,287379,SE,True
291109,287381,SE,True
291109,287383,SE,True
291109,287385,SE,True
291109,287387,SE,True
291109,287389,SE,True
291109,287391,SE,True
291109,287393,SE,True
291141,287397,SE,True
291141,287399,SE,True
291141,287401,SE,True
291141,287403,SE,True
291141,287405,SE,True
291141,287407,SE,True
291142,287411,SE,True
291142,287413,SE,True
291142,287415,SE,True
291142,287417,SE,True
291142,287419,SE,True
291142,287421,SE,True
291143,287425,SE,True
291143,287427,SE,True
291186,287447,SE,True
291186,287449,SE,True
291186,287451,SE,True
291186,287453,SE,True
291186,287455,SE,True
291186,287457,SE,True
291189,287503,SE,True
291189,287505,SE,True
291189,287507,SE,True
291189,287509,SE,True
291190,287513,SE,True
291190,287515,SE,True
291190,287517,SE,True
291190,287519,SE,True
291190,287521,SE,True
291190,287523,SE,True
288066,287529,SE,True
288066,287533,SE,True
288066,287537,SE,True
289799,287545,SE,True
289799,287549,SE,True
289799,287553,SE,True
289799,287557,SE,True
289799,287561,SE,True
289799,287565,SE,True
289799,287569,SE,True
289799,287573,SE,True
289852,287581,SE,True
289852,287585,SE,True
289852,287589,SE,True
289852,287593,SE,True
289852,287597,SE,True
289852,287601,SE,True
289852,287605,SE,True
289852,287609,SE,True
289852,287613,SE,True
289852,287617,SE,True
289852,287621,SE,True
289852,287625,SE,True
289852,287629,SE,True
289852,287637,SE,True
289852,287641,SE,True
289852,287645,SE,True
289852,287649,SE,True
289852,287653,SE,True
289852,287657,SE,True
289852,287661,SE,True
289852,287665,SE,True
289852,287669,SE,True
289852,287673,SE,True
289852,287677,SE,True
289852,287681,SE,True
289853,287689,SE,True
289853,287693,SE,True
289853,287697,SE,True
289853,287701,SE,True
289853,287705,SE,True
289853,287713,SE,True
289853,287717,SE,True
289853,287721,SE,True
289854,287729,SE,True
289854,287733,SE,True
289854,287737,SE,True
289941,287745,SE,True
289941,287749,SE,True
289941,287753,SE,True
289941,287757,SE,True
0,287761,MO,True
290894,287769,SE,True
290894,287773,SE,True
290894,287777,SE,True
290894,287781,SE,True
290894,287785,SE,True
290900,287793,SE,True
290900,287797,SE,True
290900,287801,SE,True
290900,287805,SE,True
290900,287809,SE,True
290900,287813,SE,True
290902,287821,SE,True
290902,287825,SE,True
290902,287829,SE,True
290902,287833,SE,True
290902,287837,SE,True
290902,287841,SE,True
290940,287897,SE,True
290940,287901,SE,True
290940,287905,SE,True
290942,287913,SE,True
290942,287917,SE,True
290942,287921,SE,True
290942,287925,SE,True
290942,287929,SE,True
290942,287933,SE,True
0,287941,MO,True
291183,287965,SE,Null
291183,287969,SE,Null
291183,287973,SE,Null
291183,287977,SE,Null
291183,287981,SE,Null
291183,287985,SE,Null
291184,287993,SE,True
291184,287997,SE,True
291184,288001,SE,True
0,288065,SM,Null
0,288066,SM,Null
0,288073,MO,Null
0,288120,MO,True
0,288130,MO,True
0,288138,MO,True
289736,288314,SE,Null
0,288318,SM,Null
0,288375,MO,Null
0,288404,MO,True
0,288413,MO,True
0,288420,MO,True
0,288429,MO,True
0,288435,MO,Null
0,288437,MO,Null
0,288439,MO,True
0,288448,MO,True
0,288450,MO,True
253489,288456,SE,True
0,288462,MO,True
273767,288484,SE,True
0,288496,SM,Null
288496,288498,SE,True
288496,288501,SE,True
0,288506,MO,True
0,288511,MO,True
0,288553,MO,True
0,288601,MO,True
0,288615,SM,Null
288615,288617,SE,Null
288615,288620,SE,Null
288615,288622,SE,Null
288615,288624,SE,Null
288615,288626,SE,Null
288615,288628,SE,Null
288615,288630,SE,Null
288615,288632,SE,Null
288615,288634,SE,Null
288615,288637,SE,Null
288615,288644,SE,Null
288615,288648,SE,Null
288615,288650,SE,Null
288615,288652,SE,Null
288615,288654,SE,Null
288615,288716,SE,Null
233189,288730,SE,True
234495,288748,SE,True
0,288852,MO,True
0,288926,MO,True
0,289045,MO,True
0,289049,MO,True
0,289053,MO,True
234495,289057,SE,True
0,289061,MO,True
0,289076,MO,True
0,289078,MO,True
0,289080,MO,True
0,289082,MO,True
0,289084,MO,True
0,289096,MO,True
0,289100,MO,True
0,289109,MO,True
0,289111,MO,True
