source,sm_id,id,show_type,movie_title,series_title,episode_title,release_year,link_expired,Projectx_ids,Variant id present for episode,Variant parent id for Episode,Projectx_series_id,comment,Result,id duplicate,Duplicate ids in search,Credit_match,Rovi_id count for duplicate,Gb_id_count for duplicate,Hulu_id count for duplicate,Mapped rovi_id for duplicate,Mapped gb_id for duplicate,Mapped Hulu_id for duplicate,variant parent id present,variant_parent_id,link_fetched_from,Sources of link
Hulu,2324,621409,SE,,Inuyasha,(Dub) Beyond the Darkness: Naraku Reborn!,2000,False,[14413563],,,,"('No multiple ids for this link', 621409, 2324)",No multiple ids for this link,,,,,
Hulu,2324,621440,SE,,Inuyasha,"(Dub) The Mysterious, Lecherous Monk",2000,False,[14413560],,,,"('No multiple ids for this link', 621440, 2324)",No multiple ids for this link,,,,,
Hulu,2324,632930,SE,,Inuyasha,(Dub) Untamed Entei and Horrible Hakudoshi,2000,False,[8138876],,,,"('No multiple ids for this link', 632930, 2324)",No multiple ids for this link,,,,,
Hulu,2324,617773,SE,,Inuyasha,(Dub) Tetsusaiga Breaks,2000,False,[14413557],,,,"('No multiple ids for this link', 617773, 2324)",No multiple ids for this link,,,,,
Hulu,2324,616196,SE,,Inuyasha,(Dub) Tsubaki's Unrelenting Evil Spell,2000,False,[14413553],,,,"('No multiple ids for this link', 616196, 2324)",No multiple ids for this link,,,,,
Hulu,2324,632988,SE,,Inuyasha,"(Dub) The Bond Between Them, Use the Sacred Jewel Shard! Part 1",2000,False,[14413551],,,,"('No multiple ids for this link', 632988, 2324)",No multiple ids for this link,,,,,
Hulu,2324,616195,SE,,Inuyasha,(Dub) Sesshomaru and the Abducted Rin,2000,False,[14413548],,,,"('No multiple ids for this link', 616195, 2324)",No multiple ids for this link,,,,,
Hulu,2324,621412,SE,,Inuyasha,(Dub) The Three Sprites of the Monkey God,2000,False,[14413545],,,,"('No multiple ids for this link', 621412, 2324)",No multiple ids for this link,,,,,
Hulu,2324,621411,SE,,Inuyasha,(Dub) Into the Depths of Mt. Hakurei,2000,False,[14413542],,,,"('No multiple ids for this link', 621411, 2324)",No multiple ids for this link,,,,,
Hulu,2324,633002,SE,,Inuyasha,"(Dub) Possessed by a Parasite: Shippo, Our Worst Enemy",2000,False,[14413538],,,,"('No multiple ids for this link', 633002, 2324)",No multiple ids for this link,,,,,
Hulu,2324,608266,SE,,Inuyasha,(Dub) Kaijinbo's Evil Sword,2000,False,[14413534],,,,"('No multiple ids for this link', 608266, 2324)",No multiple ids for this link,,,,,
Hulu,2324,608265,SE,,Inuyasha,"(Dub) Jinenji, Kind Yet Sad",2000,False,[14413533],,,,"('No multiple ids for this link', 608265, 2324)",No multiple ids for this link,,,,,
Hulu,2324,621439,SE,,Inuyasha,(Dub) The Evil Within Demon's Head Castle,2000,False,[14413530],,,,"('No multiple ids for this link', 621439, 2324)",No multiple ids for this link,,,,,
Hulu,2324,621410,SE,,Inuyasha,"(Dub) Farewell Kikyo, My Beloved",2000,False,[14413527],,,,"('No multiple ids for this link', 621410, 2324)",No multiple ids for this link,,,,,
Hulu,2324,632932,SE,,Inuyasha,(Dub) Final Battle at the Graveside: Sesshomaru vs. Inuyasha,2000,False,[14413523],,,,"('No multiple ids for this link', 632932, 2324)",No multiple ids for this link,,,,,
Hulu,2324,617776,SE,,Inuyasha,(Dub) Kagura's Dance and Kanna's Mirror,2000,False,[14413519],,,,"('No multiple ids for this link', 617776, 2324)",No multiple ids for this link,,,,,
Hulu,2324,616194,SE,,Inuyasha,"(Dub) Only You, Sango",2000,False,[14413515],,,,"('No multiple ids for this link', 616194, 2324)",No multiple ids for this link,,,,,
Hulu,2324,621408,SE,,Inuyasha,"(Dub) Enter Bankotsu, the Leader of the Band of Seven",2000,False,[14413511],,,,"('No multiple ids for this link', 621408, 2324)",No multiple ids for this link,,,,,
Hulu,2324,617770,SE,,Inuyasha,(Dub) Onigumo's Heart Still Beats Within Naraku,2000,False,[14413506],,,,"('No multiple ids for this link', 617770, 2324)",No multiple ids for this link,,,,,
Hulu,2324,616193,SE,,Inuyasha,(Dub) The Howling Wind of Betrayal,2000,False,[14413502],,,,"('No multiple ids for this link', 616193, 2324)",No multiple ids for this link,,,,,
Hulu,2324,621438,SE,,Inuyasha,(Dub) Nursing Battle of the Rival Lovers,2000,False,[14413499],,,,"('No multiple ids for this link', 621438, 2324)",No multiple ids for this link,,,,,
Hulu,2324,632920,SE,,Inuyasha,(Dub) A Strange Invisible Demon Appears!,2000,False,[14413496],,,,"('No multiple ids for this link', 632920, 2324)",No multiple ids for this link,,,,,
Hulu,2324,632919,SE,,Inuyasha,(Dub) Don't Boil It! the Terrifying Dried-Up Demon!,2000,False,[14413494],,,,"('No multiple ids for this link', 632919, 2324)",No multiple ids for this link,,,,,
Hulu,2324,621509,SE,,Inuyasha,(Dub) Transform Heartache Into Courage!,2000,False,[14413491],,,,"('No multiple ids for this link', 621509, 2324)",No multiple ids for this link,,,,,
Hulu,2324,633001,SE,,Inuyasha,"(Dub) Kohaku, Sango and Kirara: the Secret Flower Garden",2000,False,[14413486],,,,"('No multiple ids for this link', 633001, 2324)",No multiple ids for this link,,,,,
Hulu,2324,616192,SE,,Inuyasha,(Dub) Kikyo and the Dark Priestess,2000,False,[14413484],,,,"('No multiple ids for this link', 616192, 2324)",No multiple ids for this link,,,,,
Hulu,2324,608264,SE,,Inuyasha,(Dub) Kohaku's Lost Memory,2000,False,[14413482],,,,"('No multiple ids for this link', 608264, 2324)",No multiple ids for this link,,,,,
Hulu,2324,616191,SE,,Inuyasha,(Dub) The Beautiful Sister Apprentices,2000,False,[14413481],,,,"('No multiple ids for this link', 616191, 2324)",No multiple ids for this link,,,,,
Hulu,2324,621435,SE,,Inuyasha,"(Dub) The Sacred Jewel Maker, Part 1",2000,False,[8137036],,,,"('No multiple ids for this link', 621435, 2324)",No multiple ids for this link,,,,,
Hulu,2324,616190,SE,,Inuyasha,(Dub) The Panther Tribe and the Two Swords of the Fang,2000,False,[14413478],,,,"('No multiple ids for this link', 616190, 2324)",No multiple ids for this link,,,,,
Hulu,2324,616188,SE,,Inuyasha,(Dub) Vanishing Point: Naraku Disappears,2000,False,[14413476],,,,"('No multiple ids for this link', 616188, 2324)",No multiple ids for this link,,,,,
