source,sm_id,id,show_type,movie_title,series_title,episode_title,release_year,link_expired,Projectx_ids,Variant id present for episode,Variant parent id for Episode,Projectx_series_id,comment,Result,Gb_id duplicate,Duplicate ids in search,Credit_match,Rovi_id count for duplicate,Gb_id count for duplicate,Hulu_id count for duplicate,Mapped rovi_id for duplicate,Mapped Gb_id for duplicate,Mapped Hulu_id for duplicate,variant parent id present,variant_parent_id,link_fetched_from,Sources of link
Hulu,,1512611,MO,Beyond the Gates,,,2016,False,[1003195],,,,"('No multiple ids for this link', 1512611)",No multiple ids for this link
Hulu,,1508610,MO,Prime,,,2005,False,[75655],,,,"('No multiple ids for this link', 1508610)",No multiple ids for this link
Hulu,,1518257,MO,A Little Princess,,,1995,False,[81794],,,,"('No multiple ids for this link', 1518257)",No multiple ids for this link
Hulu,,1508609,MO,The Polar Express,,,2004,False,[95246],,,,"('No multiple ids for this link', 1508609)",No multiple ids for this link
Hulu,,1501045,MO,They Come Knocking,,,2019,False,[14403034],,,,"('No multiple ids for this link', 1501045)",No multiple ids for this link
Hulu,,1500749,MO,Out of Blue,,,2018,False,[14015879],,,,"('No multiple ids for this link', 1500749)",No multiple ids for this link
Hulu,,1507676,MO,Diane,,,2018,False,[1063104],,,,"('No multiple ids for this link', 1507676)",No multiple ids for this link
Hulu,,1505930,MO,Rules of Engagement,,,2000,False,[58328],,,,"('No multiple ids for this link', 1505930)",No multiple ids for this link
Hulu,,1508092,MO,88 Minutes,,,2007,False,[73711],,,,"('No multiple ids for this link', 1508092)",No multiple ids for this link
Hulu,,1513952,MO,Minority Report,,,2002,False,[62253],,,,"('No multiple ids for this link', 1513952)",No multiple ids for this link
Hulu,,1515213,MO,The Brink,,,2019,False,[13559723],,,,"('No multiple ids for this link', 1515213)",No multiple ids for this link
Hulu,,1505928,MO,The Sum of All Fears,,,2002,False,[81656],,,,"('No multiple ids for this link', 1505928)",No multiple ids for this link
Hulu,,1513954,MO,Into the Blue 2: The Reef,,,2009,False,[6839],,,,"('No multiple ids for this link', 1513954)",No multiple ids for this link
Hulu,,1512163,MO,Terror in the Woods,,,2018,False,[496828],,,,"('No multiple ids for this link', 1512163)",No multiple ids for this link
Hulu,,1512006,MO,Stalked By My Patient,,,2018,False,[1085713],,,,"('No multiple ids for this link', 1512006)",No multiple ids for this link
Hulu,,1514701,MO,Time Freak,,,2018,False,[1081000],,,,"('No multiple ids for this link', 1514701)",No multiple ids for this link
Hulu,,1518553,MO,Gone Baby Gone,,,2007,False,[117407],,,,"('No multiple ids for this link', 1518553)",No multiple ids for this link
Hulu,,1519541,MO,Cursed,,,2005,False,[66047],,,,"('No multiple ids for this link', 1519541)",No multiple ids for this link
Hulu,,1514702,MO,The Last Man,,,2018,False,[1084103],,,,"('No multiple ids for this link', 1514702)",No multiple ids for this link
Hulu,,1484441,MO,Swimming With Men,,,2018,False,[1081912],,,,"('No multiple ids for this link', 1484441)",No multiple ids for this link
Hulu,,1486636,MO,Mission: Impossible III,,,2006,False,[73246],,,,"('No multiple ids for this link', 1486636)",No multiple ids for this link
Hulu,,1483746,MO,DriverX,,,2017,False,[1081783],,,,"('No multiple ids for this link', 1483746)",No multiple ids for this link
Hulu,,1487174,MO,Good Luck Chuck,,,2007,False,[76707],,,,"('No multiple ids for this link', 1487174)",No multiple ids for this link
Hulu,,1508316,MO,My Best Friend's Girl,,,2008,False,[82973],,,,"('No multiple ids for this link', 1508316)",No multiple ids for this link
Hulu,,1492619,MO,The Crazies (2010),,,2010,False,[91820],,,,"('No multiple ids for this link', 1492619)",No multiple ids for this link
Hulu,,1508317,MO,Cooties,,,2014,False,[149366],,,,"('No multiple ids for this link', 1508317)",No multiple ids for this link
Hulu,,1481091,MO,Billboard Dad,,,1998,False,[2923],,,,"('No multiple ids for this link', 1481091)",No multiple ids for this link
Hulu,,1496608,MO,Dragonheart: A New Beginning,,,2000,False,[3351],,,,"('No multiple ids for this link', 1496608)",No multiple ids for this link
Hulu,,1499948,MO,The Good Shepherd,,,2006,False,[72609],,,,"('No multiple ids for this link', 1499948)",No multiple ids for this link
Hulu,,1496606,MO,Kindergarten Cop,,,1990,False,[989597],,,,"('No multiple ids for this link', 1496606)",No multiple ids for this link
Hulu,,1492615,MO,Dragonheart,,,1996,False,[60894],,,,"('No multiple ids for this link', 1492615)",No multiple ids for this link
Hulu,,1492613,MO,Dante's Peak,,,1997,False,[56230],,,,"('No multiple ids for this link', 1492613)",No multiple ids for this link
Hulu,,1496603,MO,Vox Lux,,,2018,False,[1074734],,,,"('No multiple ids for this link', 1496603)",No multiple ids for this link
Hulu,,1477689,MO,All That We Destroy,,,2019,False,[13759884],,,,"('No multiple ids for this link', 1477689)",No multiple ids for this link
Hulu,,1493288,MO,The Oath en Espanol,,,2018,False,[14565781],,,,"('No multiple ids for this link', 1493288)",No multiple ids for this link
Hulu,,1493283,MO,Vice,,,2018,False,[173367],,,,"('No multiple ids for this link', 1493283)",No multiple ids for this link
Hulu,,1492612,MO,Straw Dogs,,,2011,False,[97442],,,,"('No multiple ids for this link', 1492612)",No multiple ids for this link
Hulu,,1496602,MO,District 9,,,2009,False,[86450],,,,"('No multiple ids for this link', 1496602)",No multiple ids for this link
Hulu,,1479390,MO,The Clovehitch Killer,,,2018,False,[1081456],,,,"('No multiple ids for this link', 1479390)",No multiple ids for this link
Hulu,,1476675,MO,Welcome to Mercy,,,2018,False,[14392945],,,,"('No multiple ids for this link', 1476675)",No multiple ids for this link
Hulu,,1482695,MO,Astral,,,2018,False,[356752],,,,"('No multiple ids for this link', 1482695)",No multiple ids for this link
Hulu,,1522028,MO,Somm: Into The Bottle,,,2015,False,[305769],,,,"('No multiple ids for this link', 1522028)",No multiple ids for this link
Hulu,,1522024,MO,Somm 3,,,2018,False,[14764909],,,,"('No multiple ids for this link', 1522024)",No multiple ids for this link
Hulu,,1522020,MO,Somm,,,2013,False,[802812],,,,"('No multiple ids for this link', 1522020)",No multiple ids for this link
Hulu,,1492617,MO,Semi-Pro,,,2008,False,[76026],,,,"('No multiple ids for this link', 1492617)",No multiple ids for this link
Hulu,,1476552,MO,Queen Collective: Ballet After Dark,,,2019,False,[13723445],,,,"('No multiple ids for this link', 1476552)",No multiple ids for this link
Hulu,,1476553,MO,Queen Collective: If There Is Light,,,2019,False,[13723443],,,,"('No multiple ids for this link', 1476553)",No multiple ids for this link
Hulu,,1485523,MO,The Lonely Man,,,1957,False,[585410],,,,"('No multiple ids for this link', 1485523)",No multiple ids for this link
Hulu,,1479878,MO,True Grit (2010),,,2010,False,[14618600],,,,"('No multiple ids for this link', 1479878)",No multiple ids for this link
Hulu,,1476662,MO,Fair Game,,,2010,False,[1460421],,,,"('No multiple ids for this link', 1476662)",No multiple ids for this link
Hulu,,1469861,MO,Waiting...,,,2005,False,[634155],,,,"('No multiple ids for this link', 1469861)",No multiple ids for this link
Hulu,,1476579,MO,The Ghost Writer,,,2010,False,[88587],,,,"('No multiple ids for this link', 1476579)",No multiple ids for this link
Hulu,,1479872,MO,No Strings Attached,,,2011,False,[91138],,,,"('No multiple ids for this link', 1479872)",No multiple ids for this link
Hulu,,1483744,MO,Backtrace,,,2018,False,[1080605],,,,"('No multiple ids for this link', 1483744)",No multiple ids for this link
Hulu,,1483745,MO,Tracers,,,2015,False,[139949],,,,"('No multiple ids for this link', 1483745)",No multiple ids for this link
Hulu,,1515212,MO,Woman at War,,,2019,False,[12787398],,,,"('No multiple ids for this link', 1515212)",No multiple ids for this link
Hulu,,1479874,MO,The Spy Who Dumped Me,,,2018,False,[169043],,,,"('No multiple ids for this link', 1479874)",No multiple ids for this link
Hulu,,1479875,MO,"Juliet, Naked",,,2018,False,[171062],,,,"('No multiple ids for this link', 1479875)",No multiple ids for this link
Hulu,,1479876,MO,Jackass 3,,,2010,False,[89177],,,,"('No multiple ids for this link', 1479876)",No multiple ids for this link
Hulu,,1485522,MO,I Still See You,,,2018,False,[1074538],,,,"('No multiple ids for this link', 1485522)",No multiple ids for this link
Hulu,,1476578,MO,Along Came a Spider,,,2001,False,[66716],,,,"('No multiple ids for this link', 1476578)",No multiple ids for this link
Hulu,,1465776,MO,The Oath,,,2018,False,[1079932],,,,"('No multiple ids for this link', 1465776)",No multiple ids for this link
Hulu,,1476656,MO,Spirit: Stallion of the Cimarron,,,2002,False,[61733],,,,"('No multiple ids for this link', 1476656)",No multiple ids for this link
Hulu,,1476736,MO,12 Monkeys,,,1996,False,[12258378],,,,"('No multiple ids for this link', 1476736)",No multiple ids for this link
Hulu,,1512634,MO,Drop Dead Gorgeous,,,1999,False,[65968],,,,"('No multiple ids for this link', 1512634)",No multiple ids for this link
Hulu,,1465042,MO,Destroyer,,,2018,False,[867301],,,,"('No multiple ids for this link', 1465042)",No multiple ids for this link
Hulu,,1499947,MO,Highlander: Endgame,,,2000,False,[55556],,,,"('No multiple ids for this link', 1499947)",No multiple ids for this link
Hulu,,1476658,MO,Laddie: The Man Behind The Movies,,,2019,False,[12964876],,,,"('No multiple ids for this link', 1476658)",No multiple ids for this link
Hulu,,1476657,MO,Passport To Paris,,,1999,False,[2978],,,,"('No multiple ids for this link', 1476657)",No multiple ids for this link
Hulu,,1476652,MO,Switching Goals,,,1999,False,[34920],,,,"('No multiple ids for this link', 1476652)",No multiple ids for this link
Hulu,,1499949,MO,A Walk on the Moon,,,1999,False,[59478],,,,"('No multiple ids for this link', 1499949)",No multiple ids for this link
Hulu,,1499950,MO,Marvin's Room,,,1996,False,[56308],,,,"('No multiple ids for this link', 1499950)",No multiple ids for this link
Hulu,,1492609,MO,Reindeer Games,,,2000,False,[82206],,,,"('No multiple ids for this link', 1492609)",No multiple ids for this link
Hulu,,1492611,MO,Kinky Boots,,,2005,False,[72565],,,,"('No multiple ids for this link', 1492611)",No multiple ids for this link
