GB_id,Movie_name,GB_ReleaseYear,Rovi_id
140286,Daylight's End,2016,975337
56272,The People vs. Larry Flynt,1996,50546
73216,Jaws,1975,53329
32587,Jaws 2,1978,63914
52902,Jaws 3,1983,78839
63582,Jaws: The Revenge,1987,50016
58493,Meet Wally Sparks,1997,54120
1626,Lost in Translation,2003,74456
40636,The Great Adventure,1975,568311
7,Being John Malkovich,1999,60941
11,The Last Temptation of Christ,1988,60657
12,Our Town,1940,159005
13,Stigmata,1999,60366
14,My Life So Far,1999,63852
15,Blue Collar,1978,81238
30910,Up in the Air,2009,84614
16,The Fox and the Hound,1981,68093
17,Universal Soldier: The Return,1999,55404
18,Ghost Dad,1990,59997
19,Outside Providence,1999,63385
20,That's the Way I Like It,1998,602071
21,Heidi Fleiss: Hollywood Madam,1995,13571438
23,Project A,1983,75483
24,Music of the Heart,1999,63029
25,The Muse,1999,54805
26,Richard Pryor: Live on the Sunset Strip,1982,567017
27,Waking the Dead,2000,12259476
29,Joe the King,1999,57162
30,Runaway Bride,1999,61260
31,Bringing Out the Dead,1999,67736
32,Eaten Alive,1976,72141
34,K-911,1999,3636
35,For Love of the Game,1999,59143
37,Jackson Browne: Going Home,1994,1107055
39,Grey Owl,1999,4050
40,The Prophecy 3: The Ascent,2000,7450
41,The Big Brass Ring,1999,23152
47,The World Is Not Enough,1999,59511
48,Next Stop Wonderland,1998,60926
49,Superstar,1999,96399
50,Happy Texas,1999,62724
51,Stuart Little,1999,54842
52,Butch Cassidy and the Sundance Kid,1969,98729
53,Dracula,1931,66463
54,The Who: Who's Next,1999,1474428
70,Tale of the Mummy,1998,6141
77,Lips of Blood,1975,615106
78,Cruel Intentions,1999,53172
91,The Very Thought of You,1998,57943
92,Chandni,1989,837965
94,Big Daddy,1999,54668
97,Ready to Wear,1994,58611
111,Goldfinger,1964,63760
131,The Andromeda Strain,1971,73433
148,48 Hrs.,1982,62494
150,The Asphyx,1972,52393
151,Bustin' Loose,1981,148854
153,Career Opportunities,1991,55643
154,The Beguiled,1971,55354
155,Angel and the Badman,1947,62824
156,The Baby,1973,574616
186,The Terror,1963,58026
187,Time Bandits,1981,52056
188,I'll Be Home for Christmas,1998,62165
193,Very Bad Things,1998,53385
195,Playing by Heart,1998,71030
197,Ronin,1998,93148
211,Shakespeare in Love,1998,12266150
215,Hi Life,1998,60348
222,Scarred City,1999,56343
223,Beneath the 12-Mile Reef,1953,54358
225,The Human Tornado,1976,140795
226,Little Voice,1998,63051
230,Private Parts,1997,71894
233,Hoodlum,1997,51325
234,Thunderball,1965,66189
235,The Devil's Own,1997,12266533
236,Gridlock'd,1997,50055
237,Tommy Boy,1995,79560
238,Things to Do in Denver When You're Dead,1995,59457
239,Anaconda,1997,120174
242,The Toxic Avenger: Part 2,1989,571985
244,Mimic,1997,79784
245,Witness,1985,55657
246,WarGames,1983,54037
247,Liar Liar,1997,71316
248,The Thief of Bagdad,1924,567184
249,The Thing,1982,60896
250,The Wings of the Dove,1997,80786
252,Tromeo & Juliet,1996,572505
253,Face/Off,1997,51172
254,Leave it to Beaver,1997,57167
255,The Game,1997,50800
258,Wide Awake,1998,62649
259,Top Gun,1986,67620
260,True Grit,1969,78791
276,The War,1994,58902
277,They Might Be Giants,1971,74971
278,Bordello of Blood,1996,57798
279,Red Scorpion,1988,64475
280,Scream,1996,53014
281,The Quest,1996,55302
282,Sgt. Kabukiman N.Y.P.D.,1991,568727
283,The Spy Who Loved Me,1977,66307
284,Sudden Death,1995,54787
285,Sister My Sister,1994,567213
286,The Piano,1993,91036
287,Tales from the Hood,1995,566903
288,Tank,1984,90687
290,Species,1995,67359
292,The Substitute,1996,60774
305,Steamboat Bill Jr.,1928,128728
317,Reality Bites,1994,60038
318,The Secret of NIMH,1982,72187
324,The Phantom of the Opera,1925,625794
329,The Pallbearer,1996,59982
341,The Object of Beauty,1991,53396
343,The Nutty Professor,1996,72070
345,Like Water for Chocolate,1992,52017
347,The Mikado,1939,582781
348,Midnight Cowboy,1969,72135
350,Lionheart,1990,12258608
359,The Pebble and the Penguin,1995,55975
364,No Way Out,1987,59502
374,Dark Planet,1997,22059
375,High Voltage,1997,52581
376,The Mighty,1998,53153
379,I Love You I Love You Not,1996,57791
381,Species II,1998,63231
