rovi_sm_id,rovi_id,rovi_show_type
570431,575938,SE
570431,575939,SE
570431,575940,SE
570431,575941,SE
570431,575942,SE
570431,575943,SE
570431,575944,SE
570431,575945,SE
570431,575946,SE
570431,575947,SE
570431,575948,SE
570431,575949,SE
570431,575950,SE
570431,575951,SE
1369033,575952,SE
1369033,575953,SE
1369033,575954,SE
1369033,575955,SE
1369033,575956,SE
1369033,575957,SE
1369033,575958,SE
1369033,575959,SE
1369033,575960,SE
1369033,575961,SE
1369033,575962,SE
1369033,575963,SE
575964,575964,SM
575964,575965,SE
575964,575966,SE
572315,575967,SE
572315,575968,SE
572315,575969,SE
572315,575970,SE
572315,575971,SE
572315,575972,SE
846161,575973,SE
846161,575974,SE
38178,575976,SE
575977,575977,SM
575977,575978,SE
575977,575979,SE
575977,575980,SE
575977,575981,SE
575977,575982,SE
575977,575983,SE
575977,575984,SE
575977,575985,SE
893612,575986,SE
893612,575987,SE
893612,575988,SE
893612,575989,SE
893612,575990,SE
893612,575991,SE
893612,575992,SE
893612,575993,SE
909143,575994,SE
909143,575995,SE
572587,575997,SE
970263,575999,SE
970263,576000,SE
970263,576001,SE
970263,576002,SE
970263,576003,SE
970263,576004,SE
970263,576005,SE
970263,576006,SE
970263,576007,SE
970263,576008,SE
970263,576009,SE
970263,576010,SE
970263,576011,SE
572602,576012,SE
572602,576013,SE
572602,576014,SE
572602,576015,SE
572602,576016,SE
572602,576018,SE
572367,576019,SE
572367,576020,SE
572367,576021,SE
874433,576022,SE
576023,576023,SM
576023,576024,SE
905418,576025,SE
905418,576026,SE
905418,576027,SE
932326,576028,SE
932326,576029,SE
932326,576030,SE
932326,576031,SE
932326,576032,SE
932326,576033,SE
932326,576034,SE
932326,576035,SE
932326,576036,SE
932326,576037,SE
932326,576038,SE
932326,576039,SE
932326,576040,SE
932326,576041,SE
932326,576042,SE
932326,576043,SE
932326,576044,SE
932326,576045,SE
932326,576046,SE
932326,576047,SE
932326,576048,SE
932326,576049,SE
932326,576050,SE
932326,576051,SE
932326,576052,SE
932326,576053,SE
932326,576054,SE
932326,576055,SE
932326,576056,SE
932326,576057,SE
932326,576058,SE
932326,576059,SE
932326,576060,SE
577015,576061,SE
577015,576062,SE
577015,576063,SE
577015,576064,SE
577015,576065,SE
577015,576066,SE
577015,576067,SE
577015,576068,SE
577015,576069,SE
577015,576070,SE
577015,576071,SE
577015,576072,SE
577015,576073,SE
577015,576074,SE
577015,576075,SE
577015,576076,SE
577015,576077,SE
577015,576078,SE
577015,576079,SE
577015,576080,SE
577015,576081,SE
577015,576082,SE
577015,576083,SE
577015,576084,SE
577015,576085,SE
577015,576086,SE
577015,576087,SE
577015,576088,SE
577015,576089,SE
577015,576090,SE
577015,576091,SE
577015,576092,SE
577015,576093,SE
577015,576094,SE
577015,576095,SE
577015,576096,SE
577015,576097,SE
577015,576098,SE
577015,576099,SE
577015,576100,SE
577015,576101,SE
577015,576102,SE
577015,576103,SE
577015,576104,SE
577015,576105,SE
577015,576106,SE
577015,576107,SE
577015,576108,SE
577015,576109,SE
577015,576110,SE
577015,576111,SE
577015,576112,SE
577015,576113,SE
577015,576114,SE
577015,576115,SE
577015,576116,SE
577015,576117,SE
577015,576118,SE
577015,576119,SE
575567,576120,SE
450690,576121,SE
450690,576122,SE
450690,576123,SE
450690,576124,SE
450690,576125,SE
450690,576126,SE
450690,576127,SE
450690,576128,SE
450690,576129,SE
450690,576130,SE
450690,576131,SE
450690,576132,SE
450690,576133,SE
450690,576134,SE
450690,576135,SE
450690,576136,SE
450690,576137,SE
450690,576138,SE
450690,576139,SE
576140,576140,SM
575591,576143,SE
575591,576144,SE
575594,576145,SE
575594,576146,SE
575594,576147,SE
575594,576148,SE
575594,576149,SE
575594,576150,SE
575594,576151,SE
575594,576152,SE
575594,576153,SE
575594,576154,SE
575594,576155,SE
575594,576156,SE
575594,576157,SE
575594,576158,SE
575594,576159,SE
575594,576160,SE
909604,576161,SE
909604,576162,SE
909604,576164,SE
474581,576166,SE
474581,576167,SE
474581,576169,SE
678141,576170,SE
678141,576172,SE
678141,576174,SE
576175,576175,SM
576175,576177,SE
576180,576180,SM
41044,576183,SE
41044,576184,SE
578960,576185,SE
578960,576186,SE
578960,576187,SE
576326,576189,SE
41106,576191,SE
41106,576192,SE
41106,576193,SE
576194,576194,SM
576194,576196,SE
576194,576197,SE
576194,576199,SE
576339,576200,SE
576339,576201,SE
576339,576202,SE
576339,576204,SE
576205,576205,SM
219636,576207,SE
289655,576208,SE
289655,576209,SE
289655,576210,SE
575594,576211,SE
909604,576214,SE
909604,576215,SE
474581,576216,SE
474581,576219,SE
678141,576220,SE
678141,576221,SE
678141,576222,SE
678141,576223,SE
678141,576224,SE
576175,576225,SE
576175,576226,SE
41044,576227,SE
41044,576229,SE
41044,576230,SE
578960,576231,SE
578960,576232,SE
578960,576234,SE
578960,576235,SE
578960,576236,SE
578960,576237,SE
41106,576239,SE
41106,576240,SE
41106,576241,SE
41106,576242,SE
576194,576243,SE
576194,576244,SE
576194,576245,SE
576339,576246,SE
576339,576247,SE
576339,576248,SE
576339,576249,SE
576339,576250,SE
576339,576251,SE
576339,576252,SE
576339,576253,SE
289655,576254,SE
289655,576255,SE
289655,576256,SE
289655,576257,SE
289655,576258,SE
289655,576259,SE
289655,576260,SE
289655,576261,SE
289655,576262,SE
289655,576263,SE
289655,576264,SE
289655,576265,SE
289655,576266,SE
289655,576267,SE
289655,576268,SE
289655,576269,SE
289655,576270,SE
289655,576271,SE
289655,576272,SE
579006,576273,SE
579006,576274,SE
579006,576275,SE
579006,576276,SE
579006,576277,SE
579006,576278,SE
579006,576279,SE
576445,576280,SE
576445,576281,SE
576445,576282,SE
577381,576285,SE
577381,576286,SE
448934,576287,SE
576288,576288,SM
575594,576289,SE
575594,576290,SE
575594,576291,SE
575594,576292,SE
575594,576293,SE
575594,576294,SE
575594,576295,SE
575594,576296,SE
575594,576297,SE
575594,576298,SE
575594,576299,SE
575594,576300,SE
575594,576301,SE
575594,576302,SE
575594,576303,SE
909604,576304,SE
909604,576305,SE
576306,576306,SM
474581,576308,SE
474581,576309,SE
474581,576310,SE
678141,576312,SE
678141,576315,SE
678141,576316,SE
576175,576317,SE
576180,576320,SE
41044,576322,SE
578960,576323,SE
578960,576324,SE
578960,576325,SE
576326,576326,SM
576326,576327,SE
576326,576328,SE
576329,576329,SM
41106,576331,SE
41106,576332,SE
41106,576333,SE
41106,576334,SE
