rovi_sm_id,rovi_id,rovi_show_type
,176811,MO
,176813,MO
,176815,MO
,176816,MO
,176820,MO
,176824,MO
,176825,MO
,176826,MO
,176832,MO
,176839,MO
,176840,MO
129566,176841,SE
,176845,MO
,176846,MO
,176848,MO
,176851,MO
,176852,MO
,176859,MO
,176860,MO
,176863,MO
,176865,MO
,176866,MO
,176867,MO
,176872,MO
,176874,MO
,176878,MO
,176880,MO
,176882,MO
,176885,MO
,176887,MO
,176889,MO
,176890,MO
,176891,MO
,176892,MO
,176893,MO
,176894,MO
,176895,MO
,176898,MO
,176899,MO
,176900,MO
129566,176901,SE
,176903,MO
,176904,MO
,176905,MO
,176906,MO
,176907,MO
268889,176909,SE
268889,176910,SE
268889,176911,SE
268889,176912,SE
268889,176913,SE
268889,176914,SE
268889,176915,SE
268889,176916,SE
518229,176919,SE
518229,176920,SE
1141624,176931,SE
,176932,MO
,176940,MO
,176943,MO
968411,176951,SE
129557,176958,SE
,176966,MO
,176969,MO
,176972,MO
,176993,MO
,176997,MO
,176999,MO
,177000,MO
,177012,MO
,177013,MO
,177014,MO
,177017,MO
,177021,MO
,177023,MO
,177024,MO
,177026,MO
,177033,MO
,177045,MO
,177046,MO
,177051,MO
,177056,MO
,177060,MO
,177064,MO
,177065,MO
,177066,MO
,177067,MO
,177070,MO
,177072,MO
,177079,MO
,177082,MO
,177088,MO
,177091,MO
,177092,MO
,177093,MO
,177095,MO
,177097,MO
,177098,MO
,177099,MO
,177100,MO
,177102,MO
,177103,MO
,177104,MO
,177106,MO
,177107,MO
,177108,MO
,177112,MO
,177116,MO
,177120,MO
,177123,MO
,177124,MO
,177125,MO
,177127,MO
,177130,MO
,177133,MO
,177135,MO
,177136,MO
,177139,MO
,177140,MO
,177143,MO
,177146,MO
,177147,MO
,177150,MO
,177151,MO
,177152,MO
,177154,MO
,177156,MO
,177161,MO
,177163,MO
,177164,MO
,177170,MO
,177173,MO
,177175,MO
,177176,MO
,177177,MO
,177180,MO
,177182,MO
,177183,MO
,177184,MO
,177185,MO
,177187,MO
,177191,MO
,177192,MO
,177193,MO
,177195,MO
,177196,MO
,177197,MO
,177199,MO
,177202,MO
,177203,MO
,177205,MO
,177207,MO
,177209,MO
,177212,MO
,177214,MO
,177217,MO
,177219,MO
,177222,MO
,177223,MO
,177224,MO
,177226,MO
,177227,MO
,177228,MO
,177232,MO
,177233,MO
,177234,MO
,177235,MO
,177237,MO
,177239,MO
,177240,MO
,177241,MO
,177248,MO
,177249,MO
,177250,MO
,177251,MO
,177252,MO
,177253,MO
,177256,MO
,177257,MO
,177260,MO
,177261,MO
,177264,MO
,177270,MO
,177271,MO
,177278,MO
,177287,MO
,177289,MO
,177290,MO
,177291,MO
,177292,MO
,177293,MO
,177294,MO
,177296,MO
,177297,MO
,177298,MO
,177299,MO
,177300,MO
,177302,MO
,177307,MO
,177308,MO
,177310,MO
,177312,MO
,177317,MO
,177320,MO
,177327,MO
,177329,MO
,177331,MO
,177332,MO
,177334,MO
,177340,MO
,177341,MO
,177344,MO
,177348,MO
,177350,MO
,177351,MO
,177352,MO
,177353,MO
,177356,MO
,177357,MO
,177358,MO
,177362,MO
,177364,MO
,177365,MO
,177368,MO
,177369,MO
,177370,MO
,177371,MO
,177373,MO
,177376,MO
,177377,MO
,177379,MO
,177382,MO
,177388,MO
,177391,MO
,177392,MO
,177393,MO
,177395,MO
,177397,MO
,177400,MO
,177401,MO
,177402,MO
,177404,MO
,177406,MO
,177408,MO
,177409,MO
,177413,MO
,177414,MO
,177415,MO
,177419,MO
,177421,MO
,177425,MO
,177426,MO
,177429,MO
,177431,MO
,177432,MO
,177433,MO
,177434,MO
,177437,MO
,177438,MO
,177440,MO
,177442,MO
,177444,MO
,177446,MO
,177448,MO
,177451,MO
,177452,MO
,177453,MO
,177454,MO
,177455,MO
,177456,MO
,177457,MO
,177463,MO
,177466,MO
,177467,MO
,177471,MO
,177472,MO
,177474,MO
,177475,MO
,177476,MO
,177477,MO
,177481,MO
,177482,MO
,177484,MO
,177488,MO
,177492,MO
,177493,MO
,177500,MO
,177502,MO
,177503,MO
,177504,MO
,177509,MO
,177511,MO
,177513,MO
,177514,MO
,177516,MO
,177517,MO
,177518,MO
,177519,MO
,177520,MO
,177522,MO
,177523,MO
,177524,MO
,177527,MO
,177530,MO
,177531,MO
,177533,MO
,177534,MO
,177535,MO
,177539,MO
,177540,MO
,177542,MO
,177547,MO
,177548,MO
,177552,MO
,177554,MO
,177556,MO
,177557,MO
,177559,MO
,177566,MO
,177570,MO
,177574,MO
,177576,MO
,177578,MO
,177580,MO
,177583,MO
,177586,MO
,177590,MO
,177591,MO
,177592,MO
,177593,MO
,177597,MO
,177599,MO
,177601,MO
,177602,MO
,177603,MO
,177605,MO
,177608,MO
,177611,MO
,177613,MO
,177615,MO
,177617,MO
,177621,MO
,177622,MO
,177624,MO
,177627,MO
,177628,MO
,177631,MO
,177633,MO
,177636,MO
,177637,MO
,177640,MO
,177642,MO
,177645,MO
,177646,MO
,177648,MO
,177649,MO
,177651,MO
129557,177653,SE
,177655,MO
,177656,MO
,177657,MO
,177659,MO
,177662,MO
,177669,MO
,177672,MO
,177674,MO
,177676,MO
,177680,MO
,177681,MO
,177686,MO
,177689,MO
,177690,MO
,177691,MO
177697,177697,SM
,177700,MO
,177701,MO
,177703,MO
,177704,MO
,177705,MO
,177706,MO
,177709,MO
,177710,MO
,177714,MO
,177715,MO
,177716,MO
,177719,MO
,177722,MO
,177727,MO
177728,177728,SM
,177730,MO
,177732,MO
