rovi_sm_id,rovi_id,rovi_show_type
1251792,1251792,SM
1246027,1251793,SE
478197,1251794,SE
1251795,1251795,SM
450134,1251796,SE
1251801,1251801,SM
1251803,1251803,SM
1246047,1251805,SE
1251807,1251807,SM
1251809,1251809,SM
1251810,1251810,SM
1251811,1251811,SM
1246051,1251813,SE
1246052,1251814,SE
,1251818,MO
1112528,1251820,SE
,1251822,MO
1251824,1251824,SM
1251824,1251827,SE
735720,1251828,SE
1226717,1251833,SE
1219404,1251834,SE
1251836,1251836,SM
,1251840,MO
1251841,1251841,SM
1138539,1251844,SE
1251847,1251847,SM
1251848,1251848,SM
1251849,1251849,SM
1251851,1251851,SM
1251855,1251855,SM
,1251859,MO
1251860,1251860,SM
,1251864,MO
1197662,1251867,SE
1251871,1251871,SM
,1251872,MO
1251873,1251873,SM
783179,1251882,SE
1246061,1251884,SE
448439,1251885,SE
,1251886,MO
,1251887,MO
423411,1251888,SE
1251889,1251889,SM
1251889,1251891,SE
425437,1251894,SE
,1251895,MO
228252,1251896,SE
472887,1251898,SE
,1251899,MO
1246008,1251900,SE
434257,1251901,SE
129237,1251903,SE
129237,1251904,SE
434257,1251905,SE
129237,1251906,SE
1246027,1251907,SE
129237,1251908,SE
129237,1251909,SE
129237,1251911,SE
426370,1251912,SE
1246042,1251914,SE
424456,1251915,SE
1246047,1251916,SE
424456,1251920,SE
1246051,1251921,SE
1197905,1251922,SE
1246052,1251923,SE
1202423,1251925,SE
424456,1251927,SE
368645,1251928,SE
1246061,1251929,SE
1251931,1251931,SM
424456,1251932,SE
368645,1251933,SE
368645,1251934,SE
368645,1251935,SE
368645,1251936,SE
1202383,1251937,SE
368645,1251940,SE
,1251941,MO
844607,1251942,SE
838017,1251943,SE
844607,1251944,SE
423655,1251945,SE
423655,1251946,SE
423655,1251947,SE
423655,1251948,SE
233866,1251950,SE
233866,1251951,SE
1251952,1251952,SM
673115,1251953,SE
,1251954,MO
673115,1251956,SE
1202388,1251957,SE
233866,1251959,SE
807642,1251960,SE
233866,1251962,SE
233866,1251963,SE
233866,1251964,SE
1251399,1251965,SE
1246002,1251966,SE
1251967,1251967,SM
233866,1251968,SE
233866,1251969,SE
233866,1251971,SE
1246008,1251972,SE
,1251973,MO
233866,1251974,SE
468200,1251976,SE
1246027,1251978,SE
233866,1251979,SE
1251980,1251980,SM
423499,1251982,SE
,1251983,MO
233866,1251984,SE
233866,1251986,SE
233866,1251988,SE
1214913,1251990,SE
423499,1251992,SE
233866,1251994,SE
233866,1251995,SE
233866,1251996,SE
1246042,1251997,SE
233866,1251998,SE
,1251999,MO
,1252001,MO
1202437,1252004,SE
1246047,1252005,SE
233866,1252006,SE
1252007,1252007,SM
,1252008,MO
1227203,1252011,SE
233866,1252012,SE
,1252013,MO
233866,1252014,SE
1228945,1252016,SE
,1252017,MO
233866,1252018,SE
1202383,1252020,SE
,1252021,MO
433736,1252022,SE
,1252024,MO
423451,1252025,SE
1246051,1252026,SE
,1252028,MO
288155,1252029,SE
1246052,1252030,SE
,1252032,MO
,1252035,MO
,1252036,MO
1251384,1252037,SE
,1252038,MO
,1252040,MO
1201850,1252042,SE
1252043,1252043,SM
1249368,1252044,SE
735720,1252046,SE
1246061,1252047,SE
824452,1252049,SE
824452,1252050,SE
824452,1252051,SE
824452,1252053,SE
824452,1252055,SE
490559,1252056,SE
288155,1252057,SE
,1252058,MO
429177,1252059,SE
1252061,1252061,SM
1252062,1252062,SM
,1252063,MO
,1252064,MO
,1252070,MO
,1252071,MO
,1252072,MO
1156758,1252073,SE
,1252074,MO
,1252076,MO
,1252077,MO
,1252079,MO
,1252080,MO
1252081,1252081,SM
,1252082,MO
,1252083,MO
1252084,1252084,SM
,1252086,MO
,1252087,MO
,1252091,MO
,1252093,MO
308323,1252094,SE
308323,1252095,SE
1249368,1252096,SE
,1252098,MO
308323,1252099,SE
1246008,1252101,SE
129445,1252103,SE
129445,1252104,SE
129445,1252107,SE
129445,1252108,SE
1246027,1252110,SE
,1252112,MO
1243132,1252113,SE
1252114,1252114,SM
1246042,1252116,SE
1230886,1252120,SE
,1252123,MO
1246051,1252124,SE
1246052,1252125,SE
1202383,1252126,SE
,1252127,MO
,1252129,MO
1188234,1252132,SE
735720,1252133,SE
1246061,1252134,SE
,1252135,MO
,1252136,MO
474428,1252142,SE
239220,1252145,SE
1145930,1252147,SE
1202388,1252148,SE
1239183,1252149,SE
,1252150,MO
1151278,1252151,SE
,1252152,MO
477439,1252153,SE
,1252155,MO
,1252157,MO
,1252159,MO
468200,1252161,SE
,1252166,MO
1202383,1252167,SE
,1252168,MO
,1252170,MO
1150368,1252171,SE
1150366,1252173,SE
1224905,1252174,SE
1252175,1252175,SM
1224905,1252177,SE
1246027,1252180,SE
,1252181,MO
1252183,1252183,SM
857025,1252184,SE
1150364,1252185,SE
1150379,1252186,SE
,1252190,MO
1252196,1252196,SM
1246047,1252197,SE
1246047,1252199,SE
1246042,1252200,SE
,1252201,MO
,1252202,MO
,1252203,MO
,1252204,MO
,1252206,MO
,1252207,MO
1246051,1252208,SE
1246052,1252209,SE
,1252210,MO
1252211,1252211,SM
1246008,1252212,SE
,1252213,MO
735720,1252215,SE
1246061,1252216,SE
,1252218,MO
,1252224,MO
,1252226,MO
857025,1252228,SE
1246008,1252229,SE
1246027,1252231,SE
,1252232,MO
1243132,1252235,SE
838017,1252236,SE
1246042,1252237,SE
838017,1252239,SE
,1252240,MO
838017,1252241,SE
838017,1252243,SE
1243132,1252244,SE
448635,1252246,SE
592791,1252247,SE
592791,1252249,SE
1252251,1252251,SM
,1252252,MO
1249368,1252253,SE
1246051,1252256,SE
1246052,1252257,SE
461729,1252258,SE
735720,1252259,SE
1246061,1252260,SE
,1252261,MO
1252264,1252264,SM
1252265,1252265,SM
,1252266,MO
1252267,1252267,SM
1243132,1252268,SE
,1252269,MO
1252270,1252270,SM
1252271,1252271,SM
,1252272,MO
1243132,1252273,SE
,1252274,MO
1222378,1252275,SE
1252276,1252276,SM
1252276,1252279,SE
1252276,1252280,SE
1252276,1252281,SE
1252276,1252282,SE
,1252283,MO
,1252285,MO
,1252286,MO
,1252287,MO
,1252288,MO
,1252289,MO
1252291,1252291,SM
1252292,1252292,SM
,1252294,MO
1252298,1252298,SM
18142424,1252301,SE
1252302,1252302,SM
445438,1252303,SE
,1252304,MO
1249368,1252305,SE
445438,1252306,SE
445438,1252307,SE
445438,1252308,SE
445438,1252309,SE
,1252310,MO
445438,1252311,SE
,1252312,MO
445438,1252314,SE
,1252323,MO
,1252324,MO
,1252325,MO
1252327,1252327,SM
1252327,1252328,SE
1252327,1252330,SE
,1252332,MO
1252334,1252334,SM
,1252335,MO
471068,1252337,SE
,1252338,MO
,1252339,MO
,1252341,MO
,1252343,MO
,1252344,MO
,1252346,MO
,1252348,MO
1122508,1252349,SE
,1252356,MO
1186126,1252357,SE
839285,1252359,SE
1225132,1252360,SE
807434,1252361,SE
807434,1252362,SE
445982,1252365,SE
1221523,1252366,SE
1126081,1252367,SE
1126081,1252368,SE
1126081,1252369,SE
1126081,1252371,SE
448438,1252372,SE
1252373,1252373,SM
1126081,1252374,SE
971058,1252376,SE
814129,1252377,SE
1252379,1252379,SM
1252380,1252380,SM
424517,1252383,SE
1126081,1252384,SE
1252385,1252385,SM
424517,1252386,SE
1126081,1252387,SE
1126081,1252388,SE
1252389,1252389,SM
1126081,1252390,SE
1126081,1252391,SE
1126081,1252393,SE
,1252394,MO
1126081,1252395,SE
1126081,1252397,SE
,1252399,MO
1252400,1252400,SM
1222378,1252401,SE
1126081,1252402,SE
1126081,1252403,SE
1126081,1252404,SE
1126081,1252405,SE
1126081,1252407,SE
966158,1252409,SE
1126081,1252410,SE
1252412,1252412,SM
,1252414,MO
424517,1252415,SE
424517,1252416,SE
,1252418,MO
1252420,1252420,SM
1126081,1252421,SE
1126081,1252422,SE
1126081,1252424,SE
1126081,1252425,SE
1126081,1252427,SE
1126081,1252428,SE
,1252430,MO
,1252434,MO
1252435,1252435,SM
1252436,1252436,SM
1252437,1252437,SM
1252438,1252438,SM
843974,1252439,SE
,1252440,MO
1138908,1252441,SE
1138908,1252442,SE
1252444,1252444,SM
1138908,1252445,SE
1138908,1252446,SE
673489,1252448,SE
1252451,1252451,SM
673489,1252452,SE
673489,1252453,SE
673489,1252454,SE
1252456,1252456,SM
859590,1252457,SE
350018,1252458,SE
1252460,1252460,SM
445946,1252461,SE
1252462,1252462,SM
1120015,1252463,SE
350018,1252464,SE
1252466,1252466,SM
282940,1252467,SE
812010,1252468,SE
282940,1252469,SE
282940,1252470,SE
282940,1252471,SE
282940,1252473,SE
1252475,1252475,SM
282940,1252476,SE
1252478,1252478,SM
282940,1252479,SE
282940,1252480,SE
1252379,1252481,SE
282940,1252483,SE
282940,1252485,SE
1252486,1252486,SM
1211571,1252487,SE
1252488,1252488,SM
282940,1252489,SE
1211571,1252490,SE
1211571,1252491,SE
1211571,1252492,SE
1252496,1252496,SM
1216301,1252498,SE
1216301,1252502,SE
1216301,1252503,SE
1209209,1252509,SE
1252512,1252512,SM
1159242,1252513,SE
1252514,1252514,SM
243858,1252516,SE
1252517,1252517,SM
1252379,1252518,SE
1250630,1252519,SE
834965,1252523,SE
467692,1252526,SE
1249368,1252528,SE
1161335,1252529,SE
1249368,1252539,SE
1206326,1252545,SE
,1252546,MO
,1252550,MO
1252552,1252552,SM
425310,1252564,SE
1144437,1252572,SE
,1252577,MO
1249368,1252579,SE
1249368,1252581,SE
273389,1252582,SE
1104895,1252583,SE
673410,1252584,SE
1249368,1252586,SE
273389,1252588,SE
1219199,1252590,SE
,1252591,MO
1219199,1252592,SE
1252593,1252593,SM
1096299,1252595,SE
1096299,1252598,SE
1252604,1252604,SM
1252608,1252608,SM
,1252620,MO
205443,1252624,SE
1252625,1252625,SM
205443,1252626,SE
,1252627,MO
,1252628,MO
423427,1252632,SE
423427,1252633,SE
1252634,1252634,SM
423427,1252635,SE
423427,1252636,SE
469828,1252637,SE
1252640,1252640,SM
423427,1252641,SE
1252379,1252642,SE
423427,1252643,SE
423427,1252644,SE
423427,1252645,SE
1123739,1252646,SE
423427,1252647,SE
423427,1252650,SE
1123756,1252651,SE
273390,1252652,SE
423427,1252653,SE
423427,1252654,SE
1252655,1252655,SM
423427,1252657,SE
,1252658,MO
423427,1252659,SE
1252660,1252660,SM
1101748,1252661,SE
423427,1252664,SE
423427,1252665,SE
423427,1252666,SE
423427,1252667,SE
,1252668,MO
446298,1252669,SE
423427,1252670,SE
,1252671,MO
423427,1252673,SE
423427,1252674,SE
423427,1252675,SE
423427,1252677,SE
448635,1252678,SE
423427,1252679,SE
423427,1252680,SE
423427,1252682,SE
423427,1252683,SE
423427,1252685,SE
235169,1252686,SE
1123718,1252687,SE
,1252688,MO
1252420,1252689,SE
423427,1252690,SE
1128130,1252691,SE
1252380,1252692,SE
1252695,1252695,SM
1252698,1252698,SM
767117,1252703,SE
1252708,1252708,SM
917750,1252710,SE
1252711,1252711,SM
423685,1252718,SE
423685,1252719,SE
423685,1252721,SE
423685,1252722,SE
423685,1252723,SE
423685,1252725,SE
423489,1252727,SE
423489,1252731,SE
237384,1252737,SE
1252739,1252739,SM
1252740,1252740,SM
1252742,1252742,SM
,1252743,MO
1252420,1252744,SE
1252745,1252745,SM
1252749,1252749,SM
673410,1252750,SE
1123739,1252753,SE
1252754,1252754,SM
1123756,1252755,SE
273390,1252756,SE
1123305,1252757,SE
1243132,1252758,SE
446298,1252760,SE
,1252761,MO
467726,1252763,SE
,1252766,MO
467726,1252767,SE
1252768,1252768,SM
,1252769,MO
467726,1252771,SE
467726,1252773,SE
1240167,1252774,SE
1252379,1252775,SE
1123974,1252776,SE
237384,1252777,SE
,1252778,MO
,1252779,MO
467692,1252780,SE
,1252782,MO
1252695,1252783,SE
471855,1252787,SE
1128130,1252788,SE
,1252789,MO
,1252790,MO
1123718,1252791,SE
,1252792,MO
427798,1252795,SE
1252380,1252796,SE
1252695,1252797,SE
1252420,1252800,SE
427798,1252801,SE
917750,1252802,SE
427798,1252803,SE
427798,1252804,SE
1161364,1252805,SE
427798,1252806,SE
1112735,1252808,SE
1235548,1252810,SE
1252813,1252813,SM
,1252815,MO
,1252817,MO
,1252825,MO
1252826,1252826,SM
1252828,1252828,SM
,1252833,MO
187618,1252841,SE
1252849,1252849,SM
469588,1252851,SE
1219653,1252852,SE
1109277,1252853,SE
,1252855,MO
469588,1252856,SE
1109277,1252857,SE
1101208,1252858,SE
1252276,1252859,SE
469588,1252862,SE
1109277,1252863,SE
1101208,1252864,SE
469588,1252867,SE
1219469,1252871,SE
,1252873,MO
839701,1252874,SE
819874,1252875,SE
