rovi_sm_id,rovi_id,rovi_show_type
673713,886473,SE
633458,886474,SE
633458,886475,SE
633458,886476,SE
673599,886477,SE
673599,886478,SE
673599,886479,SE
204554,886480,SE
632528,886481,SE
632528,886482,SE
633820,886483,SE
895594,886484,SE
632528,886485,SE
634321,886486,SE
634321,886487,SE
634321,886488,SE
634321,886489,SE
636066,886491,SE
634295,886492,SE
272276,886493,SE
869297,886494,SE
886495,886495,SM
876185,886497,SE
233844,886498,SE
955489,886499,SE
640562,886500,SE
641019,886502,SE
639835,886503,SE
899444,886504,SE
639852,886505,SE
639852,886506,SE
639714,886507,SE
970480,886509,SE
886510,886510,SM
956731,886511,SE
645951,886512,SE
430985,886513,SE
642544,886514,SE
647828,886516,SE
647828,886517,SE
647857,886518,SE
85925,886519,SE
647940,886520,SE
647940,886521,SE
882802,886522,SE
855878,886523,SE
430985,886524,SE
648685,886525,SE
881367,886526,SE
960612,886527,SE
289609,886529,SE
289609,886530,SE
674153,886531,SE
945525,886532,SE
678627,886533,SE
650823,886534,SE
650515,886536,SE
650515,886537,SE
654837,886538,SE
651404,886539,SE
656561,886542,SE
656649,886543,SE
321596,886545,SE
321596,886546,SE
654645,886547,SE
657803,886548,SE
447629,886549,SE
447629,886550,SE
655638,886551,SE
660190,886552,SE
659671,886553,SE
659671,886554,SE
659671,886555,SE
871137,886556,SE
660909,886557,SE
333569,886558,SE
656125,886559,SE
654469,886560,SE
658558,886561,SE
447629,886562,SE
447629,886563,SE
671014,886564,SE
971798,886565,SE
659843,886566,SE
659843,886567,SE
659809,886568,SE
129608,886569,SE
674609,886570,SE
886571,886571,SM
659898,886572,SE
968190,886573,SE
658955,886574,SE
659111,886575,SE
659111,886576,SE
662805,886577,SE
667768,886578,SE
674617,886579,SE
667859,886580,SE
678186,886581,SE
663161,886582,SE
264122,886583,SE
919880,886584,SE
264122,886585,SE
671001,886586,SE
666394,886587,SE
956835,886588,SE
666439,886589,SE
674498,886590,SE
667213,886592,SE
673291,886593,SE
931034,886594,SE
919880,886595,SE
669457,886596,SE
940268,886597,SE
669981,886598,SE
674616,886599,SE
670193,886600,SE
670646,886601,SE
671719,886602,SE
669558,886603,SE
909592,886604,SE
867248,886605,SE
448331,886606,SE
875011,886607,SE
674831,886608,SE
674831,886609,SE
886610,886610,SM
886611,886611,SM
886612,886612,SM
886613,886613,SM
886614,886614,SM
129652,886616,SE
886617,886617,SM
886618,886618,SM
673713,886620,SE
432487,886621,SE
472545,886622,SE
261130,886623,SE
673119,886624,SE
430985,886625,SE
673713,886626,SE
674218,886627,SE
412127,886629,SE
673487,886630,SE
430546,886631,SE
676537,886632,SE
447567,886633,SE
676623,886634,SE
957416,886635,SE
494385,886636,SE
886637,886637,SM
872029,886638,SE
424948,886641,SE
448080,886642,SE
672999,886645,SE
673097,886646,SE
673990,886649,SE
676026,886651,SE
425592,886652,SE
674114,886653,SE
258099,886655,SE
674403,886656,SE
857357,886657,SE
460537,886658,SE
424944,886659,SE
897447,886660,SE
892882,886661,SE
502881,886662,SE
499260,886664,SE
248819,886665,SE
874037,886666,SE
676025,886668,SE
423427,886670,SE
516522,886671,SE
681580,886672,SE
673982,886673,SE
424845,886674,SE
971239,886678,SE
99249,886679,SE
921127,886680,SE
92812,886681,SE
663984,886682,SE
234823,886683,SE
666689,886684,SE
662798,886685,SE
430985,886686,SE
673713,886687,SE
672664,886688,SE
507138,886689,SE
673460,886690,SE
673651,886691,SE
672814,886692,SE
672846,886693,SE
468599,886694,SE
682285,886695,SE
682285,886696,SE
949306,886698,SE
673189,886699,SE
430985,886701,SE
374307,886702,SE
673524,886703,SE
874037,886704,SE
674093,886706,SE
869634,886707,SE
886708,886708,SM
674035,886709,SE
430933,886710,SE
424952,886711,SE
674093,886712,SE
430985,886713,SE
674794,886714,SE
674403,886716,SE
426700,886717,SE
886718,886718,SM
448408,886719,SE
842158,886722,SE
886725,886725,SM
233866,886726,SE
430933,886727,SE
662885,886728,SE
968190,886729,SE
895737,886732,SE
874214,886733,SE
781707,886734,SE
957506,886736,SE
19273426,886737,SE
1369033,886738,SE
673713,886739,SE
