rovi_sm_id,rovi_id,rovi_show_type
819513,819513,SM
819515,819515,SM
773720,819516,SE
19273426,819518,SE
876795,819520,SE
876795,819521,SE
819522,819522,SM
889838,819525,SE
819914,819526,SE
819914,819527,SE
459765,819528,SE
819532,819532,SM
819533,819533,SM
819534,819534,SM
819535,819535,SM
681580,819536,SE
681580,819537,SE
818286,819538,SE
790437,819539,SE
820846,819540,SE
793182,819542,SE
441909,819543,SE
441909,819544,SE
794514,819545,SE
866443,819548,SE
469783,819549,SE
469783,819550,SE
953269,819551,SE
867848,819552,SE
867848,819553,SE
367532,819554,SE
367532,819555,SE
367532,819556,SE
790668,819558,SE
423653,819560,SE
681580,819561,SE
681580,819562,SE
680254,819565,SE
423685,819566,SE
423685,819567,SE
425926,819569,SE
425926,819570,SE
425926,819571,SE
423845,819572,SE
423845,819573,SE
423845,819574,SE
819575,819575,SM
815290,819578,SE
129587,819579,SE
368645,819580,SE
129587,819581,SE
368645,819582,SE
819585,819585,SM
424859,819588,SE
423531,819589,SE
425419,819590,SE
425419,819591,SE
819592,819592,SM
819595,819595,SM
761240,819596,SE
368645,819601,SE
819602,819602,SM
819604,819604,SM
851420,819605,SE
886618,819606,SE
455502,819607,SE
448014,819608,SE
819609,819609,SM
819610,819610,SM
205150,819611,SE
819612,819612,SM
452394,819614,SE
452394,819615,SE
452394,819616,SE
452394,819617,SE
452394,819618,SE
452394,819619,SE
452394,819620,SE
19273426,819621,SE
816027,819622,SE
423656,819623,SE
423656,819624,SE
453981,819625,SE
812375,819626,SE
423653,819627,SE
807434,819634,SE
231750,819635,SE
819636,819636,SM
462026,819637,SE
18868898,819640,SE
423656,819641,SE
423656,819643,SE
423656,819644,SE
462026,819645,SE
770157,819646,SE
819647,819647,SM
429177,819648,SE
456652,819649,SE
746737,819650,SE
746737,819652,SE
746737,819653,SE
423653,819656,SE
423653,819657,SE
811881,819658,SE
681580,819659,SE
681580,819662,SE
430985,819664,SE
430985,819665,SE
680254,819666,SE
430985,819667,SE
423685,819668,SE
852301,819669,SE
430985,819670,SE
819671,819671,SM
453429,819672,SE
447844,819673,SE
216363,819674,SE
944766,819675,SE
821234,819678,SE
129314,819679,SE
330252,819680,SE
815329,819681,SE
791874,819684,SE
422939,819687,SE
867848,819688,SE
867848,819689,SE
867848,819690,SE
867848,819691,SE
867848,819692,SE
867848,819693,SE
815330,819694,SE
294483,819696,SE
458166,819697,SE
455866,819698,SE
425925,819701,SE
819702,819702,SM
455866,819704,SE
455866,819705,SE
423427,819708,SE
425926,819709,SE
672664,819710,SE
423685,819711,SE
423685,819712,SE
117684,819713,SE
367532,819714,SE
367532,819716,SE
446675,819718,SE
819726,819726,SM
425925,819729,SE
425925,819733,SE
310663,819734,SE
427798,819735,SE
805122,819736,SE
117684,819737,SE
819740,819740,SM
819741,819741,SM
424179,819742,SE
819745,819745,SM
866443,819748,SE
866443,819750,SE
343670,819751,SE
866443,819753,SE
458706,819754,SE
423489,819755,SE
423489,819756,SE
423489,819757,SE
864097,819758,SE
864097,819760,SE
129587,819761,SE
129587,819762,SE
864097,819763,SE
424934,819764,SE
368645,819765,SE
671065,819766,SE
818277,819767,SE
448898,819773,SE
942896,819774,SE
596312,819775,SE
674723,819779,SE
674723,819780,SE
674723,819781,SE
674723,819782,SE
343670,819784,SE
819785,819785,SM
866443,819786,SE
423489,819787,SE
864097,819788,SE
864097,819789,SE
864097,819790,SE
864097,819791,SE
129587,819792,SE
809991,819794,SE
818286,819796,SE
810492,819797,SE
819798,819798,SM
948156,819802,SE
821234,819803,SE
674723,819806,SE
674723,819807,SE
674723,819808,SE
674723,819810,SE
674723,819811,SE
867848,819813,SE
674723,819814,SE
880065,819815,SE
423678,819816,SE
423678,819817,SE
117684,819819,SE
113895,819823,SE
844882,819824,SE
822544,819825,SE
822544,819826,SE
432487,819828,SE
114884,819829,SE
817938,819830,SE
425419,819832,SE
425419,819833,SE
822544,819834,SE
822544,819835,SE
423332,819840,SE
310663,819841,SE
117684,819842,SE
425411,819843,SE
113895,819847,SE
113895,819848,SE
113895,819849,SE
844882,819850,SE
852301,819851,SE
852301,819852,SE
819854,819854,SM
114884,819855,SE
817938,819856,SE
424944,819858,SE
425419,819859,SE
446675,819860,SE
937047,819861,SE
815073,819862,SE
819863,819863,SM
425925,819864,SE
455866,819865,SE
455866,819866,SE
820235,819867,SE
715588,819870,SE
431076,819871,SE
746737,819872,SE
819798,819873,SE
819874,819874,SM
944766,819877,SE
423489,819878,SE
819880,819880,SM
819881,819881,SM
871525,819882,SE
819884,819884,SM
794845,819885,SE
819889,819889,SM
425419,819891,SE
425419,819892,SE
428011,819895,SE
818277,819901,SE
818277,819902,SE
730767,819903,SE
681580,819904,SE
672664,819905,SE
673174,819906,SE
673174,819907,SE
673174,819908,SE
264232,819911,SE
819912,819912,SM
423655,819913,SE
819914,819914,SM
423655,819915,SE
423655,819917,SE
699459,819920,SE
892638,819921,SE
944596,819922,SE
428955,819923,SE
446262,819924,SE
819926,819926,SM
427918,819929,SE
819930,819930,SM
429077,819931,SE
673487,819932,SE
673487,819933,SE
756907,819934,SE
820846,819935,SE
819936,819936,SM
799090,819937,SE
429728,819939,SE
819941,819941,SM
820179,819944,SE
819522,819945,SE
818277,819946,SE
450332,819948,SE
821824,819950,SE
790437,819951,SE
975536,819952,SE
330252,819954,SE
460182,819955,SE
892638,819956,SE
937047,819957,SE
424950,819958,SE
937047,819959,SE
424950,819960,SE
424944,819961,SE
458662,819962,SE
671065,819964,SE
817938,819966,SE
817938,819967,SE
817938,819968,SE
817938,819969,SE
19273426,819970,SE
819974,819974,SM
819914,819975,SE
848983,819980,SE
423685,819981,SE
916359,819982,SE
446675,819983,SE
446675,819984,SE
880494,819985,SE
310663,819987,SE
310663,819988,SE
428955,819989,SE
773720,819997,SE
423685,820001,SE
457896,820005,SE
423845,820006,SE
117684,820009,SE
117684,820010,SE
117684,820011,SE
447743,820012,SE
114883,820013,SE
272549,820014,SE
748833,820015,SE
649746,820016,SE
792171,820017,SE
764108,820018,SE
129587,820024,SE
129587,820025,SE
820027,820027,SM
114883,820028,SE
781601,820029,SE
820030,820030,SM
820031,820031,SM
820032,820032,SM
820038,820038,SM
425925,820042,SE
425925,820043,SE
730767,820045,SE
820053,820053,SM
820055,820055,SM
842671,820057,SE
787592,820058,SE
458035,820059,SE
458035,820060,SE
458035,820061,SE
820063,820063,SM
423517,820064,SE
423517,820065,SE
820066,820066,SM
768886,820067,SE
432487,820069,SE
212526,820071,SE
678668,820072,SE
678668,820073,SE
678668,820074,SE
678668,820075,SE
959909,820076,SE
959909,820077,SE
853455,820079,SE
819874,820082,SE
117684,820083,SE
117684,820084,SE
117684,820085,SE
424517,820092,SE
424517,820093,SE
455866,820094,SE
455866,820095,SE
425926,820097,SE
425926,820098,SE
676906,820099,SE
425926,820100,SE
746737,820101,SE
746737,820102,SE
820103,820103,SM
820104,820104,SM
876795,820106,SE
423974,820109,SE
820112,820112,SM
819914,820113,SE
793827,820114,SE
842671,820115,SE
820118,820118,SM
820119,820119,SM
886618,820120,SE
820121,820121,SM
818277,820122,SE
818277,820123,SE
818277,820124,SE
819515,820126,SE
441909,820127,SE
441909,820128,SE
794514,820129,SE
821824,820130,SE
430985,820131,SE
216363,820132,SE
820133,820133,SM
820134,820134,SM
811163,820139,SE
673168,820140,SE
815289,820141,SE
816057,820142,SE
808521,820143,SE
19273426,820148,SE
867848,820149,SE
867848,820150,SE
867848,820151,SE
867848,820152,SE
867848,820153,SE
815330,820154,SE
766006,820157,SE
425925,820159,SE
425925,820160,SE
425925,820161,SE
819702,820162,SE
819702,820163,SE
455866,820165,SE
423427,820168,SE
672664,820169,SE
423685,820170,SE
367532,820171,SE
367532,820172,SE
820175,820175,SM
820176,820176,SM
820179,820179,SM
810492,820180,SE
681580,820181,SE
862252,820182,SE
649746,820183,SE
798356,820186,SE
948156,820187,SE
429077,820188,SE
424860,820189,SE
942896,820190,SE
912161,820193,SE
455866,820194,SE
455866,820195,SE
875775,820196,SE
459612,820198,SE
425926,820199,SE
425926,820200,SE
423685,820201,SE
423685,820202,SE
367532,820203,SE
367532,820204,SE
674794,820216,SE
424039,820218,SE
820221,820221,SM
756907,820222,SE
756910,820223,SE
447872,820230,SE
425411,820233,SE
817963,820234,SE
820235,820235,SM
425925,820236,SE
459612,820237,SE
455866,820238,SE
455866,820239,SE
820235,820240,SE
452021,820242,SE
715588,820243,SE
819874,820248,SE
423489,820249,SE
820250,820250,SM
820251,820251,SM
820252,820252,SM
425411,820253,SE
452021,820254,SE
460182,820255,SE
820257,820257,SM
129768,820258,SE
820261,820261,SM
820262,820262,SM
440286,820263,SE
423974,820265,SE
453429,820266,SE
793407,820267,SE
424017,820268,SE
424017,820269,SE
429728,820271,SE
785135,820272,SE
681580,820273,SE
423845,820274,SE
423845,820275,SE
819941,820276,SE
649746,820277,SE
818277,820278,SE
818277,820279,SE
793182,820280,SE
455138,820282,SE
423678,820283,SE
423678,820284,SE
681442,820285,SE
