source,id,SM_id,show_type,link_details,movie_title,series_title,episode_title,release_year,link_expired,Projectx_ids,Variant id present for episode,Variant parent id for Episode,Projectx_series_id,comment,Result,Gb_id duplicate,Duplicate ids in search,Credit_match,Rovi_id count for duplicate,Gb_id count for duplicate,GuideBox_id count for duplicate,Mapped rovi_id for duplicate,Mapped Gb_id for duplicate,Mapped GuideBox_id for duplicate,variant_parent_id_present,variant_parent_id,link_fetched_from,Sources of link
GuideBox,8667020,9459,SE,,,,Squawk on the Street - 8/13,,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,8667021,4471,SE,,,,Reunion (Part 1),,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,8667022,898,SE,,,,Raw 8/13/2018,,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,8667023,110,SE,,,,"PBS NewsHour full episode Aug. 13, 2018",,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,8550776,48747,SE,,,,Recognition of the Elastic Limit -Presage or Recognize-,,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,8667024,43102,SE,,,,"How to Self - Publish (Part 6)""Formatting for Kindle""",,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,8667025,41815,SE,,,,"Closing Bell August 13, 2018",,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,8667026,15760,SE,,,,Smashing with Sketch!,,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,299376,10578,SE,,,,Daisy's Toyboy,,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,21318,,MO,[{'amazon': 'B00TPQVCKC'}],The Billy Meier Story: UFO's and the Prophecies from Outer Space,,,,False,[12965092],,,,"('No multiple ids for this link', [{'amazon': 'B00TPQVCKC'}])",No multiple ids for this link,,,,,
GuideBox,163754,,MO,[{'amazon': 'B07GCHQLCS'}],The Story of Queen Elizabeth II,,,,False,[12976007],,,,"('No multiple ids for this link', [{'amazon': 'B07GCHQLCS'}])",No multiple ids for this link,,,,,
GuideBox,163755,,MO,[{'amazon': 'B07GBDJBBG'}],The First Easter Egg,,,,False,[1106990],,,,"('No multiple ids for this link', [{'amazon': 'B07GBDJBBG'}])",No multiple ids for this link,,,,,
GuideBox,82009,,MO,,Eagles Over London,,,,,[],,,,No link for this link,No link for this link,,,,,
GuideBox,138607,,MO,,Broken Dreams,,,,,[],,,,No link for this link,No link for this link,,,,,
GuideBox,134709,,MO,,Chhello Divas,,,,,[],,,,No link for this link,No link for this link,,,,,
GuideBox,8667069,51051,SE,,,,Islamorada Sharkin',,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,8667071,51052,SE,,,,Colorado Elk,,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,162785,,MO,[{'itunes': '1402841715'}],Forgive and Forget,,,,False,[],,,,"('No multiple ids for this link', [{'itunes': '1402841715'}])",No multiple ids for this link,,,,,
GuideBox,163606,,MO,[{'itunes': '1411358020'}],No Way Out,,,,False,[1069891],,,,"('No multiple ids for this link', [{'itunes': '1411358020'}])",No multiple ids for this link,,,,,
GuideBox,8667146,36055,SE,,,,Jingle Bells,,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,8667182,50421,SE,,,,"Beach, Please",,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,8667183,36340,SE,,,,"Monday, August 13th, 2018",,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,8667185,1261,SE,,,,The Theriot Family 2,,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,8667187,103,SE,,,,2019 Jeep Cherokee & 2018 Audi TT RS,,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,202737,843,SE,,,,Cora Vs. Smith,,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,163756,,MO,[{'itunes': '8'}],shGltn 'rjntyny@ - Our Argentinian Maid,,,,False,[],,,,"('No multiple ids for this link', [{'itunes': '8'}])",No multiple ids for this link,,,,,
GuideBox,8667188,19662,SE,,,,The Word x Is x That Person,,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,8667190,51025,SE,,,,Fancy That,,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,8667191,919,SE,,,,"Tue, Aug 14, 2018",,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,8667192,50168,SE,,,,Alternate Theories with Kenny,,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,8667217,44405,SE,,,,Deadly Conspiracy,,,,,,,No series_title for this episode,No series title for this episode,,,,,
GuideBox,98076,,MO,[{'amazon': 'B07D5W3GZJ'}],Streets Of Plenty,,,,False,[1667355],,,,"('No multiple ids for this link', [{'amazon': 'B07D5W3GZJ'}])",No multiple ids for this link,,,,,
GuideBox,163758,,MO,,Chakarghinni,,,,,[],,,,No link for this link,No link for this link,,,,,
GuideBox,163761,,MO,[{'amazon': 'B07DP9JMP7'}],Life,,,,False,[],,,,"('No multiple ids for this link', [{'amazon': 'B07DP9JMP7'}])",No multiple ids for this link,,,,,
GuideBox,163762,,MO,[{'amazon': 'B07D3HRDJM'}],The Hidden Side of Animal Transport,,,,False,[12976041],,,,"('No multiple ids for this link', [{'amazon': 'B07D3HRDJM'}])",No multiple ids for this link,,,,,
GuideBox,163763,,MO,[{'amazon': 'B07D3H4F6T'}],BRUISES,,,,False,[12976040],,,,"('No multiple ids for this link', [{'amazon': 'B07D3H4F6T'}])",No multiple ids for this link,,,,,
GuideBox,163764,,MO,[{'amazon': 'B07D3D5RFZ'}],The Well and the Waterpot,,,,False,[12976038],,,,"('No multiple ids for this link', [{'amazon': 'B07D3D5RFZ'}])",No multiple ids for this link,,,,,
GuideBox,163765,,MO,[{'amazon': 'B07D3GC9ZF'}],Guns of Hollywood,,,,False,[12976037],,,,"('No multiple ids for this link', [{'amazon': 'B07D3GC9ZF'}])",No multiple ids for this link,,,,,
