source,id,SM_id,show_type,link_details,movie_title,series_title,episode_title,release_year,link_expired,Projectx_ids,Variant id present for episode,Variant parent id for Episode,Projectx_series_id,comment,Result,Gb_id duplicate,Duplicate ids in search,Credit_match,Rovi_id count for duplicate,Gb_id count for duplicate,GuideBox_id count for duplicate,Mapped rovi_id for duplicate,Mapped Gb_id for duplicate,Mapped GuideBox_id for duplicate,variant_parent_id_present,variant_parent_id,link_fetched_from,Sources of link
GuideBox,6042354,39173,SE,[{'itunes': '1166024830'}],,Welcome Back Potter,New Bedrooms and Vintage Bath,,False,[],,,,"('No multiple ids for this episode', [{'itunes': '1166024830'}])",No multiple ids for this episode,,,,,
GuideBox,6028839,39175,SE,[{'amazon': 'B01MFXDU0M'}],,The Killing of JonBenet: Her Father Speaks,The Killing of JonBenet: Her Father Speaks,,False,[13183862],,,,"('No multiple ids for this episode', [{'amazon': 'B01MFXDU0M'}])",No multiple ids for this episode,,,,,
GuideBox,6028676,39176,SE,[{'amazon': 'B01M3NUDEV'}],,The 1960s,Civil Rights,,False,[13183871],,,,"('No multiple ids for this episode', [{'amazon': 'B01M3NUDEV'}])",No multiple ids for this episode,,,,,
GuideBox,7235550,39178,SE,[{'itunes': '1300716800'}],,Channel Zero,Piece By Piece,,False,"[11247068, 14777754]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
GuideBox,6030755,39181,SE,[{'amazon': 'B01MF72TRW'}],,The Exorcist File: Haunted Boy,Episode 1,,False,[],,,,"('No multiple ids for this episode', [{'amazon': 'B01MF72TRW'}])",No multiple ids for this episode,,,,,
GuideBox,7804438,39182,SE,[{'itunes': '1316895331'}],,Desus and Mero,The Ball Baggys,,False,"[10543786, 14765222]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
GuideBox,6417109,39183,SE,[{'itunes': '1181533133'}],,Cold War Armageddon,Falling Dominoes,,False,[10548119],,,,"('No multiple ids for this episode', [{'itunes': '1181533133'}])",No multiple ids for this episode,,,,,
GuideBox,6456683,39184,SE,[{'amazon': 'B07FFP8NML'}],,Uproarious,Uproarious Comedy,,False,[10553269],,,,"('No multiple ids for this episode', [{'amazon': 'B07FFP8NML'}])",No multiple ids for this episode,,,,,
GuideBox,6036740,39185,SE,[{'amazon': 'B01M4IMPGG'}],,Wild Explorers,Squishy Egg Experiment,,False,[13182980],,,,"('No multiple ids for this episode', [{'amazon': 'B01M4IMPGG'}])",No multiple ids for this episode,,,,,
GuideBox,6036339,39190,SE,[{'amazon': 'B01MATDYH2'}],,The Vision of Escaflowne,Eternal Love,,False,"[13185133, 6326383]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
GuideBox,6373336,39194,SE,[{'itunes': '1176885259'}],,Safari Brothers,"Angry, Angry Hippos",,False,[],,,,"('No multiple ids for this episode', [{'itunes': '1176885259'}])",No multiple ids for this episode,,,,,
GuideBox,7687230,39196,SE,[{'itunes': '1296829623'}],,Louisiana Flip N Move,Americana vs. Hunting Lodge,,False,[],,,,"('No multiple ids for this episode', [{'itunes': '1296829623'}])",No multiple ids for this episode,,,,,
GuideBox,6373337,39197,SE,[{'itunes': '1178274721'}],,Wolf Creek,Wolf Creek,,False,[10418591],,,,"('No multiple ids for this episode', [{'itunes': '1178274721'}])",No multiple ids for this episode,,,,,
GuideBox,6037129,39198,SE,[{'itunes': '1163293026'}],,35 and Single,35 and Single,,False,[13183762],,,,"('No multiple ids for this episode', [{'itunes': '1163293026'}])",No multiple ids for this episode,,,,,
GuideBox,6038846,39204,SE,,,The Honeymoon Tour,Vow Renewal - Uncensored,,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,6428629,39206,SE,[{'itunes': '1182578261'}],,The Killing Season,Wasteland,,False,[],,,,"('No multiple ids for this episode', [{'itunes': '1182578261'}])",No multiple ids for this episode,,,,,
GuideBox,6040484,39207,SE,,,Addiction Counseling You Can Finally Beat This!,The Dangers of Not Getting Help When You Need It,,,,,,,No links for this episode,No links for this episode,,,,,
