GB_id,GB_Title,GB_ReleaseYear,RoviID,Result
92413,Isolated,2014,642955109,Search and Link verification match Passed
92003,The Class of 92,2013,11834712,Search and Link verification match Passed
51508,Bridget Jones's Diary,2001,1335075,Search and Link verification match Passed
147415,A Street Cat Named Bob,2016,3265607374,Search and Link verification match Passed
149245,Roger Corman's Death Race 2050,2017,4223182270,Search and Link verification match Passed
151805,Take Me,2017,4612445302,Search and Link verification match Passed
115729,The Physician,2013,383637699,Search and Link verification match Passed
134692,Jane Got a Gun,2015,840362174,Search and Link verification match Passed
148259,Contract to Kill,2016,4029697615,Search and Link verification match Passed
27851,Night of the Living Dead,1990,427017,Search and Link verification match Passed
2471,Brick,2006,1977686,Search and Link verification match Passed
66951,Mallrats,1995,990708575,Search and Link verification match Passed
45982,Tristan & Isolde,2006,1944687,Search and Link verification match Passed
53622,Blue Jasmine,2013,982759549,Search and Link verification match Passed
48566,Jerry Maguire,1996,427764,Search and Link verification match Passed
1107,Pretty in Pink,1986,991658453,Search and Link verification match Passed
2021,Footloose,1984,982759602,Search and Link verification match Passed
9829,Days of Thunder,1990,982759638,Search and Link verification match Passed
19910,Big,1988,457495,Search and Link verification match Passed
133474,Star Wars: The Force Awakens,2015,1152362607,Search and Link verification match Passed
59381,True Lies,1994,472225,Search and Link verification match Failed
57450,The Hustler,1961,433612,Search and Link verification match Passed
46378,The Burbs,1989,438499,Search and Link verification match Passed
35845,The Adventures of Priscilla Queen of the Desert,1994,1089586,Search and Link verification match Passed
36707,Men of Honor,2000,1279993,Search and Link verification match Passed
1011,Windtalkers,2002,1464859,Search and Link verification match Passed
26872,Hot Shots! Part Deux,1993,1082124,Search and Link verification match Passed
486,The Golden Child,1986,16881219,Search and Link verification match Passed
80378,The Ice Storm,1997,446390,Search and Link verification match Passed
13682,Scorpio,1973,1093757,Search and Link verification match Passed
58626,The Tiger's Tail,2006,319624,Search and Link verification match Passed
112663,We'll Never Have Paris,2014,1100842663,Search and Link verification match Passed
32588,The Open Road,2009,6764423,Search and Link verification match Passed
682,Woman on Top,2000,1278469,Search and Link verification match Passed
89260,Jumpin' At The Boneyard,1992,470358,Search and Link verification match Passed
81109,Buffalo '66,1998,471217,Search and Link verification match Passed
24696,Gangs of New York,2002,1544164,Search and Link verification match Passed
31636,Ju-on: The Grudge,2002,1695687,Search and Link verification match Passed
998,Frankie and Johnny,1991,17679056,Search and Link verification match Passed
52401,Kill Your Darlings,2013,1021262687,Search and Link verification match Passed
148257,Burn Country,2016,4111680899,Search and Link verification match Passed
147251,No Pay Nudity,2016,3740205207,Search and Link verification match Passed
50720,Side Effects,2013,982759791,Search and Link verification match Passed
975,Wet Hot American Summer,2001,1380794,Search and Link verification match Passed
1854,Trainspotting,1996,428620,Search and Link verification match Passed
50242,Kill Bill: Vol. 2,2004,1662510,Search and Link verification match Passed
62222,Kill Bill: Vol. 1,2003,1592010,Search and Link verification match Passed
74964,Dead Silence,2007,2166354,Search and Link verification match Passed
140323,Blood Father,2016,1912257067,Search and Link verification match Passed
51475,The Firm,1993,447023,Search and Link verification match Passed
28593,Happily N'Ever After,2006,2133575,Search and Link verification match Passed
5391,Cat Run,2011,18157835,Search and Link verification match Passed
510,Jesus Christ Superstar,1973,448418,Search and Link verification match Passed
7143,Stick,1985,1069225,Search and Link verification match Passed
72803,Little Odessa,1994,448818,Search and Link verification match Passed
82238,Waking Up in Reno,2002,1534271,Search and Link verification match Passed
133968,Labyrinth of Lies,2014,1198761286,Search and Link verification match Passed
27738,American Beauty,1999,1181520,Search and Link verification match Passed
140286,Daylight's End,2016,3912718109,Search and Link verification match Passed
56272,The People vs. Larry Flynt,1996,1005730653,Search and Link verification match Passed
73216,Jaws,1975,423388,Search and Link verification match Passed
32587,Jaws 2,1978,1068230,Search and Link verification match Passed
52902,Jaws 3,1983,1068232,Search and Link verification match Passed
63582,Jaws: The Revenge,1987,423387,Search and Link verification match Passed
58493,Meet Wally Sparks,1997,427769,Search and Link verification match Passed
1626,Lost in Translation,2003,990708570,Search and Link verification match Passed
40636,The Great Adventure,1975,436490,Search and Link verification match Passed
7,Being John Malkovich,1999,1187058,Search and Link verification match Passed
11,The Last Temptation of Christ,1988,435053,Search and Link verification match Passed
12,Our Town,1940,1065362,Search and Link verification match Failed
13,Stigmata,1999,1162605,Search and Link verification match Passed
