GB_id,GB_Title,GB_ReleaseYear,Search,Match,GB_AmazonLink,Amazon_Flag,GB_StarzLink,Starz_Flag,GB_NetflixLink,Netflix_flag,GB_NbcLink,Nbc_flag,GB_CBSLink,CBS_flag,GB_VuduLink,Vudu_flag,GB_ItunesLink,Itunes_flag,Ozone_Ott_flag,RoviID,Result
145048,Matt White - Live at Soundstage,2012,TRUE,FALSE,['B017OL4H5G'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
145051,Nick Lowe - AVO Session,2012,TRUE,FALSE,['B017OJLY3Q'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
145052,Gilbert Bécaud  - Olympia: Spectacle Rouge,2012,TRUE,FALSE,['B017OIVMH0'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
145053,Julien Clerc - Demenage,2012,TRUE,FALSE,['B017OEUEDC'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
145059,Cake - Guitar Center Sessions,2011,TRUE,FALSE,['B017OJLU2Q'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
145065,Bush - Guitar Center Sessions,2011,TRUE,FALSE,['B017OL2HKS'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
145066,Blondie - Guitar Center Sessions,2011,TRUE,FALSE,['B017OIU816'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
145072,Jacob Dylan - Guitar Center Sessions,2011,TRUE,FALSE,['B017OETROY'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
145073,Ray Charles - Live in France 1961: Antibes Jazz Festival,2011,TRUE,FALSE,['B017VBKFN2'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
145076,Various Artists - Verbier Festival 2011,2011,TRUE,FALSE,['B017OL198O'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
