GB_id,GB_Title,GB_ReleaseYear,Search,Match,GB_AmazonLink,Amazon_Flag,GB_StarzLink,Starz_Flag,GB_NetflixLink,Netflix_flag,GB_NbcLink,Nbc_flag,GB_CBSLink,CBS_flag,GB_VuduLink,Vudu_flag,GB_ItunesLink,Itunes_flag,Ozone_Ott_flag,RoviID,Result
1289,The Sweetest Sound,2001,TRUE,FALSE,['B00B99QE60'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1293,Brother,1997,TRUE,FALSE,['B002RHCG1U'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1301,The Eye of Vichy,1993,TRUE,FALSE,['B01MA29DGX'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1303,Naqoyqatsi,2002,TRUE,FALSE,['B008Y7GGHW'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,['432468040'],FALSE,FALSE,,Couldn't Map
1309,Angelina Ballerina: Friends Forever,2002,TRUE,FALSE,['B005SG0FLK'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,['921388398'],FALSE,FALSE,,Couldn't Map
1339,Bob the Builder: The Big Game,2002,TRUE,FALSE,['B005SFZ5N4'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1340,Bob the Builder: Can We Fix It?,2002,TRUE,FALSE,['B005SFYTYA'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1342,Bob the Builder: Bob Saves the Day!,2002,TRUE,FALSE,['B005SFYTKE'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1343,Hooded Angels,2002,TRUE,FALSE,['B00B99PZ9C'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1373,Barney: Let's Go to the Zoo,2003,TRUE,FALSE,['B005SG08IU'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,['921390302'],FALSE,FALSE,,Couldn't Map
1390,VeggieTales: Madame Blueberry,1998,TRUE,FALSE,['B003Y6EKSA'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
1392,Bob the Builder: The Knights of Fix-a-Lot,2004,TRUE,FALSE,['B003WEWLGM'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
